drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"4959","active","active","00569771","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"6720","active","active","00637734","GLENWOOD GMBH PHARMAZEUTISCHE ERZEUGNISSE","BOEHRINGER INGELHEIM (CANADA) LTD LTEE"
"15525","active","active","02039524","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"18744","active","active","02148463","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"18750","active","active","02148498","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"18758","active","active","02148536","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"18759","active","active","02148455","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"18860","active","active","02148447","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"28440","active","active","02089602","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"37379","active","active","02224801","CHEPLAPHARM ARZNEIMITTEL GMBH","SANOFI-AVENTIS CANADA INC"
"43306","active","active","02221802","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"43307","active","active","02221810","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"43464","active","active","02227517","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"49818","active","active","02230642","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"52048","active","active","02232570","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"70910","active","active","02246715","ELANCO CANADA LIMITED","BAYER INC., ANIMAL HEALTH"
"73177","active","active","02248808","TAKEDA CANADA INC","SHIRE PHARMA CANADA ULC"
"73178","active","active","02248809","TAKEDA CANADA INC","SHIRE PHARMA CANADA ULC"
"73179","active","active","02248810","TAKEDA CANADA INC","SHIRE PHARMA CANADA ULC"
"73180","active","active","02248811","TAKEDA CANADA INC","SHIRE PHARMA CANADA ULC"
"73181","active","active","02248812","TAKEDA CANADA INC","SHIRE PHARMA CANADA ULC"
"73182","active","active","02248813","TAKEDA CANADA INC","SHIRE PHARMA CANADA ULC"
"74372","active","active","02258528","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"75387","active","active","02268493","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"76152","active","active","02275864","WOCKHARDT UK LIMITED","WOCKHARDT UK LTD"
"76153","active","active","02275872","WOCKHARDT UK LIMITED","WOCKHARDT UK LTD"
"77111","active","active","02285606","COVIS PHARMA GMBH","COVIS PHARMA B.V."
"77112","active","active","02285614","COVIS PHARMA GMBH","COVIS PHARMA B.V."
"78201","active","active","02296659","TEVA CANADA LIMITED","TEVA WOMEN'S HEALTH INC. SUBSIDIARY OF TEVA PHARMACEUTICALS USA INC"
"78575","active","active","02300451","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"80045","active","active","02314924","ELTAMD INC","SWISS AMERICAN PRODUCTS INC."
"80773","active","active","02322277","ELTAMD INC","SWISS AMERICAN PRODUCTS INC."
"80775","active","active","02322293","ELTAMD INC","SWISS AMERICAN PRODUCTS INC."
"80776","active","active","02322307","ELTAMD INC","SWISS AMERICAN PRODUCTS INC."
"83160","active","active","02346176","TEVA CANADA LIMITED","TEVA WOMEN'S HEALTH INC. SUBSIDIARY OF TEVA PHARMACEUTICALS USA INC"
"84221","active","active","02357119","TAKEDA CANADA INC","SHIRE HUMAN GENETIC THERAPIES INC"
"85608","active","active","02370883","DIMACHEM INC","CHEMEX CANADA"
"85917","active","active","02373955","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"88048","active","active","02395371","TAKEDA CANADA INC","VIROPHARMA BIOLOGICS LLC"
"89383","active","active","02409100","TAKEDA CANADA INC","SHIRE PHARMA CANADA ULC"
"89384","active","active","02409119","TAKEDA CANADA INC","SHIRE PHARMA CANADA ULC"
"89385","active","active","02409127","TAKEDA CANADA INC","SHIRE PHARMA CANADA ULC"
"89386","active","active","02409135","TAKEDA CANADA INC","SHIRE PHARMA CANADA ULC"
"91034","active","active","02425696","TAKEDA CANADA INC","SHIRE HUMAN GENETIC THERAPIES INC"
"91662","active","active","02432188","TELIGENT PHARMA, INC","TELIGENT OU"
"91663","active","active","02432196","TELIGENT PHARMA, INC","TELIGENT OU"
