"drug_code","unit_of_presentation","uop_size","uop_unit_of_measure","calculation","V6","V7","V8"
69790,"vial",10,"mL","N",NA,2245689,"LANTUS SANOFI-AVENTIS CANADA INC"
73683,"cartridge",3,"mL","N",NA,2251930,"LANTUS SANOFI-AVENTIS CANADA INC"
93005,"cartridge",3,"mL","N",NA,2444844,"BASAGLAR ELI LILLY CANADA INC"
77967,"pen",3,"mL","N",NA,2294338,"LANTUS SANOFI-AVENTIS CANADA INC"
93006,"pen",3,"mL","N",NA,2444852,"BASAGLAR ELI LILLY CANADA INC"
71180,"vial",3,"mL","Y",NA,2246953,"AMIODARONE FOR INJECTION 50MG/ML TEVA CANADA LIMITED"
66036,"vial",3,"mL","Y",NA,2242325,"AMIODARONE HYDROCHLORIDE FOR INJECTION SANDOZ CANADA INCORPORATED"
86000,"syringe",3,"mL","Y",NA,2374684,"AMIODARONE SYRINGE SANDOZ CANADA INCORPORATED"
66036,"vial",9,"mL","Y",NA,2242325,"AMIODARONE HYDROCHLORIDE FOR INJECTION SANDOZ CANADA INCORPORATED"
71180,"vial",18,"mL","Y",NA,2246953,"AMIODARONE FOR INJECTION 50MG/ML TEVA CANADA LIMITED"
66036,"vial",18,"mL","Y",NA,2242325,"AMIODARONE HYDROCHLORIDE FOR INJECTION SANDOZ CANADA INCORPORATED"
69271,"vial",3,"mL","Y",NA,2245248,"AMIODARONE HYDROCHLORIDE INJECTION FRESENIUS KABI CANADA LTD"
19798,"unit dose vial",1,"mL","Y",NA,2097168,"RATIO-IPRATROPIUM UDV TEVA CANADA LIMITED"
19798,"unit dose vial",2,"mL","Y",NA,2097168,"RATIO-IPRATROPIUM UDV TEVA CANADA LIMITED"
50443,"bottle",20,"mL","N",NA,2231136,"PMS-IPRATROPIUM PHARMASCIENCE INC"
50551,"unit dose vial",1,"mL","Y",NA,2231244,"PMS-IPRATROPIUM PHARMASCIENCE INC"
50552,"unit dose vial",2,"mL","Y",NA,2231245,"PMS-IPRATROPIUM PHARMASCIENCE INC"
43176,"unit dose vial",1,"mL","Y",NA,2216221,"TEVA-IPRATROPIUM STERINEBS TEVA CANADA LIMITED"
43176,"unit dose vial",2,"mL","Y",NA,2216221,"TEVA-IPRATROPIUM STERINEBS TEVA CANADA LIMITED"
62586,"bottle",20,"mL","N",NA,2239131,"MYLAN-IPRATROPIUM SOLUTION MYLAN PHARMACEUTICALS ULC"
62586,"unit dose vial",1,"mL","Y",NA,2239131,"MYLAN-IPRATROPIUM SOLUTION MYLAN PHARMACEUTICALS ULC"
62586,"unit dose vial",2,"mL","Y",NA,2239131,"MYLAN-IPRATROPIUM SOLUTION MYLAN PHARMACEUTICALS ULC"
50824,"unit dose vial",2,"mL","Y",NA,2231494,"APO-IPRAVENT STERULES APOTEX INC"
16947,"bottle",20,"mL","N",NA,2126222,"APO-IPRAVENT SOLUTION - INH 250MCG/ML APOTEX INC"
67766,"unit dose vial",2,"mL","Y",NA,2243827,"APO-IPRAVENT STERULES APOTEX INC"
43798,"unit dose vial",2,"mL","Y",NA,2097176,"RATIO-IPRATROPIUM UDV TEVA CANADA LIMITED"
50442,"unit dose vial",2,"mL","Y",NA,2231135,"PMS-IPRATROPIUM PHARMASCIENCE INC"
69797,"vial",3,"mL","Y",NA,2245696,"AMIODARONE HYDROCHLORIDE FOR INJECTION WITH PRESERVATIVE HOSPIRA HEALTHCARE CORPORATION"
69797,"vial",6,"mL","Y",NA,2245696,"AMIODARONE HYDROCHLORIDE FOR INJECTION WITH PRESERVATIVE HOSPIRA HEALTHCARE CORPORATION"
60208,"vial",20,"mL","Y",NA,2236916,"ACYCLOVIR SODIUM INJECTION HOSPIRA HEALTHCARE CORPORATION"
60218,"vial",10,"mL","Y",NA,2236926,"ACYCLOVIR SODIUM INJECTION FRESENIUS KABI CANADA LTD"
60218,"vial",20,"mL","Y",NA,2236926,"ACYCLOVIR SODIUM INJECTION FRESENIUS KABI CANADA LTD"
17277,"ampoule",1,"mL","Y",NA,2131048,"LIORESAL INTRATHECAL 0.05MG/ML NOVARTIS PHARMACEUTICALS CANADA INC"
89827,"ampoule",1,"mL","Y",NA,2413620,"VAL-BACLOFEN INTRATHECAL VALEANT CANADA LP/VALEANT CANADA S.E.C."
17954,"ampoule",20,"mL","Y",NA,2131056,"LIORESAL INTRATHECAL 0.5MG/ML NOVARTIS PHARMACEUTICALS CANADA INC"
89828,"ampoule",20,"mL","Y",NA,2413639,"VAL-BACLOFEN INTRATHECAL VALEANT CANADA LP/VALEANT CANADA S.E.C."
17276,"ampoule",5,"mL","Y",NA,2131064,"LIORESAL INTRATHECAL 2MG/ML NOVARTIS PHARMACEUTICALS CANADA INC"
89829,"ampoule",5,"mL","Y",NA,2413647,"VAL-BACLOFEN INTRATHECAL VALEANT CANADA LP/VALEANT CANADA S.E.C."
62344,"vial",2,"mL","Y",NA,2238903,"BENZTROPINE OMEGA OMEGA LABORATORIES LTD"
69787,"ampoule",1,"mL","Y",NA,2245686,"CALCITRIOL INJECTION FRESENIUS KABI CANADA LTD"
88422,"ampoule",1,"mL","Y",NA,2399334,"CALCITRIOL INJECTION USP STERIMAX INC"
88423,"ampoule",2,"mL","Y",NA,2399342,"CALCITRIOL INJECTION USP STERIMAX INC"
4232,"ampoule",1,"mL","Y",NA,497282,"CODEINE PHOSPHATE INJ 30MG/ML HOSPIRA HEALTHCARE CORPORATION"
4806,"ampoule",1,"mL","Y",NA,544884,"CODEINE PHOSPHATE INJECTION USP  SANDOZ CANADA INCORPORATED"
4233,"ampoule",1,"mL","Y",NA,497290,"CODEINE PHOSPHATE INJ 60MG/ML HOSPIRA HEALTHCARE CORPORATION"
3721,"ampoule",2,"mL","Y",NA,399728,"DIAZEPAM INJECTION USP SANDOZ CANADA INCORPORATED"
67132,"ampoule",2,"mL","Y",NA,2243240,"DIAZEPAM AUTOINJECTOR MERIDIAN MEDICAL TECHNOLOGIES INC."
87102,"ampoule",2,"mL","Y",NA,2385392,"DIAZEPAM INJECTION USP ALVEDA PHARMACEUTICALS INC"
87173,"ampoule",2,"mL","Y",NA,2386143,"DIAZEPAM INJECTION SDZ SANDOZ CANADA INCORPORATED"
15756,"ampoule",1,"mL","Y",NA,2048272,"PEDIATRIC DIGOXIN INJECTION C.S.D. SANDOZ CANADA INCORPORATED"
15757,"ampoule",2,"mL","Y",NA,2048264,"DIGOXIN INJECTION C.S.D. SANDOZ CANADA INCORPORATED"
49026,"vial",5,"mL","Y",NA,2230274,"DILTIAZEM HYDROCHLORIDE INJECTION TEVA CANADA LIMITED"
49026,"vial",10,"mL","Y",NA,2230274,"DILTIAZEM HYDROCHLORIDE INJECTION TEVA CANADA LIMITED"
68717,"vial",5,"mL","Y",NA,2244728,"DILTIAZEM HYDROCHLORIDE INJECTION SANDOZ CANADA INCORPORATED"
68717,"vial",10,"mL","Y",NA,2244728,"DILTIAZEM HYDROCHLORIDE INJECTION SANDOZ CANADA INCORPORATED"
12650,"vial",2,"mL","Y",NA,1923846,"VASOTEC IV SANDOZ CANADA INCORPORATED"
87402,"vial",1,"mL","Y",NA,2388499,"ENALAPRILAT INJECTION USP STERIMAX INC"
87402,"vial",2,"mL","Y",NA,2388499,"ENALAPRILAT INJECTION USP STERIMAX INC"
12664,"ampoule",2,"mL","Y",NA,888346,"FENTANYL CITRATE INJECTION HOSPIRA HEALTHCARE CORPORATION"
12664,"ampoule",5,"mL","Y",NA,888346,"FENTANYL CITRATE INJECTION HOSPIRA HEALTHCARE CORPORATION"
12664,"ampoule",10,"mL","Y",NA,888346,"FENTANYL CITRATE INJECTION HOSPIRA HEALTHCARE CORPORATION"
12664,"ampoule",20,"mL","Y",NA,888346,"FENTANYL CITRATE INJECTION HOSPIRA HEALTHCARE CORPORATION"
12664,"vial",10,"mL","Y",NA,888346,"FENTANYL CITRATE INJECTION HOSPIRA HEALTHCARE CORPORATION"
12664,"vial",20,"mL","Y",NA,888346,"FENTANYL CITRATE INJECTION HOSPIRA HEALTHCARE CORPORATION"
63983,"ampoule",2,"mL","Y",NA,2240434,"FENTANYL CITRATE INJECTION USP SANDOZ CANADA INCORPORATED"
63983,"vial",5,"mL","Y",NA,2240434,"FENTANYL CITRATE INJECTION USP SANDOZ CANADA INCORPORATED"
63983,"vial",10,"mL","Y",NA,2240434,"FENTANYL CITRATE INJECTION USP SANDOZ CANADA INCORPORATED"
