"","ccdd","top250name","dpd_ingredient","ing_stem","hydrate","ntp_ing"
"1","","","ABACAVIR (ABACAVIR SULFATE)","ABACAVIR",FALSE,"ABACAVIR (ABACAVIR SULFATE)"
"2","","","ABATACEPT","ABATACEPT",FALSE,"ABATACEPT"
"3","","","ABCIXIMAB","ABCIXIMAB",FALSE,"ABCIXIMAB"
"4","","","ACAMPROSATE CALCIUM","ACAMPROSATE CALCIUM",FALSE,"ACAMPROSATE CALCIUM"
"5","","","ACARBOSE","ACARBOSE",FALSE,"ACARBOSE"
"6","Y","ACEBUTOLOL","ACEBUTOLOL (ACEBUTOLOL HYDROCHLORIDE)","ACEBUTOLOL",FALSE,"ACEBUTOLOL (ACEBUTOLOL HYDROCHLORIDE)"
"7","","","ACENOCOUMAROL","ACENOCOUMAROL",FALSE,"ACENOCOUMAROL"
"8","Y","ACETAMINOPHEN","ACETAMINOPHEN","ACETAMINOPHEN",FALSE,"ACETAMINOPHEN"
"9","","","ACETAZOLAMIDE","ACETAZOLAMIDE",FALSE,"ACETAZOLAMIDE"
"10","","","ACETAZOLAMIDE (ACETAZOLAMIDE SODIUM)","ACETAZOLAMIDE",FALSE,"ACETAZOLAMIDE (ACETAZOLAMIDE SODIUM)"
"11","","","ACETIC ACID","ACETIC ACID",FALSE,"ACETIC ACID"
"12","","","ACETYLCHOLINE CHLORIDE","ACETYLCHOLINE CHLORIDE",FALSE,"ACETYLCHOLINE CHLORIDE"
"13","","","ACETYLCYSTEINE","ACETYLCYSTEINE",FALSE,"ACETYLCYSTEINE"
"14","","","ACETYLSALICYLIC ACID","ACETYLSALICYLIC ACID",FALSE,"ACETYLSALICYLIC ACID"
"15","Y","ACYCLOVIR","ACYCLOVIR","ACYCLOVIR",FALSE,"ACYCLOVIR"
"16","Y","ACYCLOVIR","ACYCLOVIR (ACYCLOVIR SODIUM)","ACYCLOVIR",FALSE,"ACYCLOVIR (ACYCLOVIR SODIUM)"
"17","","","ADALIMUMAB","ADALIMUMAB",FALSE,"ADALIMUMAB"
"18","","","ADAPALENE","ADAPALENE",FALSE,"ADAPALENE"
"19","","","ADEFOVIR DIPIVOXIL","ADEFOVIR DIPIVOXIL",FALSE,"ADEFOVIR DIPIVOXIL"
"20","","","ADENINE","ADENINE",FALSE,"ADENINE"
"21","","","ADENOSINE","ADENOSINE",FALSE,"ADENOSINE"
"22","","","AGALSIDASE ALFA","AGALSIDASE ALFA",FALSE,"AGALSIDASE ALFA"
"23","","","AGALSIDASE BETA","AGALSIDASE BETA",FALSE,"AGALSIDASE BETA"
"24","","","AIR","AIR",FALSE,"AIR"
"25","","","ALANINE","ALANINE",FALSE,"ALANINE"
"26","","","ALBUMIN","ALBUMIN",FALSE,"ALBUMIN"
"27","","","ALBUMIN (HUMAN)","ALBUMIN (HUMAN)",FALSE,"ALBUMIN (HUMAN)"
"28","","","ALCOHOL ANHYDROUS","ALCOHOL ANHYDROUS",FALSE,"ALCOHOL ANHYDROUS"
"29","","","ALDESLEUKIN","ALDESLEUKIN",FALSE,"ALDESLEUKIN"
"30","","","ALECTINIB (ALECTINIB HYDROCHLORIDE)","ALECTINIB (ALECTINIB HYDROCHLORIDE)",FALSE,"ALECTINIB (ALECTINIB HYDROCHLORIDE)"
"31","","","ALEMTUZUMAB","ALEMTUZUMAB",FALSE,"ALEMTUZUMAB"
"32","Y","ALENDRONATE","ALENDRONIC ACID (ALENDRONATE SODIUM TRIHYDRATE)","ALENDRONIC ACID",TRUE,"ALENDRONIC ACID (ALENDRONATE SODIUM TRIHYDRATE)"
