mp_code,mp_formal_name,mp_fr_description,changes
"00000841","ISOPTO CARPINE (pilocarpine hydrochloride 1 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC","ISOPTO CARPINE (chlorhydrate de pilocarpine 1 % gouttes ophtalmiques) NOVARTIS PHARMACEUTICALS CANADA INC","DELETED"
"00029149","FUNGIZONE (amphotericin B 50 mg per vial powder for solution for injection) CHEPLAPHARM ARZNEIMITTEL GMBH","FUNGIZONE (amphotéricine B 50 mg par fiole poudre pour solution injectable) CHEPLAPHARM ARZNEIMITTEL GMBH","ADDED"
"00037869","POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE USP (potassium chloride 149 mg per mL solution for injection) PFIZER CANADA ULC","POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE USP (chlorure de potassium 149 mg par mL solution injectable) PFIZER CANADA ULC","ADDED"
"00038083","SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 45 mmol per 50 mL solution for injection syringe) PFIZER CANADA ULC","SODIUM BICARBONATE INJECTION USP (bicarbonate de sodium 45 mmol par 50 mL solution injectable seringue) PFIZER CANADA ULC","ADDED"
"00261971","SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 5 mmol per 10 mL solution for injection syringe) PFIZER CANADA ULC","SODIUM BICARBONATE INJECTION USP (bicarbonate de sodium 5 mmol par 10 mL solution injectable seringue) PFIZER CANADA ULC","ADDED"
"00261998","SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 84 mg per mL solution for injection) PFIZER CANADA ULC","SODIUM BICARBONATE INJECTION USP (bicarbonate de sodium 84 mg par mL solution injectable) PFIZER CANADA ULC","ADDED"
"00266507","ADASEPT LIQ 0.5% (triclosan 0.5 % cutaneous liquid) ODAN LABORATORIES LTD","ADASEPT LIQ 0.5% (triclosan 0,5 % liquide cutané) ODAN LABORATORIES LTD","ADDED"
"00363014","PROCTOFOAM HC (hydrocortisone acetate 1 % and pramoxine hydrochloride 1 % rectal foam) DUCHESNAY INC","PROCTOFOAM HC (acétate d'hydrocortisone 1 % et chlorhydrate de pramoxine 1 % mousse rectale) DUCHESNAY INC","mp_fr_description: ""PROCTOFOAM HC (acétate d'hydrocortisone 1 % et chlorhydrate de pramoxime 1 % mousse rectale) DUCHESNAY INC"" -> ""PROCTOFOAM HC (acétate d'hydrocortisone 1 % et chlorhydrate de pramoxine 1 % mousse rectale) DUCHESNAY INC"""
"00373435","DETTOL (chloroxylenol 4.8 % cutaneous solution) RB HEALTH (CANADA) INC.","DETTOL (chloroxylénol 4,8 % solution pour application cutanée) RB HEALTH (CANADA) INC.","ADDED"
"00402206","POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE (potassium chloride 20 meq per 10 mL solution for injection) OMEGA LABORATORIES LTD","POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE (chlorure de potassium 20 meq par 10 mL solution injectable) OMEGA LABORATORIES LTD","ADDED"
"00438898","FORMULE C34 (piperazine 100 mg per mL oral liquid) HERBAGES NATURBEC LTÉE.","FORMULE C34 (pipérazine 100 mg par mL liquide oral) HERBAGES NATURBEC LTÉE.","ADDED"
"00451207","TIMOPTIC (timolol (timolol maleate) 0.5 % ophthalmic drops) ELVIUM LIFE SCIENCES","TIMOPTIC (timolol (maléate de timolol) 0,5 % gouttes ophtalmiques) ELVIUM LIFE SCIENCES","mp_formal_name: ""TIMOPTIC (timolol (timolol maleate) 0.5 % ophthalmic drops) PURDUE PHARMA"" -> ""TIMOPTIC (timolol (timolol maleate) 0.5 % ophthalmic drops) ELVIUM LIFE SCIENCES""
mp_fr_description: ""TIMOPTIC (timolol (maléate de timolol) 0,5 % gouttes ophtalmiques) PURDUE PHARMA"" -> ""TIMOPTIC (timolol (maléate de timolol) 0,5 % gouttes ophtalmiques) ELVIUM LIFE SCIENCES"""
