drug_code,active_ingredient_code,status,extract,ingredient,strength,strength_unit,drug_identification_number
"20021","11181","REMOVED","active",NA,NA,NA,"02216280"
"20022","11181","REMOVED","active",NA,NA,NA,"02216272"
"20023","11181","REMOVED","active",NA,NA,NA,"02216264"
"20014","11181","REMOVED","active",NA,NA,NA,"02216248"
"101288","20613","REMOVED","active",NA,NA,NA,"02523825"
"20015","11181","REMOVED","active",NA,NA,NA,"02216256"
"76539","723","Changed","active","RISPERIDONE","1","MG","02279800"
"76542","723","Changed","active","RISPERIDONE","4","MG","02279835"
"12492","309","Changed","inactive","IRON (IRON MALATE)","7.5","MG","00879851"
"102284","51","ADDED","approved","CALCIUM CHLORIDE","9.92","G","02533863"
"102305","13326","ADDED","approved","PEMETREXED (PEMETREXED DISODIUM)","500","MG","02534096"
"102243","23349","ADDED","approved","RAVULIZUMAB","300","MG","02533448"
"102265","13090","ADDED","approved","GEFITINIB","250","MG","02533685"
"102270","19840","ADDED","approved","RASAGILINE (RASAGILINE MESYLATE)","1","MG","02533731"
"102275","47","ADDED","approved","ACETIC ACID","8.11","G","02533790"
"102299","20554","ADDED","approved","AZACITIDINE","100","MG","02534029"
"102282","51","ADDED","approved","CALCIUM CHLORIDE","8.26","G","02533871"
"102281","42","ADDED","approved","DEXTROSE","49.5","G","02533847"
"102226","20883","ADDED","approved","ABIRATERONE ACETATE","500","MG","02533251"
"102281","53","ADDED","approved","POTASSIUM CHLORIDE","6.71","G","02533847"
"102279","49","ADDED","approved","MAGNESIUM CHLORIDE","6.86","G","02533812"
"101288","424","ADDED","active","AZITHROMYCIN (AZITHROMYCIN DIHYDRATE)","500","MG","02523825"
"102264","6417","ADDED","approved","METHADONE HYDROCHLORIDE","25","MG","02533677"
"102260","6492","ADDED","approved","PSEUDOEPHEDRINE HYDROCHLORIDE","15","MG","02533626"
"102232","4892","ADDED","approved","ALFACALCIDOL","1","MCG","02533324"
"102304","13326","ADDED","approved","PEMETREXED (PEMETREXED DISODIUM)","100","MG","02534088"
"102278","47","ADDED","approved","ACETIC ACID","10.81","G","02533820"
"102283","47","ADDED","approved","ACETIC ACID","10.81","G","02533855"
"102268","6850","ADDED","approved","BENZOYL PEROXIDE","4","%","02533715"
"102311","22528","ADDED","approved","SIMOCTOCOG ALFA","1500","UNIT","02534169"
"20014","10024","ADDED","active","DESIPRAMINE HYDROCHLORIDE","10","MG","02216248"
"102280","51","ADDED","approved","CALCIUM CHLORIDE","6.62","G","02533839"
"102276","51","ADDED","approved","CALCIUM CHLORIDE","10.25","G","02533782"
"101708","7289","ADDED","approved","ZINC OXIDE","8","%","02527898"
"102254","1859","ADDED","approved","MISOPROSTOL","200","MCG","02533553"
"102284","47","ADDED","approved","ACETIC ACID","10.81","G","02533863"
"101665","12048","ADDED","approved","OCTISALATE","3","%","02527596"
"102311","8826","ADDED","approved","WATER","2.5","ML","02534169"
"102291","723","ADDED","approved","RISPERIDONE","3","MG","02533952"
"102275","51","ADDED","approved","CALCIUM CHLORIDE","8.26","G","02533790"
"102281","55","ADDED","approved","SODIUM CHLORIDE","268","G","02533847"
"102282","47","ADDED","approved","ACETIC ACID","10.8","G","02533871"
"102222","918","ADDED","approved","MIDODRINE HYDROCHLORIDE","5","MG","02533219"
"102278","51","ADDED","approved","CALCIUM CHLORIDE","8.26","G","02533820"
"102274","49","ADDED","approved","MAGNESIUM CHLORIDE","1.61","G","02533774"
"101665","2280","ADDED","approved","OCTOCRYLENE","6","%","02527596"
"102276","47","ADDED","approved","ACETIC ACID","10.81","G","02533782"
"102280","47","ADDED","approved","ACETIC ACID","10.81","G","02533839"
"102283","51","ADDED","approved","CALCIUM CHLORIDE","8.26","G","02533855"
"12298","309","Changed","inactive","IRON (IRON GLUTARATE)",".5","MG","01901117"
"102284","53","ADDED","approved","POTASSIUM CHLORIDE","10.1","G","02533863"
"102216","7942","ADDED","approved","CETIRIZINE HYDROCHLORIDE","20","MG","02533154"
"20023","10024","ADDED","active","DESIPRAMINE HYDROCHLORIDE","50","MG","02216264"
"102220","23783","ADDED","approved","FAMTOZINAMERAN","5","MCG","02533197"
"102275","55","ADDED","approved","SODIUM CHLORIDE","275","G","02533790"
"102282","42","ADDED","approved","DEXTROSE","49.5","G","02533871"
"102282","53","ADDED","approved","POTASSIUM CHLORIDE","10.1","G","02533871"
"102281","51","ADDED","approved","CALCIUM CHLORIDE","10.25","G","02533847"
"102272","49","ADDED","approved","MAGNESIUM CHLORIDE","6.86","G","02533758"
"102262","6417","ADDED","approved","METHADONE HYDROCHLORIDE","5","MG","02533650"
"102286","49","ADDED","approved","MAGNESIUM CHLORIDE","4.57","G","02533898"
"102289","723","ADDED","approved","RISPERIDONE","1","MG","02533936"
"101708","1970","ADDED","approved","HOMOSALATE","10","%","02527898"
"102278","53","ADDED","approved","POTASSIUM CHLORIDE","3.35","G","02533820"
"102278","42","ADDED","approved","DEXTROSE","49.5","G","02533820"
"102276","55","ADDED","approved","SODIUM CHLORIDE","268","G","02533782"
"102283","53","ADDED","approved","POTASSIUM CHLORIDE","5.02","G","02533855"
"102280","55","ADDED","approved","SODIUM CHLORIDE","275","G","02533839"
"102283","42","ADDED","approved","DEXTROSE","49.5","G","02533855"
"102273","49","ADDED","approved","MAGNESIUM CHLORIDE","3.48","G","02533766"
"102284","55","ADDED","approved","SODIUM CHLORIDE","263","G","02533863"
"102275","53","ADDED","approved","POTASSIUM CHLORIDE","5.02","G","02533790"
"102246","13356","ADDED","approved","ADALIMUMAB","40","MG","02533480"
"102091","7554","ADDED","approved","PROGESTERONE","50","MG","02531828"
"102275","42","ADDED","approved","DEXTROSE","49.5","G","02533790"
"102281","47","ADDED","approved","ACETIC ACID","10.81","G","02533847"
"102298","10258","ADDED","approved","PHENYLEPHRINE HYDROCHLORIDE","0.25","%","02534010"
"102282","55","ADDED","approved","SODIUM CHLORIDE","263","G","02533871"
"102298","10225","ADDED","approved","LIDOCAINE HYDROCHLORIDE","5","%","02534010"
"101363","22341","ADDED","approved","ICATIBANT (ICATIBANT ACETATE)","10","MG","02524619"
"102295","196","ADDED","approved","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","0.208","%","02534002"
"102306","7942","ADDED","approved","CETIRIZINE HYDROCHLORIDE","20","MG","02534126"
"102314","5280","ADDED","approved","CHLORHEXIDINE ACETATE","0.5","%","02534193"
"102300","20554","ADDED","approved","AZACITIDINE","150","MG","02534037"
"102285","49","ADDED","approved","MAGNESIUM CHLORIDE","6.86","G","02533901"
"102278","55","ADDED","approved","SODIUM CHLORIDE","268","G","02533820"
"102280","53","ADDED","approved","POTASSIUM CHLORIDE","6.71","G","02533839"
"102280","42","ADDED","approved","DEXTROSE","49.5","G","02533839"
"102283","55","ADDED","approved","SODIUM CHLORIDE","275","G","02533855"
"102276","42","ADDED","approved","DEXTROSE","49.5","G","02533782"
"101244","22341","ADDED","approved","ICATIBANT (ICATIBANT ACETATE)","10","MG","02523337"
"102276","53","ADDED","approved","POTASSIUM CHLORIDE","3.35","G","02533782"
"102284","42","ADDED","approved","DEXTROSE","49.5","G","02533863"
"102269","19840","ADDED","approved","RASAGILINE (RASAGILINE MESYLATE)","0.5","MG","02533723"
"22943","4803","Changed","inactive","CALCIUM (CALCIUM CITRATE)","20","MG","01959840"
"73902","42","Changed","inactive","DEXTROSE","99","G","02254093"
"73902","55","Changed","inactive","SODIUM CHLORIDE","268","G","02254093"
"76540","723","Changed","active","RISPERIDONE","2","MG","02279819"
"102274","42","ADDED","approved","DEXTROSE","49.5","G","02533774"
"102274","53","ADDED","approved","POTASSIUM CHLORIDE","6.71","G","02533774"
"102285","47","ADDED","approved","ACETIC ACID","10.81","G","02533901"
"102290","723","ADDED","approved","RISPERIDONE","2","MG","02533944"
"102259","10258","ADDED","approved","PHENYLEPHRINE HYDROCHLORIDE","5","MG","02533634"
"102251","10234","ADDED","approved","HYDROCHLOROTHIAZIDE","25","MG","02533529"
"100594","22341","ADDED","approved","ICATIBANT (ICATIBANT ACETATE)","30","MG","02516608"
"102279","55","ADDED","approved","SODIUM CHLORIDE","268","G","02533812"
"20021","10024","ADDED","active","DESIPRAMINE HYDROCHLORIDE","100","MG","02216280"
"20022","10024","ADDED","active","DESIPRAMINE HYDROCHLORIDE","75","MG","02216272"
"102244","23349","ADDED","approved","RAVULIZUMAB","1100","MG","02533456"
"102263","6417","ADDED","approved","METHADONE HYDROCHLORIDE","10","MG","02533669"
"100288","22341","ADDED","approved","ICATIBANT (ICATIBANT ACETATE)","10","MG","02513773"
"102225","13271","ADDED","approved","FEBUXOSTAT (FEBUXOSTAT HEMIHYDRATE)","80","MG","02533243"
"102272","47","ADDED","approved","ACETIC ACID","10.81","G","02533758"
"102286","47","ADDED","approved","ACETIC ACID","10.81","G","02533898"
"102245","12108","ADDED","approved","BIMATOPROST","0.03","%","02533464"
"102247","13356","ADDED","approved","ADALIMUMAB","40","MG","02533472"
"102273","51","ADDED","approved","CALCIUM CHLORIDE","9.91","G","02533766"
"102250","10234","ADDED","approved","HYDROCHLOROTHIAZIDE","12.5","MG","02533510"
"102285","51","ADDED","approved","CALCIUM CHLORIDE","9.92","G","02533901"
"102213","13276","ADDED","approved","FULVESTRANT","50","MG","02533111"
"102274","55","ADDED","approved","SODIUM CHLORIDE","263","G","02533774"
"102295","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.208","%","02534002"
"102224","12056","ADDED","approved","GATIFLOXACIN","0.3","%","02533235"
"102221","918","ADDED","approved","MIDODRINE HYDROCHLORIDE","2.5","MG","02533200"
"102279","42","ADDED","approved","DEXTROSE","49.5","G","02533812"
"102251","11161","ADDED","approved","QUINAPRIL (QUINAPRIL HYDROCHLORIDE)","20","MG","02533529"
"102279","53","ADDED","approved","POTASSIUM CHLORIDE","6.71","G","02533812"
"102259","10247","ADDED","approved","DEXTROMETHORPHAN HYDROBROMIDE","10","MG","02533634"
"102281","49","ADDED","approved","MAGNESIUM CHLORIDE","6.86","G","02533847"
"102272","51","ADDED","approved","CALCIUM CHLORIDE","10.25","G","02533758"
"102250","11161","ADDED","approved","QUINAPRIL (QUINAPRIL HYDROCHLORIDE)","20","MG","02533510"
"102277","723","ADDED","approved","RISPERIDONE","0.25","MG","02533804"
"102286","51","ADDED","approved","CALCIUM CHLORIDE","8.27","G","02533898"
"102260","10247","ADDED","approved","DEXTROMETHORPHAN HYDROBROMIDE","7.5","MG","02533626"
"101665","1970","ADDED","approved","HOMOSALATE","9","%","02527596"
"102302","9388","ADDED","approved","ALLOPURINOL","200","MG","02534053"
"102273","47","ADDED","approved","ACETIC ACID","10.81","G","02533766"
"76541","723","Changed","active","RISPERIDONE","3","MG","02279827"
"12305","331","Changed","inactive","ZINC (ZINC GLUTARATE)",".5","MG","01900625"
"12313","331","Changed","inactive","ZINC (ZINC SUCCINATE)",".5","MG","00849871"
"101708","12049","ADDED","approved","OCTINOXATE","5","%","02527898"
"102285","55","ADDED","approved","SODIUM CHLORIDE","263","G","02533901"
"102278","49","ADDED","approved","MAGNESIUM CHLORIDE","6.86","G","02533820"
