drug_code,active_ingredient_code,status,extract,ingredient,strength,strength_unit,drug_identification_number
"12492","309","Changed","inactive","IRON (IRON GLUTARATE)","2.5","MG","00879851"
"104524","7426","ADDED","approved","ETHINYL ESTRADIOL","0.03","MG","02556553"
"104521","7606","ADDED","approved","BETAMETHASONE ACETATE","1","MG","02556529"
"93383","27004","ADDED","approved","*ANTIHEMOPHILIC FACTOR VIII (RECOMBINANT, BDD), FC-VWF-XTEN FUSION PROTEIN","2000","UNIT","02448149"
"93384","27004","ADDED","approved","*ANTIHEMOPHILIC FACTOR VIII (RECOMBINANT, BDD), FC-VWF-XTEN FUSION PROTEIN","4000","UNIT","02448157"
"106051","1395","ADDED","approved","FAMOTIDINE","20","MG","02557169"
"106014","10224","ADDED","approved","DOXYLAMINE SUCCINATE","6.25","MG","02556758"
"93386","20435","ADDED","approved","ARIPIPRAZOLE","2","MG","02448173"
"106018","10224","ADDED","approved","DOXYLAMINE SUCCINATE","6.25","MG","02556790"
"93390","20435","ADDED","approved","ARIPIPRAZOLE","20","MG","02448238"
"93369","232","ADDED","approved","PERINDOPRIL ERBUMINE","2","MG","02447991"
"106004","20378","ADDED","approved","NILOTINIB (NILOTINIB HYDROCHLORIDE MONOHYDRATE)","200","MG","02556642"
"106019","11865","ADDED","approved","CELECOXIB","120","MG","02556804"
"12298","309","Changed","inactive","IRON (FERROUS FUMARATE)","6","MG","01901117"
"93382","27004","ADDED","approved","*ANTIHEMOPHILIC FACTOR VIII (RECOMBINANT, BDD), FC-VWF-XTEN FUSION PROTEIN","1000","UNIT","02448130"
"106041","8750","ADDED","approved","MAGNESIUM SULFATE","500","MG","02557045"
"93393","7762","ADDED","approved","ALPHA1-PROTEINASE INHIBITOR (HUMAN)","2","MCG","02448262"
"106001","8317","ADDED","approved","ATOVAQUONE","750","MG","02556618"
"106064","11086","ADDED","approved","PANTOPRAZOLE (PANTOPRAZOLE SODIUM SESQUIHYDRATE)","20","MG","02557312"
"93388","20435","ADDED","approved","ARIPIPRAZOLE","10","MG","02448203"
"93387","20435","ADDED","approved","ARIPIPRAZOLE","5","MG","02448181"
"93385","5900","ADDED","approved","METHOTREXATE","10","MG","02448165"
"104524","660","ADDED","approved","DESOGESTREL","0.15","MG","02556553"
"93375","7152","ADDED","approved","CETYLPYRIDINIUM CHLORIDE","0.075","%","02448068"
"93392","7762","ADDED","approved","ALPHA1-PROTEINASE INHIBITOR (HUMAN)","2","MCG","02448254"
"97973","11175","Changed","approved","KETOTIFEN (KETOTIFEN FUMARATE)","0.025","% W/V","02489651"
"106044","270","ADDED","approved","ACETAMINOPHEN","325","MG","02557088"
"106025","11718","ADDED","approved","QUETIAPINE (QUETIAPINE FUMARATE)","400","MG","02556863"
"93371","232","ADDED","approved","PERINDOPRIL ERBUMINE","8","MG","02448017"
"106013","10247","ADDED","approved","DEXTROMETHORPHAN HYDROBROMIDE","15","MG","02556731"
"104521","11385","ADDED","approved","TERBINAFINE","10","MG","02556529"
"106036","11104","ADDED","approved","ONDANSETRON (ONDANSETRON HYDROCHLORIDE)","4","MG","02556995"
"106048","10135","ADDED","approved","CHLORTHALIDONE","25","MG","02557134"
"93370","232","ADDED","approved","PERINDOPRIL ERBUMINE","4","MG","02448009"
"106035","6404","ADDED","approved","BISMUTH SUBSALICYLATE","35.2","MG","02556987"
"93370","1960","ADDED","approved","INDAPAMIDE","1.25","MG","02448009"
"106013","270","ADDED","approved","ACETAMINOPHEN","500","MG","02556731"
"93371","1960","ADDED","approved","INDAPAMIDE","2.5","MG","02448017"
"106055","20872","Changed","approved","TOLVAPTAN","30","MG","02557207"
"22943","4803","Changed","inactive","CALCIUM (CALCIUM CITRATE)","20","MG","01959840"
"106023","11718","ADDED","approved","QUETIAPINE (QUETIAPINE FUMARATE)","200","MG","02556847"
"93369","1960","ADDED","approved","INDAPAMIDE","0.625","MG","02447991"
"106037","11104","ADDED","approved","ONDANSETRON (ONDANSETRON HYDROCHLORIDE)","8","MG","02557002"
"106029","8642","ADDED","approved","DOXYCYCLINE (DOXYCYCLINE HYCLATE)","100","MG","02556928"
"106015","5280","ADDED","approved","CHLORHEXIDINE ACETATE","0.5","%","02556766"
"106022","11718","ADDED","approved","QUETIAPINE (QUETIAPINE FUMARATE)","150","MG","02556839"
"106021","11718","ADDED","approved","QUETIAPINE (QUETIAPINE FUMARATE)","50","MG","02556820"
"106049","10135","ADDED","approved","CHLORTHALIDONE","50","MG","02557142"
"106045","7128","ADDED","approved","HYDROGEN PEROXIDE","4.4","%","02557096"
"106027","27007","ADDED","approved","CIPAGLUCOSIDASE ALFA","105","MG","02556898"
"106042","2232","ADDED","approved","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","0.252","%","02557053"
"106045","2203","ADDED","approved","PERACETIC ACID","0.23","%","02557096"
"106073","270","ADDED","approved","ACETAMINOPHEN","500","MG","02557401"
"106003","20378","ADDED","approved","NILOTINIB (NILOTINIB HYDROCHLORIDE MONOHYDRATE)","150","MG","02556634"
"106045","47","ADDED","approved","ACETIC ACID","4.9","%","02557096"
"106057","1200","ADDED","approved","ZOPICLONE","3.75","MG","02557223"
"106040","1896","ADDED","approved","LABETALOL HYDROCHLORIDE","1","MG","02557037"
"98165","21173","ADDED","approved","FAMPRIDINE","10","MG","02491672"
"104480","24066","ADDED","approved","ROZANOLIXIZUMAB","140","MG","02556081"
"93389","20435","ADDED","approved","ARIPIPRAZOLE","15","MG","02448211"
"93380","27004","ADDED","approved","*ANTIHEMOPHILIC FACTOR VIII (RECOMBINANT, BDD), FC-VWF-XTEN FUSION PROTEIN","250","UNIT","02448114"
"106065","11086","ADDED","approved","PANTOPRAZOLE (PANTOPRAZOLE SODIUM SESQUIHYDRATE)","40","MG","02557304"
"93377","10147","ADDED","approved","METFORMIN HYDROCHLORIDE","500","MG","02448084"
"104525","660","ADDED","approved","DESOGESTREL","0.15","MG","02556561"
"106039","1896","ADDED","approved","LABETALOL HYDROCHLORIDE","1","MG","02557029"
"104516","11081","ADDED","approved","ROPIVACAINE HYDROCHLORIDE","2","MG","02556472"
"106058","1200","ADDED","approved","ZOPICLONE","5","MG","02557231"
