drug_code,mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
3089,00417270,VISKEN (pindolol 5 mg comprimé oral) XEDITON PHARMACEUTICALS INC,pindolol 5 mg comprimé oral,pindolol,"mp_fr_description: ""VISKEN (pindolol 5 mg comprimé oral) A̲R̲A̲L̲E̲Z̲ PHARMACEUTICALS ̲C̲A̲N̲A̲D̲A̲ INC"" -> ""VISKEN (pindolol 5 mg comprimé oral) X̲E̲D̲I̲T̲O̲N̲ PHARMACEUTICALS INC"""
3091,00443174,VISKEN (pindolol 10 mg comprimé oral) XEDITON PHARMACEUTICALS INC,pindolol 10 mg comprimé oral,pindolol,"mp_fr_description: ""VISKEN (pindolol 10 mg comprimé oral) A̲R̲A̲L̲E̲Z̲ PHARMACEUTICALS ̲C̲A̲N̲A̲D̲A̲ INC"" -> ""VISKEN (pindolol 10 mg comprimé oral) X̲E̲D̲I̲T̲O̲N̲ PHARMACEUTICALS INC"""
5156,00568627,VISKAZIDE (hydrochlorothiazide 25 mg et pindolol 10 mg comprimé oral) XEDITON PHARMACEUTICALS INC,hydrochlorothiazide 25 mg et pindolol 10 mg comprimé oral,hydrochlorothiazide et pindolol,"mp_fr_description: ""VISKAZIDE (hydrochlorothiazide 25 mg et pindolol 10 mg comprimé oral) A̲R̲A̲L̲E̲Z̲ PHARMACEUTICALS ̲C̲A̲N̲A̲D̲A̲ INC"" -> ""VISKAZIDE (hydrochlorothiazide 25 mg et pindolol 10 mg comprimé oral) X̲E̲D̲I̲T̲O̲N̲ PHARMACEUTICALS INC"""
5157,00568635,VISKAZIDE (hydrochlorothiazide 50 mg et pindolol 10 mg comprimé oral) XEDITON PHARMACEUTICALS INC,hydrochlorothiazide 50 mg et pindolol 10 mg comprimé oral,hydrochlorothiazide et pindolol,"mp_fr_description: ""VISKAZIDE (hydrochlorothiazide 50 mg et pindolol 10 mg comprimé oral) A̲R̲A̲L̲E̲Z̲ PHARMACEUTICALS ̲C̲A̲N̲A̲D̲A̲ INC"" -> ""VISKAZIDE (hydrochlorothiazide 50 mg et pindolol 10 mg comprimé oral) X̲E̲D̲I̲T̲O̲N̲ PHARMACEUTICALS INC"""
5997,00626627,ODAN-CYCLOPENTOLATE (chlorhydrate de cyclopentolate 1 % gouttes ophtalmiques) ODAN LABORATORIES LTD,chlorhydrate de cyclopentolate 1 % gouttes ophtalmiques,cyclopentolate,ADDED
7292,00474517,"ONE-ALPHA (alfacalcidol 0,25 mcg capsule orale) LEO PHARMA INC","alfacalcidol 0,25 mcg capsule orale",alfacalcidol,"mp_fr_description: ""ONE ̲A̲L̲P̲H̲A̲ ̲C̲A̲P̲S̲ ̲0̲.̲2̲5̲M̲C̲G̲ (alfacalcidol 0,25 mcg capsule orale) LEO PHARMA INC"" -> ""ONE-̲A̲L̲P̲H̲A̲ (alfacalcidol 0,25 mcg capsule orale) LEO PHARMA INC"""
7293,00474525,ONE-ALPHA (alfacalcidol 1 mcg capsule orale) LEO PHARMA INC,alfacalcidol 1 mcg capsule orale,alfacalcidol,"mp_fr_description: ""ONE ̲A̲L̲P̲H̲A̲ ̲C̲A̲P̲S̲ ̲1̲M̲C̲G̲ (alfacalcidol 1 mcg capsule orale) LEO PHARMA INC"" -> ""ONE-̲A̲L̲P̲H̲A̲ (alfacalcidol 1 mcg capsule orale) LEO PHARMA INC"""
11196,00851744,"ELOCOM (furoate de mométasone 0,1 % crème cutanée) ORGANON CANADA INC.","furoate de mométasone 0,1 % crème cutanée",mométasone,"mp_fr_description: ""ELOCOM (furoate de mométasone 0,1 % crème cutanée) M̲E̲R̲C̲K̲ CANADA INC"" -> ""ELOCOM (furoate de mométasone 0,1 % crème cutanée) O̲R̲G̲A̲N̲O̲N̲ CANADA INC.̲"""
11443,00871095,"ELOCOM (furoate de mométasone 0,1 % lotion) ORGANON CANADA INC.","furoate de mométasone 0,1 % lotion",mométasone,"mp_fr_description: ""ELOCOM (furoate de mométasone 0,1 % lotion) M̲E̲R̲C̲K̲ CANADA INC"" -> ""ELOCOM (furoate de mométasone 0,1 % lotion) O̲R̲G̲A̲N̲O̲N̲ CANADA INC.̲"""
11444,00851736,"ELOCOM (furoate de mométasone 0,1 % pommade cutanée) ORGANON CANADA INC.","furoate de mométasone 0,1 % pommade cutanée",mométasone,"mp_fr_description: ""ELOCOM (furoate de mométasone 0,1 % pommade cutanée) M̲E̲R̲C̲K̲ CANADA INC"" -> ""ELOCOM (furoate de mométasone 0,1 % pommade cutanée) O̲R̲G̲A̲N̲O̲N̲ CANADA INC.̲"""
19802,02153513,ONCOTICE (bacille de Calmette-Guérin sous-souche TICE 800000000 unité par fiole poudre pour solution intravésicale) MERCK CANADA INC,bacille de Calmette-Guérin sous-souche TICE 800000000 unité par fiole poudre pour solution intravésicale,bacille de Calmette-Guérin sous-souche TICE,DELETED
