drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"2787","active","active","00319724","LABORATOIRES CONFAB INC","SANDOZ CANADA INCORPORATED"
"5974","active","active","00622125","BOEHRINGER INGELHEIM ANIMAL HEALTH CANADA INC.","MERIAL CANADA INC"
"6645","active","active","00319716","LABORATOIRES CONFAB INC","SANDOZ CANADA INCORPORATED"
"14492","active","active","02036312","GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"
"43416","active","active","02225158","CHEPLAPHARM ARZNEIMITTEL GMBH","SANOFI-AVENTIS CANADA INC"
"43417","active","active","02225166","CHEPLAPHARM ARZNEIMITTEL GMBH","SANOFI-AVENTIS CANADA INC"
"43499","active","active","02228955","CHEPLAPHARM ARZNEIMITTEL GMBH","SANOFI-AVENTIS CANADA INC"
"64338","active","active","02240749","CHEPLAPHARM ARZNEIMITTEL GMBH","SANOFI-AVENTIS CANADA INC"
"65432","active","active","02241769","GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"
"72567","active","active","02248231","GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"
"72786","active","active","02248435","GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"
"73565","active","active","02250705","GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"
"75302","active","active","02267616","GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"
"76500","active","active","02279401","UPJOHN CANADA ULC","PFIZER CANADA ULC"
"76674","active","active","02281074","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"81992","active","active","02334240","GROUPE INNUSCIENCE INC.","INNU-SCIENCE CANADA INC"
"81993","active","active","02334259","GROUPE INNUSCIENCE INC.","INNU-SCIENCE CANADA INC"
"82711","active","active","02341611","UPJOHN CANADA ULC","PFIZER CANADA ULC"
"83679","active","active","02351528","VALEO PHARMA INC","JANSSEN INC"
"87804","active","active","02392801","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC."
"87805","active","active","02392828","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC."
"87806","active","active","02392836","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC."
"87807","active","active","02392844","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC."
"87808","active","active","02392852","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC."
"87809","active","active","02392860","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC."
"88874","active","active","02403986","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY"
"88887","dormant","active","02404095","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY"
"90021","active","active","02415623","GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"
"92405","active","active","02439654","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY"
"92406","active","active","02439662","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY"
"94335","active","active","02456451","MEDEXUS PHARMACEUTICALS INC","PEDIAPHARM INC"
"94336","active","active","02456478","MEDEXUS PHARMACEUTICALS INC","PEDIAPHARM INC"
"94696","active","active","02459655","MEDEXUS PHARMACEUTICALS INC","PEDIAPHARM INC"
"96230","active","active","02472945","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"66186","approved","inactive","02242461","CHEPLAPHARM ARZNEIMITTEL GMBH","ASTRAZENECA CANADA INC"
"66187","approved","inactive","02242462","CHEPLAPHARM ARZNEIMITTEL GMBH","ASTRAZENECA CANADA INC"
"81991","approved","approved","02334232","GROUPE INNUSCIENCE INC.","INNU-SCIENCE CANADA INC"
"86951","approved","approved","02383748","STRIDES PHARMA CANADA INC","MYLAN PHARMACEUTICALS ULC"
"86952","approved","approved","02383756","STRIDES PHARMA CANADA INC","MYLAN PHARMACEUTICALS ULC"
"96074","approved","approved","02471582","NORTH AMERICAN INFECTION CONTROL LTD.","NORTH AMERICAN INFECTION CONTROL LTD"
"96083","approved","approved","02471639","NORTH AMERICAN INFECTION CONTROL LTD.","NORTH AMERICAN INFECTION CONTROL LTD"
"97754","approved","approved","02487365","JUNO PHARMACEUTICALS CORP.","MDA INC."
"97755","approved","approved","02487373","JUNO PHARMACEUTICALS CORP.","MDA INC."
"97802","approved","approved","02487861","NORTH AMERICAN INFECTION CONTROL LTD.","NORTH AMERICAN INFECTION CONTROL LTD"
"97803","approved","approved","02487888","NORTH AMERICAN INFECTION CONTROL LTD.","NORTH AMERICAN INFECTION CONTROL LTD"
