drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"98995","66","SUBLINGUAL","ADDED","02500264"
"98968","94","DISINFECTANT (Institutional/Industrial)","ADDED","02499975"
"99022","8","DISINFECTANT (Food Premises)","ADDED","02500558"
"98964","2","DISINFECTANT (Barn)","ADDED","02499932"
"99032","1","BLOCK/INFILTRATION","ADDED","02500655"
"98949","8","DISINFECTANT (Food Premises)","ADDED","02499770"
"99050","94","DISINFECTANT (Institutional/Industrial)","ADDED","02500841"
"99010","2","DISINFECTANT (Barn)","ADDED","02500426"
"99009","94","DISINFECTANT (Institutional/Industrial)","ADDED","02500418"
"98989","56","ORAL","ADDED","02500183"
"98963","22","INTRAMUSCULAR","ADDED","02499924"
"99043","94","DISINFECTANT (Institutional/Industrial)","ADDED","02500787"
"98957","94","DISINFECTANT (Institutional/Industrial)","ADDED","02499851"
"98935","56","ORAL","ADDED","02499622"
"98951","8","DISINFECTANT (Food Premises)","ADDED","02499797"
"98962","22","INTRAMUSCULAR","ADDED","02499916"
"99023","105","TOPICAL (COMMERCIAL)","ADDED","02500566"
"99044","94","DISINFECTANT (Institutional/Industrial)","ADDED","02500779"
"98972","93","DISINFECTANT (Domestic)","ADDED","02500000"
"99054","56","ORAL","ADDED","02500922"
"98998","66","SUBLINGUAL","ADDED","02500280"
"98987","56","ORAL","ADDED","02500167"
"98958","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02499878"
"98972","94","DISINFECTANT (Institutional/Industrial)","ADDED","02500000"
"99044","93","DISINFECTANT (Domestic)","ADDED","02500779"
"99012","2","DISINFECTANT (Barn)","ADDED","02500442"
"65845","94","DISINFECTANT (Institutional/Industrial)","ADDED","02242167"
"99035","93","DISINFECTANT (Domestic)","ADDED","02500698"
"98972","8","DISINFECTANT (Food Premises)","ADDED","02500000"
"98968","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02499975"
"98957","93","DISINFECTANT (Domestic)","ADDED","02499851"
"98960","56","ORAL","ADDED","02499894"
"98949","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02499770"
"99009","93","DISINFECTANT (Domestic)","ADDED","02500418"
"98966","56","ORAL","ADDED","02499959"
"99002","2","DISINFECTANT (Barn)","ADDED","02500329"
"99022","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02500558"
"98973","56","ORAL","ADDED","02500019"
"99044","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02500779"
"98951","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02499797"
"97985","55","OPHTHALMIC","ADDED","02489775"
"98994","94","DISINFECTANT (Institutional/Industrial)","ADDED","02500248"
"99036","22","INTRAMUSCULAR","ADDED","02500701"
"98958","93","DISINFECTANT (Domestic)","ADDED","02499878"
"99050","93","DISINFECTANT (Domestic)","ADDED","02500841"
"99061","93","DISINFECTANT (Domestic)","ADDED","02500957"
"99055","104","TOPICAL (HOUSEHOLD)","ADDED","02500892"
"98993","2","DISINFECTANT (Barn)","ADDED","02500221"
"99026","2","DISINFECTANT (Barn)","ADDED","02500590"
"98976","56","ORAL","ADDED","02500043"
"99009","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02500418"
"98967","70","TOPICAL","ADDED","02499967"
"98996","104","TOPICAL (HOUSEHOLD)","ADDED","02500256"
"99037","22","INTRAMUSCULAR","ADDED","02500728"
"98968","93","DISINFECTANT (Domestic)","ADDED","02499975"
"98957","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02499851"
"99029","2","DISINFECTANT (Barn)","ADDED","02500620"
"99051","94","DISINFECTANT (Institutional/Industrial)","ADDED","02500868"
"99043","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02500787"
"98994","8","DISINFECTANT (Food Premises)","ADDED","02500248"
"98493","70","TOPICAL","ADDED","02494965"
"98990","104","TOPICAL (HOUSEHOLD)","ADDED","02500191"
"99002","94","DISINFECTANT (Institutional/Industrial)","ADDED","02500329"
"99025","56","ORAL","ADDED","02500582"
"99012","94","DISINFECTANT (Institutional/Industrial)","ADDED","02500442"
"98950","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02499789"
"98965","56","ORAL","ADDED","02499940"
"99037","49","INTRAVENOUS","ADDED","02500728"
"99000","66","SUBLINGUAL","ADDED","02500302"
