"extract","drug_code","pharm_form_code","pharmaceutical_form","status","drug_identification_number"
"active",14042,34,"LIQUID","ADDED","01935321"
"active",57,34,"LIQUID","ADDED","00050520"
"active",64815,134,"SOLUTION","ADDED","02241209"
"active",64816,134,"SOLUTION","ADDED","02241210"
"active",77382,134,"SOLUTION","ADDED","02288397"
"active",82759,98,"SPRAY","ADDED","02342073"
"active",84357,134,"SOLUTION","ADDED","02358522"
"active",94051,134,"SOLUTION","ADDED","02453983"
"active",97701,9,"CREAM","ADDED","02486849"
"active",97839,36,"LOTION","ADDED","02488299"
"dormant",74304,134,"SOLUTION","ADDED","02257807"
"approved",97037,134,"SOLUTION","ADDED","02479729"
"approved",97072,59,"SHAMPOO","ADDED","02480182"
"approved",97086,134,"SOLUTION","ADDED","02480336"
"approved",97382,56,"POWDER FOR SOLUTION","ADDED","02483467"
"approved",97383,56,"POWDER FOR SOLUTION","ADDED","02483475"
"approved",95253,134,"SOLUTION","ADDED","02464373"
"approved",97651,85,"TABLET","ADDED","02486296"
"approved",97652,85,"TABLET","ADDED","02486318"
"approved",97708,182,"MOUTHWASH","ADDED","02486938"
"approved",97793,5,"CAPSULE","ADDED","02487772"
"approved",97972,9,"CREAM","ADDED","02489643"
"approved",95788,134,"SOLUTION","ADDED","02469200"
"approved",98114,85,"TABLET","ADDED","02491125"
"approved",98126,85,"TABLET","ADDED","02491257"
"approved",98129,134,"SOLUTION","ADDED","02491273"
"approved",98130,134,"SOLUTION","ADDED","02491281"
"approved",98131,134,"SOLUTION","ADDED","02491303"
"approved",98132,134,"SOLUTION","ADDED","02491311"
"approved",98133,134,"SOLUTION","ADDED","02491338"
"approved",98134,134,"SOLUTION","ADDED","02491346"
"approved",98135,134,"SOLUTION","ADDED","02491354"
"approved",98136,134,"SOLUTION","ADDED","02491362"
"approved",98137,5,"CAPSULE","ADDED","02491370"
"approved",98138,134,"SOLUTION","ADDED","02491524"
"approved",98143,85,"TABLET","ADDED","02491427"
"approved",98152,134,"SOLUTION","ADDED","02491532"
"approved",98153,134,"SOLUTION","ADDED","02491540"
"approved",98156,85,"TABLET","ADDED","02491575"
"approved",98157,85,"TABLET","ADDED","02491583"
"approved",98160,98,"SPRAY","ADDED","02491613"
"approved",98161,98,"SPRAY","ADDED","02491621"
"approved",98162,98,"SPRAY","ADDED","02491648"
"approved",98163,98,"SPRAY","ADDED","02491656"
"approved",98164,98,"SPRAY","ADDED","02491664"
"approved",98169,134,"SOLUTION","ADDED","02491680"
"approved",98170,134,"SOLUTION","ADDED","02491699"
"approved",98171,114,"GEL","ADDED","02491702"
"approved",98173,85,"TABLET","ADDED","02491753"
"approved",98180,85,"TABLET","ADDED","02491796"
"approved",98182,134,"SOLUTION","ADDED","02491826"
"approved",98185,5,"CAPSULE","ADDED","02491850"
"approved",98189,134,"SOLUTION","ADDED","02491885"
"approved",98194,134,"SOLUTION","ADDED","02491931"
"approved",98195,56,"POWDER FOR SOLUTION","ADDED","02491958"
"approved",98196,56,"POWDER FOR SOLUTION","ADDED","02491966"
"active",14042,174,"OIL","DELETED","01935321"
"active",57,174,"OIL","DELETED","00050520"
"active",64815,34,"LIQUID","DELETED","02241209"
"active",64816,34,"LIQUID","DELETED","02241210"
"active",84357,34,"LIQUID","DELETED","02358522"
"active",94051,34,"LIQUID","DELETED","02453983"
"dormant",74304,34,"LIQUID","DELETED","02257807"
"dormant",77382,34,"LIQUID","DELETED","02288397"
"dormant",82759,134,"SOLUTION","DELETED","02342073"
"approved",96558,34,"LIQUID","DELETED","02475243"
"approved",95253,34,"LIQUID","DELETED","02464373"
"approved",95788,34,"LIQUID","DELETED","02469200"
