"drug_code","drug_identification_number","brand_name_current","brand_name_previous"
37491,"02226995","AMPICILLIN FOR INJECTION, USP","AMPICILLIN FOR INJECTION"
37492,"02227002","AMPICILLIN FOR INJECTION, USP","AMPICILLIN FOR INJECTION"
37493,"02227010","AMPICILLIN FOR INJECTION, USP","AMPICILLIN FOR INJECTION"
37494,"02227029","AMPICILLIN FOR INJECTION, USP","AMPICILLIN FOR INJECTION"
69769,"02245669","APO-SALBUTAMOL HFA","APO-SALVENT CFC FREE"
91076,"02426153","APO-TRAMADOL","TRAMADOL"
92233,"02437961","TEVA-PROPOFOL","ACT PROPOFOL"
94374,"02456753","TEVA-DULOXETINE","ACT DULOXETINE"
94375,"02456761","TEVA-DULOXETINE","ACT DULOXETINE"
97892,"02488841","NO NAME DISINFECTING WIPES","NO NAME DISINFECTING SURFACE WIPES"
