"extract","drug_code","route_of_administration_code","route_of_administration","status","drug_identification_number"
"active",97701,"70","TOPICAL","ADDED","02486849"
"active",97839,"70","TOPICAL","ADDED","02488299"
"approved",97037,"70","TOPICAL","ADDED","02479729"
"approved",97072,"70","TOPICAL","ADDED","02480182"
"approved",97086,"70","TOPICAL","ADDED","02480336"
"approved",97972,"70","TOPICAL","ADDED","02489643"
"approved",97382,"49","INTRAVENOUS","ADDED","02483467"
"approved",97383,"49","INTRAVENOUS","ADDED","02483475"
"approved",97793,"56","ORAL","ADDED","02487772"
"approved",98182,"9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02491826"
"approved",98182,"93","DISINFECTANT (Domestic)","ADDED","02491826"
"approved",98182,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02491826"
"approved",98185,"56","ORAL","ADDED","02491850"
"approved",98189,"49","INTRAVENOUS","ADDED","02491885"
"approved",98194,"49","INTRAVENOUS","ADDED","02491931"
"approved",98195,"56","ORAL","ADDED","02491958"
"approved",98196,"56","ORAL","ADDED","02491966"
"approved",97651,"56","ORAL","ADDED","02486296"
"approved",97652,"56","ORAL","ADDED","02486318"
"approved",97708,"3","BUCCAL","ADDED","02486938"
"approved",98114,"56","ORAL","ADDED","02491125"
"approved",98126,"56","ORAL","ADDED","02491257"
"approved",98129,"65","SUBCUTANEOUS","ADDED","02491273"
"approved",98130,"65","SUBCUTANEOUS","ADDED","02491281"
"approved",98131,"65","SUBCUTANEOUS","ADDED","02491303"
"approved",98132,"65","SUBCUTANEOUS","ADDED","02491311"
"approved",98133,"65","SUBCUTANEOUS","ADDED","02491338"
"approved",98134,"65","SUBCUTANEOUS","ADDED","02491346"
"approved",98135,"65","SUBCUTANEOUS","ADDED","02491354"
"approved",98136,"65","SUBCUTANEOUS","ADDED","02491362"
"approved",98137,"56","ORAL","ADDED","02491370"
"approved",98138,"49","INTRAVENOUS","ADDED","02491524"
"approved",98143,"56","ORAL","ADDED","02491427"
"approved",98152,"49","INTRAVENOUS","ADDED","02491532"
"approved",98153,"49","INTRAVENOUS","ADDED","02491540"
"approved",98156,"56","ORAL","ADDED","02491575"
"approved",98157,"56","ORAL","ADDED","02491583"
"approved",98160,"93","DISINFECTANT (Domestic)","ADDED","02491613"
"approved",98161,"93","DISINFECTANT (Domestic)","ADDED","02491621"
"approved",98162,"93","DISINFECTANT (Domestic)","ADDED","02491648"
"approved",98163,"93","DISINFECTANT (Domestic)","ADDED","02491656"
"approved",98164,"93","DISINFECTANT (Domestic)","ADDED","02491664"
"approved",98169,"22","INTRAMUSCULAR","ADDED","02491680"
"approved",98169,"49","INTRAVENOUS","ADDED","02491680"
"approved",98169,"65","SUBCUTANEOUS","ADDED","02491680"
"approved",98170,"22","INTRAMUSCULAR","ADDED","02491699"
"approved",98170,"49","INTRAVENOUS","ADDED","02491699"
"approved",98170,"65","SUBCUTANEOUS","ADDED","02491699"
"approved",98171,"70","TOPICAL","ADDED","02491702"
"approved",98173,"56","ORAL","ADDED","02491753"
"approved",98180,"56","ORAL","ADDED","02491796"
"approved",98182,"2","DISINFECTANT (Barn)","ADDED","02491826"
"approved",98182,"8","DISINFECTANT (Food Premises)","ADDED","02491826"
