"extract","drug_code","active_ingredient_code","ingredient","strength","strength_unit","status","drug_identification_number"
"inactive",517,7420,"ESTRADIOL VALERATE","10","MG","NEW","00029238"
"inactive",967,7420,"ESTRADIOL VALERATE","6.5","MG","ADDED","00147567"
"inactive",967,7420,"Estradiol Valerate","6.5","MG","DELETED","00147567"
"inactive",967,7420,"ESTRADIOL VALERATE","6.5","MG","NEW","00147567"
"active",3725,7516,"TETRACOSACTIDE (TETRACOSACTIDE ZINC HYDROXIDE)","1","MG","ADDED","00253952"
"active",3725,7516,"TETRACOSACTIDE (Tetracosactide zinc hydroxide)","1","MG","DELETED","00253952"
"active",3725,7516,"TETRACOSACTIDE (TETRACOSACTIDE ZINC HYDROXIDE)","1","MG","NEW","00253952"
"inactive",6254,7420,"ESTRADIOL VALERATE","20","MG","NEW","00545996"
"inactive",9615,7420,"ESTRADIOL VALERATE","10","MG","NEW","00741930"
"inactive",12091,8070,"STRONTIUM NITRATE SR 85","6","CH","NEW","01953494"
"active",13476,17056,"ONABOTULINUMTOXINA","100","UNIT","ADDED","01981501"
"active",13476,17056,"OnabotulinumtoxinA","100","UNIT","DELETED","01981501"
"active",13476,17056,"ONABOTULINUMTOXINA","100","UNIT","NEW","01981501"
"active",19049,6750,"CODEINE (CODEINE MONOHYDRATE, CODEINE SULFATE TRIHYDRATE)","200","MG","ADDED","02163799"
"active",19049,6750,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate)","200","MG","DELETED","02163799"
"active",19049,6750,"CODEINE (CODEINE MONOHYDRATE, CODEINE SULFATE TRIHYDRATE)","200","MG","NEW","02163799"
"active",19050,6750,"CODEINE (CODEINE MONOHYDRATE, CODEINE SULFATE TRIHYDRATE)","100","MG","ADDED","02163748"
"active",19050,6750,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate)","100","MG","DELETED","02163748"
"active",19050,6750,"CODEINE (CODEINE MONOHYDRATE, CODEINE SULFATE TRIHYDRATE)","100","MG","NEW","02163748"
"active",19051,6750,"CODEINE (CODEINE MONOHYDRATE, CODEINE SULFATE TRIHYDRATE)","150","MG","ADDED","02163780"
"active",19051,6750,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate)","150","MG","DELETED","02163780"
"active",19051,6750,"CODEINE (CODEINE MONOHYDRATE, CODEINE SULFATE TRIHYDRATE)","150","MG","NEW","02163780"
"active",19654,22599,"DESOXYCORTONE PIVALATE","25","MG","NEW","02139227"
"active",37185,21337,"ZINC SULFATE MONOHYDRATE","0.5","%","ADDED","02218887"
"active",37185,21337,"Zinc sulfate monohydrate","0.5","%","DELETED","02218887"
"active",37185,21337,"ZINC SULFATE MONOHYDRATE","0.5","%","NEW","02218887"
"active",48834,21190,"CALCIUM GLUCONATE MONOHYDRATE","35","%","NEW","02230176"
"active",49057,6750,"CODEINE (CODEINE MONOHYDRATE, CODEINE SULFATE TRIHYDRATE)","50","MG","ADDED","02230302"
"active",49057,6750,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate)","50","MG","DELETED","02230302"
"active",49057,6750,"CODEINE (CODEINE MONOHYDRATE, CODEINE SULFATE TRIHYDRATE)","50","MG","NEW","02230302"
"inactive",66532,12024,"ZOLEDRONIC ACID (ZOLEDRONIC ACID MONOHYDRATE)","4","MG","ADDED","02242725"
"inactive",66532,12024,"ZOLEDRONIC ACID (Zoledronic acid monohydrate)","4","MG","DELETED","02242725"
"inactive",66532,12024,"ZOLEDRONIC ACID (ZOLEDRONIC ACID MONOHYDRATE)","4","MG","NEW","02242725"
"active",67653,17056,"ONABOTULINUMTOXINA","100","UNIT","ADDED","02243721"
"active",67653,17056,"OnabotulinumtoxinA","100","UNIT","DELETED","02243721"
"active",67653,17056,"ONABOTULINUMTOXINA","100","UNIT","NEW","02243721"
"active",72636,12024,"ZOLEDRONIC ACID (ZOLEDRONIC ACID MONOHYDRATE)","4","MG","ADDED","02248296"
"active",72636,12024,"ZOLEDRONIC ACID (Zoledronic acid monohydrate)","4","MG","DELETED","02248296"
"active",72636,12024,"ZOLEDRONIC ACID (ZOLEDRONIC ACID MONOHYDRATE)","4","MG","NEW","02248296"
"approved",73717,12854,"RIMABOTULINUMTOXINB","5000","UNIT","NEW","02252295"
"dormant",74304,721,"ALUMINUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL)","306","MG","ADDED","02257807"
"dormant",74304,720,"MAGNESIUM HYDROXIDE","400","MG","ADDED","02257807"
"dormant",74304,720,"MAGNESIUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL)","306","MG","DELETED","02257807"
"dormant",74304,721,"ALUMINUM HYDROXIDE","400","MG","DELETED","02257807"
"active",74793,55,"SODIUM CHLORIDE","263","G","ADDED","02262541"
"active",74793,51,"CALCIUM CHLORIDE","5","G","ADDED","02262541"
"dormant",74793,55,"SODIUM CHLORIDE","263.0","G","DELETED","02262541"
"dormant",74793,51,"CALCIUM CHLORIDE","5.00","G","DELETED","02262541"
"active",75458,12024,"ZOLEDRONIC ACID (ZOLEDRONIC ACID MONOHYDRATE)","5","MG","ADDED","02269198"
"active",75458,12024,"ZOLEDRONIC ACID (Zoledronic acid monohydrate)","5","MG","DELETED","02269198"
"active",75458,12024,"ZOLEDRONIC ACID (ZOLEDRONIC ACID MONOHYDRATE)","5","MG","NEW","02269198"
"active",77382,196,"ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","2","%","ADDED","02288397"
"active",77382,197,"BENZALKONIUM CHLORIDE","1","%","ADDED","02288397"
"dormant",77382,196,"ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","2.00","%","DELETED","02288397"
"dormant",77382,197,"BENZALKONIUM CHLORIDE","1.00","%","DELETED","02288397"
"approved",78122,8746,"ZINC SULFATE (ZINC SULFATE MONOHYDRATE)","0.5","%","ADDED","02295865"
"approved",78122,8746,"ZINC SULFATE (Zinc sulfate monohydrate)","0.5","%","DELETED","02295865"
"approved",78122,8746,"ZINC SULFATE (ZINC SULFATE MONOHYDRATE)","0.5","%","NEW","02295865"
"approved",78931,12024,"ZOLEDRONIC ACID (ZOLEDRONIC ACID MONOHYDRATE)","4","MG","ADDED","02304007"
"approved",78931,12024,"ZOLEDRONIC ACID (Zoledronic acid monohydrate)","4","MG","DELETED","02304007"
"approved",78931,12024,"ZOLEDRONIC ACID (ZOLEDRONIC ACID MONOHYDRATE)","4","MG","NEW","02304007"
"active",80952,21616,"INCOBOTULINUMTOXINA","100","UNIT","ADDED","02324032"
"active",80952,21616,"IncobotulinumtoxinA","100","UNIT","DELETED","02324032"
"active",80952,21616,"INCOBOTULINUMTOXINA","100","UNIT","NEW","02324032"
"active",81473,20490,"TAUROSELCHOLIC ACID (75SE)","370","KBq","NEW","02329050"
"active",83444,20588,"PRASUGREL (PRASUGREL HYDROCHLORIDE)","10","MG","ADDED","02349124"
"active",83444,20588,"Prasugrel (Prasugrel Hydrochloride)","10","MG","DELETED","02349124"
"active",83444,20588,"PRASUGREL (PRASUGREL HYDROCHLORIDE)","10","MG","NEW","02349124"
"active",83758,20595,"PAZOPANIB (PAZOPANIB HYDROCHLORIDE)","200","MG","ADDED","02352303"
"active",83758,20595,"Pazopanib (Pazopanib Hydrochloride)","200","MG","DELETED","02352303"
"active",83758,20595,"PAZOPANIB (PAZOPANIB HYDROCHLORIDE)","200","MG","NEW","02352303"
"approved",83759,20595,"PAZOPANIB (PAZOPANIB HYDROCHLORIDE)","400","MG","ADDED","02352311"
"approved",83759,20595,"Pazopanib (Pazopanib Hydrochloride)","400","MG","DELETED","02352311"
"approved",83759,20595,"PAZOPANIB (PAZOPANIB HYDROCHLORIDE)","400","MG","NEW","02352311"
"active",83783,20597,"C1 ESTERASE INHIBITOR (HUMAN)","500","UNIT","ADDED","02352575"
"active",83783,20597,"C1 Esterase Inhibitor (Human)","500","UNIT","DELETED","02352575"
"active",83783,20597,"C1 ESTERASE INHIBITOR (HUMAN)","500","UNIT","NEW","02352575"
"inactive",83789,20598,"INFLUENZA VIRUS TYPE A (H1N1)","10000000","FFU","NEW","02352621"
"inactive",83789,20599,"INFLUENZA VIRUS TYPE A (H3N2)","10000000","FFU","NEW","02352621"
"inactive",83789,20600,"INFLUENZA VIRUS TYPE B","10000000","FFU","NEW","02352621"
"inactive",83940,20163,"PALIPERIDONE (PALIPERIDONE PALMITATE)","25","MG","ADDED","02354209"
"inactive",83940,20163,"PALIPERIDONE (Paliperidone Palmitate)","25","MG","DELETED","02354209"
"inactive",83940,20163,"PALIPERIDONE (PALIPERIDONE PALMITATE)","25","MG","NEW","02354209"
"active",83941,20163,"PALIPERIDONE (PALIPERIDONE PALMITATE)","50","MG","ADDED","02354217"
"active",83941,20163,"PALIPERIDONE (Paliperidone Palmitate)","50","MG","DELETED","02354217"
"active",83941,20163,"PALIPERIDONE (PALIPERIDONE PALMITATE)","50","MG","NEW","02354217"
"active",83942,20163,"PALIPERIDONE (PALIPERIDONE PALMITATE)","75","MG","ADDED","02354225"
"active",83942,20163,"PALIPERIDONE (Paliperidone Palmitate)","75","MG","DELETED","02354225"
"active",83942,20163,"PALIPERIDONE (PALIPERIDONE PALMITATE)","75","MG","NEW","02354225"
"active",83943,20163,"PALIPERIDONE (PALIPERIDONE PALMITATE)","100","MG","ADDED","02354233"
"active",83943,20163,"PALIPERIDONE (Paliperidone Palmitate)","100","MG","DELETED","02354233"
"active",83943,20163,"PALIPERIDONE (PALIPERIDONE PALMITATE)","100","MG","NEW","02354233"
"active",83944,20163,"PALIPERIDONE (PALIPERIDONE PALMITATE)","150","MG","ADDED","02354241"
"active",83944,20163,"PALIPERIDONE (Paliperidone Palmitate)","150","MG","DELETED","02354241"
"active",83944,20163,"PALIPERIDONE (PALIPERIDONE PALMITATE)","150","MG","NEW","02354241"
"active",83974,20603,"SEVELAMER CARBONATE","800","MG","ADDED","02354586"
"active",83974,20603,"Sevelamer Carbonate","800","MG","DELETED","02354586"
"active",83974,20603,"SEVELAMER CARBONATE","800","MG","NEW","02354586"
"active",84447,20639,"ROFLUMILAST","500","MCG","ADDED","02359456"
"active",84447,20639,"Roflumilast","500","MCG","DELETED","02359456"
"active",84447,20639,"ROFLUMILAST","500","MCG","NEW","02359456"
"active",84451,20641,"SODIUM SULFATE ANHYDROUS","7.5","G","ADDED","02359499"
"active",84451,20641,"Sodium Sulfate Anhydrous","7.5","G","DELETED","02359499"
"active",84451,20641,"SODIUM SULFATE ANHYDROUS","7.5","G","NEW","02359499"
"dormant",84532,6340,"METHOCARBAMOL","500","MG","ADDED","02360357"
"dormant",84532,2609,"IBUPROFEN","400","MG","ADDED","02360357"
"dormant",84532,6340,"METHOCARBAMOL","500.49","MG","DELETED","02360357"
"dormant",84532,2609,"IBUPROFEN","400.35","MG","DELETED","02360357"
"inactive",84534,20642,"TAPENTADOL (TAPENTADOL HYDROCHLORIDE)","50","MG","ADDED","02360373"
"inactive",84534,20642,"Tapentadol (Tapentadol Hydrochloride)","50","MG","DELETED","02360373"
"inactive",84534,20642,"TAPENTADOL (TAPENTADOL HYDROCHLORIDE)","50","MG","NEW","02360373"
"inactive",84535,20642,"TAPENTADOL (TAPENTADOL HYDROCHLORIDE)","100","MG","ADDED","02360381"
"inactive",84535,20642,"Tapentadol (Tapentadol Hydrochloride)","100","MG","DELETED","02360381"
"inactive",84535,20642,"TAPENTADOL (TAPENTADOL HYDROCHLORIDE)","100","MG","NEW","02360381"
"inactive",84536,20642,"TAPENTADOL (TAPENTADOL HYDROCHLORIDE)","150","MG","ADDED","02360403"
"inactive",84536,20642,"Tapentadol (Tapentadol Hydrochloride)","150","MG","DELETED","02360403"
"inactive",84536,20642,"TAPENTADOL (TAPENTADOL HYDROCHLORIDE)","150","MG","NEW","02360403"
"inactive",84537,20642,"TAPENTADOL (TAPENTADOL HYDROCHLORIDE)","200","MG","ADDED","02360411"
"inactive",84537,20642,"Tapentadol (Tapentadol Hydrochloride)","200","MG","DELETED","02360411"
