drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"102541","22","INTRAMUSCULAR","ADDED","02536668"
"102559","49","INTRAVENOUS","ADDED","02536862"
"102621","49","INTRAVENOUS","ADDED","02537508"
"102104","70","TOPICAL","ADDED","02531968"
"102604","49","INTRAVENOUS","ADDED","02537311"
"102622","22","INTRAMUSCULAR","ADDED","02537516"
"102094","93","DISINFECTANT (Domestic)","ADDED","02531852"
"102555","56","ORAL","ADDED","02536811"
"102552","49","INTRAVENOUS","ADDED","02536773"
"102567","56","ORAL","ADDED","02536943"
"102090","56","ORAL","ADDED","02531801"
"91279","56","ORAL","ADDED","02428318"
"102566","49","INTRAVENOUS","ADDED","02536935"
"102089","56","ORAL","ADDED","02531798"
"102552","65","SUBCUTANEOUS","ADDED","02536773"
"102094","8","DISINFECTANT (Food Premises)","ADDED","02531852"
"102570","56","ORAL","ADDED","02536986"
"102109","70","TOPICAL","ADDED","02532026"
"102591","49","INTRAVENOUS","ADDED","02537176"
"102595","22","INTRAMUSCULAR","ADDED","02537214"
"102571","56","ORAL","ADDED","02536994"
"102568","56","ORAL","ADDED","02536951"
"102554","56","ORAL","ADDED","02536803"
"102624","70","TOPICAL","ADDED","02537532"
"102588","49","INTRAVENOUS","ADDED","02537168"
"102564","56","ORAL","ADDED","02536919"
"102579","56","ORAL","ADDED","02537087"
"102598","65","SUBCUTANEOUS","ADDED","02537257"
"102551","56","ORAL","ADDED","02536765"
"102556","56","ORAL","ADDED","02536838"
"102081","55","OPHTHALMIC","ADDED","02531704"
"102594","22","INTRAMUSCULAR","ADDED","02537206"
"102591","22","INTRAMUSCULAR","ADDED","02537176"
"102622","65","SUBCUTANEOUS","ADDED","02537516"
"102593","56","ORAL","ADDED","02537192"
"102562","56","ORAL","ADDED","02536897"
"102614","56","ORAL","ADDED","02537427"
"102581","49","INTRAVENOUS","ADDED","02537109"
"102563","56","ORAL","ADDED","02536900"
"102622","49","INTRAVENOUS","ADDED","02537516"
"102603","65","SUBCUTANEOUS","ADDED","02537303"
"102580","49","INTRAVENOUS","ADDED","02537095"
"102592","56","ORAL","ADDED","02537184"
"102094","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02531852"
"102102","70","TOPICAL","ADDED","02531933"
"102573","56","ORAL","ADDED","02537028"
"102569","56","ORAL","ADDED","02536978"
"102560","49","INTRAVENOUS","ADDED","02536870"
"102572","56","ORAL","ADDED","02537001"
"102547","49","INTRAVENOUS","ADDED","02536757"
"102578","49","INTRAVENOUS","ADDED","02537079"
"91280","56","ORAL","ADDED","02428326"
"102094","94","DISINFECTANT (Institutional/Industrial)","ADDED","02531852"
"102574","56","ORAL","ADDED","02537036"
