ntp_code,ntp_formal_name,ntp_fr_description,changes
0516fd69a155b6bde35813d06d8abc35,budesonide 2 mg per actuation rectal foam,budésonide 2 mg par actionnement mousse rectale,ADDED
0abf75412b764261161704e63aa29833,vericiguat 2.5 mg oral tablet,"vériciguat 2,5 mg comprimé oral",ADDED
12707f2943aa1de3fc1bdc6f3c413b20,isotretinoin 32 mg oral capsule,isotrétinoïne 32 mg capsule orale,ADDED
177a0b30fa90de5d3e27a682010f2733,zinc (zinc sulfate) 25 mg per 5 mL solution for injection vial,zinc (sulfate de zinc) 25 mg par 5 mL solution injectable fiole,ADDED
1e59bbe7f53aff9a8c392c71b6e8fb01,valganciclovir (valganciclovir hydrochloride) 50 mg per mL powder for oral solution,valganciclovir (chlorhydrate de valganciclovir) 50 mg par mL poudre pour solution orale,ADDED
3dacfff68926c5e6d2bcd76856f07e4b,vericiguat 5 mg oral tablet,vériciguat 5 mg comprimé oral,ADDED
630f82e6365117736ff5b4f491a34f5a,clascoterone 1 % cutaneous cream,clascotérone 1 % crème cutanée,ADDED
64289cffac20e53a26f95fe68c5f8f0a,isotretinoin 24 mg oral capsule,isotrétinoïne 24 mg capsule orale,ADDED
6d1c4c8a6b2c7d5e3e35fea4b9865895,niraparib (niraparib tosylate) 100 mg oral tablet,niraparib (tosylate de niraparib) 100 mg comprimé oral,ADDED
8b735a76787878b098ff48fd2741b39a,clevidipine 0.5 mg per mL emulsion for injection,"clévidipine 0,5 mg par mL émulsion injectable",ADDED
9000186,haloperidol 2 mg per mL oral solution,halopéridol 2 mg par mL solution orale,"ntp_status_effective_time: ""20170804"" -> ""20190504"""
9000263,morphine sulfate 50 mg oral tablet,sulfate de morphine 50 mg comprimé oral,DELETED
9000352,dexamethasone phosphate (dexamethasone sodium phosphate) 100 mg per 10 mL solution for injection vial,phosphate de dexaméthasone (phosphate de dexaméthasone sodique) 100 mg par 10 mL solution injectable fiole,"ntp_status_effective_time: ""19901231"" -> ""19990630"""
9000944,oxybutynin chloride 5 mg prolonged-release oral tablet,chlorure d'oxybutynine 5 mg comprimé oral à libération prolongée,DELETED
9001515,lidocaine hydrochloride 20 mg per mL cutaneous gel,chlorhydrate de lidocaïne 20 mg par mL gel cutané,ADDED
9001523,potassium chloride 149 mg per mL solution for injection,chlorure de potassium 149 mg par mL solution injectable,ADDED
9001709,triclosan 0.5 % cutaneous liquid,"triclosan 0,5 % liquide cutané",ADDED
9001725,sodium bicarbonate 84 mg per mL solution for injection,bicarbonate de sodium 84 mg par mL solution injectable,ADDED
9001819,potassium chloride 20 meq per 10 mL solution for injection,chlorure de potassium 20 meq par 10 mL solution injectable,ADDED
9001867,benzalkonium chloride 0.1 % cutaneous liquid,"chlorure de benzalkonium 0,1 % liquide cutané",ADDED
