drug_code,din,brand.name,company.name,brand.name.dpd,company.name.dpd,descriptor
14355,02042479,MARVELON 28,MERCK CANADA INC,MARVELON 28,ORGANON CANADA INC.,NA
79517,02309556,TEVA-CYPROTERONE/ETHINYL ESTRADIOL,TEVA CANADA LIMITED,TEVA-CYPROTERONE / ETHINYL ESTRADIOL,TEVA CANADA LIMITED,NA
92104,02436736,CLÉO-35,ALTIUS HEALTHCARE INC,CLÉO -35,ALTIUS HEALTHCARE INC,NA
14354,02042487,MARVELON 21,MERCK CANADA INC,MARVELON 21,ORGANON CANADA INC.,NA
73815,02253186,NUVARING,MERCK CANADA INC,NUVARING,ORGANON CANADA INC.,NA
74376,02258560,TRI-CYCLEN LO (21 DAY),JANSSEN INC,TRI-CYCLEN LO        (-21 DAY),JANSSEN INC,NA
74378,02258587,TRI-CYCLEN LO (28 DAY),JANSSEN INC,TRI-CYCLEN LO        (28 DAY),JANSSEN INC,NA
44257,02182904,PREGNYL,MERCK CANADA INC,PREGNYL,ORGANON CANADA INC.,NA
8102,00670901,VASOTEC,MERCK CANADA INC,VASOTEC,ORGANON CANADA INC.,NA
8103,00670928,VASOTEC,MERCK CANADA INC,VASOTEC,ORGANON CANADA INC.,NA
8111,00708879,VASOTEC,MERCK CANADA INC,VASOTEC,ORGANON CANADA INC.,NA
10913,00657298,VASERETIC,MERCK CANADA INC,VASERETIC,ORGANON CANADA INC.,NA
43151,02215136,SAIZEN,"EMD SERONO, A DIVISION OF EMD INC., CANADA",SAIZEN 10IU  -  KIT,"EMD SERONO, A DIVISION OF EMD INC., CANADA",NA
76900,02283395,SOMATULINE AUTOGEL,IPSEN BIOPHARM LIMITED,SOMATULINE AUTOGEL,IPSEN BIOPHARMACEUTICALS CANADA INC,PRE-FILLED SYRINGE
76901,02283409,SOMATULINE AUTOGEL,IPSEN BIOPHARM LIMITED,SOMATULINE AUTOGEL,IPSEN BIOPHARMACEUTICALS CANADA INC,PRE-FILLED SYRINGE
76902,02283417,SOMATULINE AUTOGEL,IPSEN BIOPHARM LIMITED,SOMATULINE AUTOGEL,IPSEN BIOPHARMACEUTICALS CANADA INC,PRE-FILLED SYRINGE
