drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"102710","22","INTRAMUSCULAR","ADDED","02538377"
"102716","49","INTRAVENOUS","ADDED","02538431"
"102612","56","ORAL","ADDED","02537400"
"102615","56","ORAL","ADDED","02537435"
"102647","65","SUBCUTANEOUS","ADDED","02537745"
"102708","56","ORAL","ADDED","02538350"
"102606","66","SUBLINGUAL","ADDED","02537346"
"102652","56","ORAL","ADDED","02537737"
"940","14","INTRACARDIAC","ADDED","00155357"
"102714","56","ORAL","ADDED","02538415"
"102497","56","ORAL","ADDED","02536161"
"102673","56","ORAL","ADDED","02537990"
"102679","8","DISINFECTANT (Food Premises)","ADDED","02538032"
"102674","56","ORAL","ADDED","02538008"
"102655","55","OPHTHALMIC","ADDED","02537788"
"102610","49","INTRAVENOUS","ADDED","02537389"
"102665","49","INTRAVENOUS","ADDED","02537893"
"102608","65","SUBCUTANEOUS","ADDED","02537362"
"102701","56","ORAL","ADDED","02538261"
"102713","56","ORAL","ADDED","02538407"
"102320","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02534266"
"102693","56","ORAL","ADDED","02538180"
"102607","66","SUBLINGUAL","ADDED","02537354"
"102656","55","OPHTHALMIC","ADDED","02537796"
"102659","56","ORAL","ADDED","02537842"
"102686","104","TOPICAL (HOUSEHOLD)","ADDED","02538113"
"102683","56","ORAL","ADDED","02538083"
"940","40","INTRASPINAL","ADDED","00155357"
"102661","29","INHALATION","ADDED","02537850"
"102716","56","ORAL","ADDED","02538431"
"102700","56","ORAL","ADDED","02538253"
"102679","2","DISINFECTANT (Barn)","ADDED","02538032"
"102698","56","ORAL","ADDED","02538237"
"102682","56","ORAL","ADDED","02538075"
"102648","49","INTRAVENOUS","ADDED","02537699"
"102651","56","ORAL","ADDED","02537729"
"102699","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02538245"
"102320","93","DISINFECTANT (Domestic)","ADDED","02534266"
"102657","70","TOPICAL","ADDED","02537818"
"102658","56","ORAL","ADDED","02537834"
"102716","29","INHALATION","ADDED","02538431"
"102694","65","SUBCUTANEOUS","ADDED","02538199"
"102211","56","ORAL","ADDED","02533081"
"102653","56","ORAL","ADDED","02537753"
"102240","70","TOPICAL","ADDED","02533405"
"102675","56","ORAL","ADDED","02537982"
"102715","56","ORAL","ADDED","02538423"
"102320","8","DISINFECTANT (Food Premises)","ADDED","02534266"
"102684","56","ORAL","ADDED","02538091"
"102613","56","ORAL","ADDED","02537419"
"102320","94","DISINFECTANT (Institutional/Industrial)","ADDED","02534266"
"102709","49","INTRAVENOUS","ADDED","02538369"
"102599","56","ORAL","ADDED","02537249"
"99608","56","ORAL","ADDED","02506742"
"99610","56","ORAL","ADDED","02506769"
"102600","56","ORAL","ADDED","02537265"
"102616","56","ORAL","ADDED","02537443"
"102692","56","ORAL","ADDED","02538172"
"102681","56","ORAL","ADDED","02538059"
"102608","49","INTRAVENOUS","ADDED","02537362"
"102699","94","DISINFECTANT (Institutional/Industrial)","ADDED","02538245"
"102602","56","ORAL","ADDED","02537281"
"102650","56","ORAL","ADDED","02537710"
"102608","22","INTRAMUSCULAR","ADDED","02537362"
"102679","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02538032"
"102210","56","ORAL","ADDED","02533073"
"940","55","OPHTHALMIC","ADDED","00155357"
"102696","56","ORAL","ADDED","02538210"
"102694","22","INTRAMUSCULAR","ADDED","02538199"
"102679","94","DISINFECTANT (Institutional/Industrial)","ADDED","02538032"
"102496","56","ORAL","ADDED","02536153"
"102654","56","ORAL","ADDED","02537761"
"102617","56","ORAL","ADDED","02537451"
"102242","70","TOPICAL","ADDED","02533421"
