drug_code,din,brand.name,company.name,brand.name.dpd,company.name.dpd,descriptor
101698,02527804,PAXLOVID FOR MODERATE RENAL IMPAIRMENT,PFIZER CANADA ULC,PAXLOVID,PFIZER CANADA ULC,FOR MODERATE RENAL IMPAIRMENT-CARDS OF 2 NIRMATRELVIR/2 RITONAVIR TABS
98380,02493802,BUCKLEY'S COLD & SINUS 24 HOUR PACK,THE BUCKLEY'S COMPANY,BUCKLEY'S COLD & SINUS 24 HOUR PACK,HALEON CANADA ULC,CONTAINS DAYTIME CAPSULES AND NIGHTTIME CAPSULES
98835,02498596,ADYNOVATE (2 ML DILUENT) - SINGLE USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,750 UNITS/ML (2 ML DILUENT) - SINGLE USE VIAL
98404,02494027,BUCKLEY'S COMPLETE 24 HOUR PACK,THE BUCKLEY'S COMPANY,BUCKLEY'S COMPLETE 24 HOUR PACK,HALEON CANADA ULC,CONTAINS DAYTIME CAPSULES AND NIGHTTIME CAPSULES
98834,02498588,ADYNOVATE (2 ML DILUENT) - SINGLE USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,500 UNITS/ML (2 ML DILUENT) - SINGLE USE VIAL
98830,02498537,ADYNOVATE (2 ML DILUENT) - SINGLE USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,125 UNITS/ML (2 ML DILUENT) - SINGLE USE VIAL
98831,02498545,ADYNOVATE (2 ML DILUENT) - SINGLE USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,250 UNITS/ML (2 ML DILUENT) - SINGLE USE VIAL
100054,02511320,BUCKLEY'S DRY COUGH EXTRA STRENGTH,THE BUCKLEY'S COMPANY,BUCKLEY'S DRY COUGH EXTRA STRENGTH,HALEON CANADA ULC,NA
99940,02510162,XARELTO FOR LESS THAN 4 KG,BAYER INC,XARELTO,BAYER INC,1MG/ML WHEN RECONSTITUTED
99941,02510170,XARELTO FOR 4 KG OR MORE,BAYER INC,XARELTO,BAYER INC,1MG/ML WHEN RECONSTITUTED
94619,02459035,ADYNOVATE (5 ML DILUENT) - SINGLE-USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,50 UNITS/ML (5 ML DILUENT) - SINGLE-USE VIAL
94620,02459043,ADYNOVATE (5 ML DILUENT) - SINGLE-USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,100 UNITS/ML (5 ML DILUENT) - SINGLE-USE VIAL
94621,02459051,ADYNOVATE (5 ML DILUENT) - SINGLE-USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,200 UNITS/ML (5 ML DILUENT) - SINGLE-USE VIAL
79517,02309556,TEVA-CYPROTERONE/ETHINYL ESTRADIOL,TEVA CANADA LIMITED,TEVA-CYPROTERONE / ETHINYL ESTRADIOL,TEVA CANADA LIMITED,NA
89895,02414295,ISTODAX,CELGENE INC,ISTODAX,BRISTOL-MYERS SQUIBB CANADA,SINGLE-USE VIAL
83190,02346451,BUCKLEY'S MUCUS & PHLEGM,THE BUCKLEY'S COMPANY,BUCKLEY'S MUCUS & PHLEGM,HALEON CANADA ULC,NA
84236,02357232,BUCKLEY'S COMPLETE PLUS EXTRA STRENGTH MUCUS RELIEF,THE BUCKLEY'S COMPANY,BUCKLEY'S COMPLETE PLUS EXTRA STRENGTH MUCUS RELIEF,HALEON CANADA ULC,NA
76530,02279703,BUCKLEY'S COMPLETE,THE BUCKLEY'S COMPANY,BUCKLEY'S COMPLETE,HALEON CANADA ULC,NA
