drug_code,din,brand.name,company.name,brand.name.dpd,company.name.dpd,descriptor
68034,02244079,DIMETANE EXPECTORANT C,GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.,DIMETANE EXPECTORANT C,GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,NA
68031,02244078,DIMETAPP-C,GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.,DIMETAPP-C,GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,NA
79517,02309556,TEVA-CYPROTERONE/ETHINYL ESTRADIOL,TEVA CANADA LIMITED,TEVA-CYPROTERONE / ETHINYL ESTRADIOL,TEVA CANADA LIMITED,NA
92104,02436736,CLÉO-35,ALTIUS HEALTHCARE INC,CLÉO -35,ALTIUS HEALTHCARE INC,NA
83160,02346176,SEASONIQUE,TEVA WOMENS HEALTH INC. SUBSIDIARY OF TEVA PHARMACEUTICALS USA INC,SEASONIQUE,TEVA WOMEN'S HEALTH INC. SUBSIDIARY OF TEVA PHARMACEUTICALS USA INC,NA
78201,02296659,SEASONALE,TEVA WOMENS HEALTH INC. SUBSIDIARY OF TEVA PHARMACEUTICALS USA INC,SEASONALE,TEVA WOMEN'S HEALTH INC. SUBSIDIARY OF TEVA PHARMACEUTICALS USA INC,NA
5482,00602957,ORTHO 7/7/7 TABLETS,JANSSEN INC,ORTHO 7/7/7 TABLETS (21 DAY),JANSSEN INC,NA
5483,00602965,ORTHO 7/7/7 TABLETS,JANSSEN INC,ORTHO 7/7/7 TABLETS (28 DAY),JANSSEN INC,NA
5104,00317047,ORTHO 0.5/35 TABLETS,JANSSEN INC,ORTHO 0.5/35 TABLETS (21 DAY),JANSSEN INC,NA
20162,02187086,BREVICON 0.5/35 TABLETS,PFIZER CANADA ULC,BREVICON 0.5/35 TABLETS (21-DAY PACK),PFIZER CANADA ULC,NA
5106,00340731,ORTHO 0.5/35 TABLETS,JANSSEN INC,ORTHO 0.5/35 TABLETS (28 DAY),JANSSEN INC,NA
42888,02187094,BREVICON 0.5/35 TABLETS,PFIZER CANADA ULC,BREVICON 0.5/35 TABLETS (28-DAY PACK),PFIZER CANADA ULC,NA
5103,00372846,ORTHO 1/35 TABLETS,JANSSEN INC,ORTHO 1/35 TABLETS (21 DAY),JANSSEN INC,NA
42921,02189054,BREVICON 1/35 TABLETS,PFIZER CANADA ULC,BREVICON 1/35 TABLETS (21-DAY PACK),PFIZER CANADA ULC,NA
42952,02197502,SELECT 1/35,PFIZER CANADA ULC,SELECT 1/35 (21-DAY),PFIZER CANADA ULC,NA
5105,00372838,ORTHO 1/35 TABLETS,JANSSEN INC,ORTHO 1/35 TABLETS (28 DAY),JANSSEN INC,NA
42922,02189062,BREVICON 1/35 TABLETS,PFIZER CANADA ULC,BREVICON 1/35 TABLETS (28-DAY PACK),PFIZER CANADA ULC,NA
42960,02199297,SELECT 1/35,PFIZER CANADA ULC,SELECT 1/35 (28-DAY),PFIZER CANADA ULC,NA
74376,02258560,TRI-CYCLEN LO,JANSSEN INC,TRI-CYCLEN LO        (-21 DAY),JANSSEN INC,NA
74378,02258587,TRI-CYCLEN LO,JANSSEN INC,TRI-CYCLEN LO        (28 DAY),JANSSEN INC,NA
12998,01968440,CYCLEN TABLETS,JANSSEN INC,CYCLEN TABLETS (21 DAY),JANSSEN INC,NA
12988,01992872,CYCLEN TABLETS,JANSSEN INC,CYCLEN TABLETS (28 DAY),JANSSEN INC,NA
3374,00471526,DEMULEN 30,PFIZER CANADA ULC,DEMULEN 30 (28 DAY PACK),PFIZER CANADA ULC,NA
96881,02478080,SYMDEKO,INCORPORATED,SYMDEKO,VERTEX PHARMACEUTICALS (CANADA) INCORPORATED,YELLOW TABLET (TEZACAFTOR / IVACAFTOR) AND BLUE TABLET (IVACAFTOR)
43151,02215136,SAIZEN,EMD SERONO A DIVISION OF EMD INC CANADA,SAIZEN 10IU  -  KIT,EMD SERONO A DIVISION OF EMD INC CANADA,NA
69080,02245076,DIMETAPP EXTRA STRENGTH DM COUGH & COLD,GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.,DIMETAPP EXTRA STRENGTH DM COUGH & COLD,GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,NA
87985,02394707,ROBITUSSIN CHILDREN'S COUGH & COLD BEDTIME,GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.,ROBITUSSIN CHILDREN'S COUGH & COLD BEDTIME,GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,"DYE, ALCOHOL AND SUGAR FREE"
67912,02243969,DIMETAPP DM COUGH & COLD,GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.,DIMETAPP DM COUGH & COLD,GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,"DYE, SUCROSE AND ALCOHOL FREE"
69079,02245075,DIMETAPP EXTRA STRENGTH,GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.,DIMETAPP EXTRA STRENGTH,GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,NA
87984,02394693,ROBITUSSIN CHILDREN'S COLD,GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.,ROBITUSSIN CHILDREN'S COLD,GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,"DYE, ALCOHOL, AND SUGAR FREE"
67924,02243980,DIMETAPP,GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.,DIMETAPP,GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,SUCROSE FREE
14551,02044013,ROBITUSSIN CHILDREN'S COUGH AND COLD,GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.,ROBITUSSIN CHILDREN'S COUGH AND COLD,GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,SUGAR AND ALCOHOL FREE
13296,01931024,ROBITUSSIN COUGH CONTROL,GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.,ROBITUSSIN COUGH CONTROL,GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,NA
19026,02142775,ROBITUSSIN EXTRA STRENGTH COUGH CONTROL,GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.,ROBITUSSIN EXTRA STRENGTH COUGH CONTROL,GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,NA
77675,02291371,"ROBITUSSIN TOTAL COUGH, COLD & FLU NIGHTTIME EXTRA STRENGTH",GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.,"ROBITUSSIN TOTAL COUGH, COLD & FLU NIGHTTIME EXTRA STRENGTH",GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,NA
77674,02291363,"ROBITUSSIN TOTAL COUGH, COLD & FLU",GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.,"ROBITUSSIN TOTAL COUGH, COLD & FLU",GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,NA
46885,01914022,UROCIT-K,MISSION PHARMACAL COMPANY,UROCIT K,MISSION PHARMACAL COMPANY,NA
91971,02435381,SPIRIVA RESPIMAT,LTD LTEE,SPIRIVA RESPIMAT,BOEHRINGER INGELHEIM (CANADA) LTD LTEE,FOR ORAL INHALATION WITH RESPIMAT INHALER ONLY. 5µG/DOSE
90364,02419106,COMBIVENT RESPIMAT,LTD LTEE,COMBIVENT RESPIMAT,BOEHRINGER INGELHEIM (CANADA) LTD LTEE,FOR ORAL INHALATION. FOR USE ONLY WITH COMBIVENT RESPIMAT INHALER
