drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"101537","65","SUBCUTANEOUS","ADDED","02526255"
"101558","62","RECTAL","ADDED","02526492"
"101033","56","ORAL","ADDED","02521105"
"101593","56","ORAL","ADDED","02526875"
"101564","56","ORAL","ADDED","02526557"
"101286","56","ORAL","ADDED","02523809"
"101562","93","DISINFECTANT (Domestic)","ADDED","02526530"
"101091","8","DISINFECTANT (Food Premises)","ADDED","02521717"
"101563","93","DISINFECTANT (Domestic)","ADDED","02526549"
"101030","56","ORAL","ADDED","02521075"
"101566","56","ORAL","ADDED","02526573"
"101562","8","DISINFECTANT (Food Premises)","ADDED","02526530"
"101538","65","SUBCUTANEOUS","ADDED","02526263"
"101091","93","DISINFECTANT (Domestic)","ADDED","02521717"
"101549","56","ORAL","ADDED","02526395"
"101560","56","ORAL","ADDED","02526514"
"101563","8","DISINFECTANT (Food Premises)","ADDED","02526549"
"101285","56","ORAL","ADDED","02523795"
"101548","56","ORAL","ADDED","02526387"
"101541","22","INTRAMUSCULAR","ADDED","02526301"
"101539","22","INTRAMUSCULAR","ADDED","02526271"
"101557","56","ORAL","ADDED","02526484"
"101577","70","TOPICAL","ADDED","02526700"
"101032","56","ORAL","ADDED","02521091"
"101090","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02521709"
"101562","2","DISINFECTANT (Barn)","ADDED","02526530"
"101034","56","ORAL","ADDED","02521113"
"101035","56","ORAL","ADDED","02521121"
"101563","2","DISINFECTANT (Barn)","ADDED","02526549"
"101583","49","INTRAVENOUS","ADDED","02526778"
"101594","56","ORAL","ADDED","02526883"
"101287","56","ORAL","ADDED","02523817"
"101567","56","ORAL","ADDED","02526581"
"101573","56","ORAL","ADDED","02526662"
"99834","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02509024"
"101090","93","DISINFECTANT (Domestic)","ADDED","02521709"
"101550","56","ORAL","ADDED","02526409"
"101565","56","ORAL","ADDED","02526565"
"101090","94","DISINFECTANT (Institutional/Industrial)","ADDED","02521709"
"101554","65","SUBCUTANEOUS","ADDED","02526441"
"101582","56","ORAL","ADDED","02526751"
"100794","2","DISINFECTANT (Barn)","REMOVED","02518635"
"101547","56","ORAL","ADDED","02526379"
"101555","56","ORAL","ADDED","02526468"
"101581","49","INTRAVENOUS","ADDED","02526743"
"101574","56","ORAL","ADDED","02526670"
"101529","49","INTRAVENOUS","ADDED","02526182"
"101570","93","DISINFECTANT (Domestic)","ADDED","02526638"
"101564","29","INHALATION","ADDED","02526557"
"101563","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02526549"
"100794","8","DISINFECTANT (Food Premises)","REMOVED","02518635"
"101576","105","TOPICAL (COMMERCIAL)","ADDED","02526697"
"101562","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02526530"
"101091","94","DISINFECTANT (Institutional/Industrial)","ADDED","02521717"
"101563","94","DISINFECTANT (Institutional/Industrial)","ADDED","02526549"
"101556","56","ORAL","ADDED","02526476"
"101051","93","DISINFECTANT (Domestic)","ADDED","02521318"
"101536","65","SUBCUTANEOUS","ADDED","02526247"
"101562","94","DISINFECTANT (Institutional/Industrial)","ADDED","02526530"
