tm_code,tm_formal_name,tm_fr_description,changes
8002154,potassium phosphate dibasic and potassium phosphate monobasic,phosphate de potassium dibasique et phosphate de potassium monobasique,ADDED
8002161,sodium bicarbonate,bicarbonate de sodium,ADDED
b70fa8134ce7614e4202a2ff7c0d1f75,sevabertinib,sévabertinib,ADDED
8001844,magnesium chloride,chlorure de magnésium,ADDED
1712fcd93e4f68f6ce670c1ea7933258,cilastatin and imipenem and relebactam,cilastatine et imipénem et rélébactam,ADDED
8002582,brexucabtagene autoleucel,bréxucabtagène autoleucel,ADDED
8002452,cytarabine and daunorubicin,cytarabine et daunorubicine,ADDED
8001757,doxorubicin,doxorubicine,ADDED
8002584,lisocabtagene maraleucel,lisocabtagène maraleucel,ADDED
8001004,benzoyl peroxide and salicylic acid,peroxyde de benzoyle et acide salicylique,ADDED
8001293,nadroparin,nadroparine,"tm_status_effective_time: ""20251008"" -> ""20260521"""
d446047fa7c8deaf1a1e36cebf8aa6d7,etranacogene dezaparvovec,étranacogène dézaparvovec,ADDED
8002160,sodium acetate,acétate de sodium,ADDED
8002215,amphotericin B,amphotéricine B,ADDED
8001476,follitropin beta,follitropine bêta,ADDED
8002282,fibrinogen human and thrombin human,fibrinogène humaine et thrombine humaine,ADDED
8000375,duloxetine,duloxétine,"tm_status_effective_time: ""20080118"" -> ""20160502"""
8001615,chloroxylenol,chloroxylénol,ADDED
8002278,coagulation factor ii (human) and coagulation factor IX human and coagulation factor vii (human) and coagulation factor x (human) and protein c and protein s,facteur II de coagulation humain et facteur IX de coagulation humain et facteur VII de coagulation humain et facteur X de coagulation humain et protéine c et protéine s,ADDED
8001579,benzethonium,benzéthonium,ADDED
8002581,axicabtagene ciloleucel,axicabtagène ciloleucel,ADDED
8001976,triclosan,triclosan,ADDED
8002047,paclitaxel,paclitaxel,ADDED
8001870,potassium chloride,chlorure de potassium,ADDED
8000796,benzalkonium,benzalkonium,ADDED
8001878,sodium iodide,iodure de sodium,ADDED
8a3a64dfeb01fd478d109551f754e628,mosunetuzumab,mosunétuzumab,ADDED
8002587,tisagenlecleucel,tisagenlecleucel,ADDED
8000912,alcohol anhydrous and chlorhexidine,alcool anhydre et chlorhexidine,ADDED
