September Delivery TMs,tm_code
acebutolol,8000110
acetaminophen and caffeine and codeine,8000023
acetaminophen and codeine,8000065
acetaminophen and oxycodone,8000059
acetaminophen and tramadol,8000349
acyclovir,8000095
alendronate,8000312
alendronate and cholecalciferol,8000413
alfuzosin,8000313
allopurinol,8000046
alprazolam,8000088
amiodarone,8000269
amitriptyline,8000024
amlodipine,8000153
amoxicillin,8000073
amoxicillin and clavulanic acid,8000154
aripiprazole,8000389
atenolol,8000121
atomoxetine,8000347
atorvastatin,8000235
azathioprine,8000027
azithromycin,8000224
baclofen,8000066
beclomethasone,8000208
benztropine,8000067
betahistine,8000302
betamethasone,8000053
betamethasone dipropionate,8000156
betamethasone valerate,8000074
bimatoprost,8000315
bisoprolol,8000325
bromazepam,8000090
budesonide,8000134
buprenorphine and naloxone,8000372
bupropion,8000257
calcitriol,8000075
candesartan,8000266
candesartan and hydrochlorothiazide,8000300
carbamazepine,8000032
carbidopa and levodopa,8000054
carvedilol,8000329
cefprozil,8000210
celecoxib,8000271
cephalexin,8000040
cetirizine,8000237
ciclesonide,8000367
ciclopirox,8000230
ciprofloxacin,8000159
ciprofloxacin and dexamethasone,8000338
citalopram,8000267
clarithromycin,8000160
clindamycin,8000036
clobazam,8000238
clobetasol,8000161
clonazepam,8000061
clonidine,8000135
clopidogrel,8000263
clotrimazole,8000773
clozapine,8000147
codeine,8000069
colchicine,8000047
cyclobenzaprine,8000196
cyproterone and ethinylestradiol,8000256
dabigatran,8000378
desogestrel and ethinylestradiol,8000179
desvenlafaxine,8000385
dexamethasone,8000028
dexamethasone phosphate,8000114
dexamethasone sodium phosphate,8000137
dexlansoprazole,8000394
dextroamphetamine,8000162
diazepam,8000048
diclofenac,8000082
diclofenac and misoprostol,8000180
digoxin,8000198
diltiazem,8000122
domperidone,8000181
donepezil,8000246
dorzolamide and timolol,8000272
doxazosin,8000163
doxycycline,8000117
drospirenone and ethinylestradiol,8000345
duloxetine,8000375
dutasteride,8000330
enalapril,8000118
epinephrine,8000003
erythromycin,8000037
escitalopram,8000346
esomeprazole,8000303
esomeprazole and naproxen,8000398
estradiol,8000213
conjugated estrogens,8000021
ethinylestradiol and etonogestrel,8000343
ethinylestradiol and levonorgestrel,8000119
ethinylestradiol and norelgestromin,8000334
ethinylestradiol and norethindrone,8000049
ethinylestradiol and norgestimate,8000164
ezetimibe,8000326
felodipine,8000165
fenofibrate,8000225
fentanyl,8000127
finasteride,8000166
fluoxetine,8000128
flurazepam,8000091
fluticasone,8000173
fluticasone and salmeterol,8000279
folic acid,8000055
fosinopril,8000332
furosemide,8000057
fusidic acid,8000104
gabapentin,8000200
galantamine,8000396
gliclazide,8000139
glyburide,8000115
haloperidol,8000084
insulin isophane human,8000168
hydrochlorothiazide,8000031
