September Delivery TMs,tm_code,Ingredient Stem
acebutolol,8000110,acebutolol
acetaminophen and caffeine and codeine,8000023,acetaminophen and caffeine and codeine
acetaminophen and codeine,8000065,acetaminophen and codeine
acetaminophen and oxycodone,8000059,acetaminophen and oxycodone
acetaminophen and tramadol,8000349,acetaminophen and tramadol
acyclovir,8000095,acyclovir
alendronate,8000312,alendronic acid
alendronate and cholecalciferol,8000413,alendronic acid and vitamin D3 (cholecalciferol)
alfuzosin,8000313,alfuzosin
allopurinol,8000046,allopurinol
alprazolam,8000088,alprazolam
amiodarone,8000269,amiodarone
amitriptyline,8000024,amitriptyline
amlodipine,8000153,amlodipine
amoxicillin,8000073,amoxicillin
amoxicillin and clavulanic acid,8000154,amoxicillin and clavulanic acid
aripiprazole,8000389,aripiprazole
atenolol,8000121,atenolol
atomoxetine,8000347,atomoxetine
atorvastatin,8000235,atorvastatin
azathioprine,8000027,azathioprine
azithromycin,8000224,azithromycin
baclofen,8000066,baclofen
beclomethasone,8000208,beclomethasone
benztropine,8000067,benztropine
betahistine,8000302,betahistine
betamethasone,8000053,betamethasone (base)
betamethasone dipropionate,8000156,betamethasone dipropionate
betamethasone valerate,8000074,betamethasone valerate
bimatoprost,8000315,bimatoprost
bisoprolol,8000325,bisoprolol
bromazepam,8000090,bromazepam
budesonide,8000134,budesonide
buprenorphine and naloxone,8000372,buprenorphine and naloxone
bupropion,8000257,bupropion
calcitriol,8000075,calcitriol
candesartan,8000266,candesartan
candesartan and hydrochlorothiazide,8000300,candesartan and hydrochlorothiazide
carbamazepine,8000032,carbamazepine
carbidopa and levodopa,8000054,carbidopa and levodopa
carvedilol,8000329,carvedilol
cefprozil,8000210,cefprozil
celecoxib,8000271,celecoxib
cephalexin,8000040,cephalexin
cetirizine,8000237,cetirizine
ciclesonide,8000367,ciclesonide
ciclopirox,8000230,ciclopirox
ciprofloxacin,8000159,ciprofloxacin
ciprofloxacin and dexamethasone,8000338,ciprofloxacin and dexamethasone (base)
citalopram,8000267,citalopram
clarithromycin,8000160,clarithromycin
clindamycin,8000036,clindamycin
clobazam,8000238,clobazam
clobetasol,8000161,clobetasol
clonazepam,8000061,clonazepam
clonidine,8000135,clonidine
clopidogrel,8000263,clopidogrel
clotrimazole,8000773,clotrimazole
clozapine,8000147,clozapine
codeine,8000069,codeine
colchicine,8000047,colchicine
cyclobenzaprine,8000196,cyclobenzaprine
cyproterone and ethinylestradiol,8000256,cyproterone and ethinyl estradiol
dabigatran,8000378,dabigatran
desogestrel and ethinylestradiol,8000179,desogestrel and ethinyl estradiol
desvenlafaxine,8000385,desvenlafaxine
dexamethasone,8000028,dexamethasone (base)
dexamethasone phosphate,8000114,dexamethasone phosphate
dexamethasone sodium phosphate,8000137,dexamethasone sodium phosphate
dexlansoprazole,8000394,dexlansoprazole
dextroamphetamine,8000162,dextroamphetamine
diazepam,8000048,diazepam
diclofenac,8000082,diclofenac
diclofenac and misoprostol,8000180,diclofenac and misoprostol
digoxin,8000198,digoxin
diltiazem,8000122,diltiazem
domperidone,8000181,domperidone
