ntp_code,ntp_formal_name,ntp_fr_description,changes
"173967ce8880d37329a5a994625bc320","sapropterin dihydrochloride 500 mg per sachet powder for oral solution","dichlorhydrate de saproptérine 500 mg par sachet poudre pour solution orale","ADDED"
"1f8cae2546c65de0992d6e72bab51947","trastuzumab 420 mg per vial powder for solution for injection with diluent solution","trastuzumab 420 mg par fiole poudre pour solution injectable avec solution diluante","ADDED"
"3895f045962a084a5234115c7ebe8705","semaglutide 14 mg oral tablet","sémaglutide 14 mg comprimé oral","ADDED"
"3babf50ba3a4ef4533b3daeb6a1068a2","sapropterin dihydrochloride 100 mg per sachet powder for oral solution","dichlorhydrate de saproptérine 100 mg par sachet poudre pour solution orale","ADDED"
"6c2ea9ee27f113a69c45f4f4ca7ece0c","semaglutide 3 mg oral tablet","sémaglutide 3 mg comprimé oral","ADDED"
"7e30fc54a54cba1b034872d54788ac1e","tolvaptan 15 mg oral tablet with tolvaptan 30 mg oral tablet","tolvaptan 15 mg comprimé oral avec tolvaptan 30 mg comprimé oral","ADDED"
"7edec896634f2b7c4d6a5d8478265463","brivaracetam 50 mg per 5 mL oral solution","brivaracétam 50 mg par 5 mL solution orale","ADDED"
"9000724","omeprazole (omeprazole magnesium) 10 mg gastro-resistant tablet","oméprazole (oméprazole magnésium) 10 mg comprimé gastrorésistant","ntp_status_effective_time: ""19970428"" -> ""20050124"""
"9001632","chloroquine diphosphate 250 mg oral tablet","diphosphate de chloroquine 250 mg comprimé oral","ntp_status: ""ACTIVE"" -> ""DEPREC""
ntp_status_effective_time: ""19681231"" -> ""20200501"""
"9002617","trolamine salicylate 13.3 % cutaneous cream","salicylate de trolamine 13,3 % crème cutanée","ntp_status_effective_time: ""19931231"" -> ""20120307"""
"9004358","daptomycin 500 mg per vial powder for solution for injection","daptomycine 500 mg par fiole poudre pour solution injectable","ntp_status_effective_time: ""20071203"" -> ""20180117"""
"9004989","chlorhexidine gluconate 4 % lotion","gluconate de chlorhexidine 4 % lotion","ntp_status: ""INACTIVE"" -> ""ACTIVE""
ntp_status_effective_time: ""20190724"" -> ""20120223"""
"9013224","menotropins 75 unit per vial powder for solution for injection with diluent solution","ménotropines 75 unité par fiole poudre pour solution injectable avec solution diluante","ntp_status_effective_time: ""20030828"" -> ""20060919"""
"9013757","alpha tocopheryl acetate 20 unit and retinyl palmitate 100000 unit oral capsule","acétate de alpha-tocophéryle 20 unité et palmitate de rétinyle 100000 unité capsule orale","ntp_fr_description: ""acétate de alpha-tocophéryle) 20 unité et palmitate de rétinyle 100000 unité capsule orale"" -> ""acétate de alpha-tocophéryle 20 unité et palmitate de rétinyle 100000 unité capsule orale"""
"9013758","alpha tocopheryl acetate 40 unit and retinyl palmitate 200000 unit oral capsule","acétate de alpha-tocophéryle 40 unité et palmitate de rétinyle 200000 unité capsule orale","ntp_fr_description: ""acétate de alpha-tocophéryle) 40 unité et palmitate de rétinyle 200000 unité capsule orale"" -> ""acétate de alpha-tocophéryle 40 unité et palmitate de rétinyle 200000 unité capsule orale"""
"9013783","dextromethorphan hydrobromide 10 mg per 5 mL and guaifenesin 100 mg per 5 mL oral solution","bromhydrate de dextrométhorphane 10 mg par 5 mL et guaïfénésine 100 mg par 5 mL solution orale","ntp_status: ""ACTIVE"" -> ""DEPREC""
ntp_status_effective_time: ""20060807"" -> ""20200501"""
"9941cbfb8142269f3eb550a11161a55f","semaglutide 7 mg oral tablet","sémaglutide 7 mg comprimé oral","ADDED"
"9bd9344652c0b85e80c72a86cd56ba80","chloroquine phosphate 250 mg oral tablet","Phosphate de chloroquine 250 mg comprimé oral","ADDED"
"9c27d57b066352d9215fe546d859e180","patiromer (patiromer sorbitex calcium) 8.4 g per sachet powder for oral suspension","patiromère (patiromère sorbitex calcique) 8,4 g par sachet poudre pour suspension orale","ADDED"
"e586ca02e56de80054dc2a08a1b9054a","dextromethorphan hydrobromide 10 mg per 5 mL and guaifenesin 100 mg per 5 mL syrup","bromhydrate de dextrométhorphane 10 mg par 5 mL et guaïfénésine 100 mg par 5 mL sirop","ADDED"
