tm_code,tm_formal_name,tm_fr_description,changes
8002154,potassium phosphate dibasic and potassium phosphate monobasic,phosphate de potassium dibasique et phosphate de potassium monobasique,ADDED
8002161,sodium bicarbonate,bicarbonate de sodium,ADDED
8001844,magnesium chloride,chlorure de magnésium,ADDED
8002430,SARS-CoV-2 recombinant spike protein,protéine de spicule du SRAS-CoV-2 recombinante,"tm_status_effective_time: ""20250714"" -> ""20260306"""
8002582,brexucabtagene autoleucel,bréxucabtagène autoleucel,ADDED
ace5d70575077228f8ebb13926ce2a7e,tislelizumab,tislélizumab,ADDED
8002452,cytarabine and daunorubicin,cytarabine et daunorubicine,ADDED
ac32254624f8f7225cfe9f9c344c28eb,deutivacaftor and tezacaftor and vanzacaftor,deutivacaftor et tézacaftor et vanzacaftor,ADDED
8001757,doxorubicin,doxorubicine,ADDED
8002584,lisocabtagene maraleucel,lisocabtagène maraleucel,ADDED
8001004,benzoyl peroxide and salicylic acid,peroxyde de benzoyle et acide salicylique,ADDED
8002160,sodium acetate,acétate de sodium,ADDED
8002215,amphotericin B,amphotéricine B,ADDED
8001476,follitropin beta,follitropine bêta,ADDED
c3952a04d840bc67987b9d9664965fde,palopegteriparatide,palopegtériparatide,ADDED
8002282,fibrinogen human and thrombin human,fibrinogène humaine et thrombine humaine,ADDED
8001234,streptomycin,streptomycine,DELETED
8001615,chloroxylenol,chloroxylénol,ADDED
0f845791566efcbe5c2ac994764e0807,vamorolone,vamorolone,ADDED
8000922,brompheniramine and phenylephrine,bromphéniramine et phényléphrine,"tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""20010723"" -> ""20211220"""
8002278,coagulation factor ii (human) and coagulation factor IX human and coagulation factor vii (human) and coagulation factor x (human) and protein c and protein s,facteur II de coagulation humain et facteur IX de coagulation humain et facteur VII de coagulation humain et facteur X de coagulation humain et protéine c et protéine s,ADDED
8001579,benzethonium,benzéthonium,ADDED
8002581,axicabtagene ciloleucel,axicabtagène ciloleucel,ADDED
8001976,triclosan,triclosan,ADDED
8002047,paclitaxel,paclitaxel,ADDED
8001870,potassium chloride,chlorure de potassium,ADDED
8000796,benzalkonium,benzalkonium,ADDED
8001878,sodium iodide,iodure de sodium,ADDED
8002583,ethinyl estradiol and segesterone,éthinylestradiol et ségestérone,ADDED
8002587,tisagenlecleucel,tisagenlecleucel,ADDED
8000912,alcohol anhydrous and chlorhexidine,alcool anhydre et chlorhexidine,ADDED
