"","PHARM_FORM_CODE","ROUTE_OF_ADMINISTRATION_CODE","dpd_pharm_form","dpd_route_admin","n_din"
"1","85","56","TABLET","ORAL",5374
"2","134","6","SOLUTION","DIALYSIS",169
"3","134","49","SOLUTION","INTRAVENOUS",750
"4","34","22","LIQUID","INTRAMUSCULAR",119
"5","12","55","DROPS","OPHTHALMIC",55
"6","17","56","TABLET (ENTERIC-COATED)","ORAL",97
"7","34","49","LIQUID","INTRAVENOUS",190
"8","9","70","CREAM","TOPICAL",506
"9","82","56","SYRUP","ORAL",169
"10","12","57","DROPS","OTIC",9
"11","134","22","SOLUTION","INTRAMUSCULAR",234
"12","134","59","SOLUTION","PARENTERAL (UNSPECIFIED)",1
"13","160","71","PATCH (EXTENDED RELEASE)","TRANSDERMAL",12
"14","5","56","CAPSULE","ORAL",1133
"15","34","6","LIQUID","DIALYSIS",3
"16","34","56","LIQUID","ORAL",109
"17","34","70","LIQUID","TOPICAL",152
"18","55","56","POWDER","ORAL",29
"19","36","70","LOTION","TOPICAL",498
"20","79","56","SUSPENSION","ORAL",81
"21","34","65","LIQUID","SUBCUTANEOUS",110
"22","118","22","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","INTRAMUSCULAR",14
"23","134","29","SOLUTION","INHALATION",51
"24","134","56","SOLUTION","ORAL",92
"25","12","56","DROPS","ORAL",15
"26","18","56","ELIXIR","ORAL",16
"27","114","95","GEL","INTRACERVICAL",1
"28","134","92","SOLUTION","0-UNASSIGNED",8
"29","126","56","POWDER FOR SUSPENSION","ORAL",51
"30","88","70","TINCTURE","TOPICAL",2
"31","43","55","OINTMENT","OPHTHALMIC",30
"32","52","5","PASTE","DENTAL",2
"33","153","29","POWDER (METERED DOSE)","INHALATION",3
"34","1","29","METERED-DOSE AEROSOL","INHALATION",15
"35","55","29","POWDER","INHALATION",27
"36","14","56","CAPSULE (ENTERIC-COATED)","ORAL",14
"37","78","62","SUPPOSITORY","RECTAL",73
"38","34","57","LIQUID","OTIC",1
"39","34","36","LIQUID","IRRIGATION",13
"40","43","70","OINTMENT","TOPICAL",133
"41","34","5","LIQUID","DENTAL",5
"42","59","70","SHAMPOO","TOPICAL",89
"43","25","29","GAS","INHALATION",69
"44","79","55","SUSPENSION","OPHTHALMIC",21
"45","134","65","SOLUTION","SUBCUTANEOUS",337
"46","75","56","TABLET (EXTENDED-RELEASE)","ORAL",335
"47","114","70","GEL","TOPICAL",109
"48","134","70","SOLUTION","TOPICAL",74
"49","32","22","KIT","INTRAMUSCULAR",21
"50","32","49","KIT","INTRAVENOUS",49
"51","56","22","POWDER FOR SOLUTION","INTRAMUSCULAR",144
"52","56","49","POWDER FOR SOLUTION","INTRAVENOUS",425
"53","39","56","LOZENGE","ORAL",20
"54","134","97","SOLUTION","INTRAVASCULAR",17
"55","79","10","SUSPENSION","INTRA-ARTICULAR",18
"56","79","21","SUSPENSION","INTRALESIONAL",7
"57","79","22","SUSPENSION","INTRAMUSCULAR",61
"58","79","42","SUSPENSION","INTRASYNOVIAL",11
"59","114","74","GEL","VAGINAL",4
"60","134","53","SOLUTION","NASAL",15
"61","34","55","LIQUID","OPHTHALMIC",34
"62","12","53","DROPS","NASAL",1
"63","134","55","SOLUTION","OPHTHALMIC",157
"64","173","56","TABLET (IMMEDIATE AND EXTENDED RELEASE)","ORAL",3
"65","134","36","SOLUTION","IRRIGATION",13
"66","34","42","LIQUID","INTRASYNOVIAL",1
"67","56","56","POWDER FOR SOLUTION","ORAL",46
"68","2","70","AEROSOL","TOPICAL",37
"69","134","33","SOLUTION","INTRAPERITONEAL",4
"70","85","66","TABLET","SUBLINGUAL",25
"71","79","65","SUSPENSION","SUBCUTANEOUS",20
"72","134","1","SOLUTION","BLOCK/INFILTRATION",55
"73","78","74","SUPPOSITORY","VAGINAL",5
"74","134","7","SOLUTION","EPIDURAL",27
"75","43","62","OINTMENT","RECTAL",20
"76","19","56","EMULSION","ORAL",1
"77","9","74","CREAM","VAGINAL",28
"78","79","29","SUSPENSION","INHALATION",3
"79","34","10","LIQUID","INTRA-ARTICULAR",2
"80","79","19","SUSPENSION","INTRADERMAL",4
"81","151","56","TABLET (CHEWABLE)","ORAL",84
"82","79","57","SUSPENSION","OTIC",2
"83","56","33","POWDER FOR SOLUTION","INTRAPERITONEAL",5
"84","56","65","POWDER FOR SOLUTION","SUBCUTANEOUS",103
"85","134","3","SOLUTION","BUCCAL",4
"86","43","57","OINTMENT","OTIC",1
"87","79","53","SUSPENSION","NASAL",3
"88","98","53","SPRAY","NASAL",33
"89","56","19","POWDER FOR SOLUTION","INTRADERMAL",18
"90","134","82","SOLUTION","INTRAGANGLIONAL",1
"91","150","56","TABLET (IMMEDIATE RELEASE)","ORAL",14
"92","34","29","LIQUID","INHALATION",11
"93","79","45","SUSPENSION","INTRATRACHEAL",3
"94","94","5","TOOTHPASTE","DENTAL",5
"95","19","49","EMULSION","INTRAVENOUS",21
"96","141","56","CAPSULE (EXTENDED RELEASE)","ORAL",180
"97","158","53","SPRAY, METERED DOSE","NASAL",21
"98","55","53","POWDER","NASAL",1
"99","109","56","TABLET (DELAYED-RELEASE)","ORAL",117
"100","134","32","SOLUTION","INTRAOCULAR",3
"101","68","56","CAPSULE (SUSTAINED-RELEASE)","ORAL",29
"102","79","13","SUSPENSION","INTRABURSAL",4
"103","34","3","LIQUID","BUCCAL",11
"104","134","5","SOLUTION","DENTAL",1
"105","32","5","KIT","DENTAL",1
"106","76","70","STICK","TOPICAL",81
"107","134","10","SOLUTION","INTRA-ARTICULAR",2
"108","134","13","SOLUTION","INTRABURSAL",1
"109","30","65","IMPLANT","SUBCUTANEOUS",4
"110","134","57","SOLUTION","OTIC",9
"111","20","62","ENEMA","RECTAL",7
"112","32","62","KIT","RECTAL",1
"113","85","62","TABLET","RECTAL",1
"114","161","56","CAPSULE (IMMEDIATE RELEASE)","ORAL",10
"115","105","107","WIPE","TOPICAL (HOSPITAL/HC FACILITIES)",3
"116","115","70","OVULE","TOPICAL",1
"117","115","74","OVULE","VAGINAL",2
"118","78","70","SUPPOSITORY","TOPICAL",2
"119","145","70","PATCH","TOPICAL",3
"120","34","1","LIQUID","BLOCK/INFILTRATION",15
"121","13","70","DRESSING","TOPICAL",2
"122","157","56","GRANULES FOR SUSPENSION","ORAL",15
"123","77","55","STRIP","OPHTHALMIC",1
"124","56","62","POWDER FOR SOLUTION","RECTAL",2
"125","134","31","SOLUTION","INTRATHECAL",20
"126","55","62","POWDER","RECTAL",2
"127","34","62","LIQUID","RECTAL",3
"128","34","7","LIQUID","EPIDURAL",3
"129","55","6","POWDER","DIALYSIS",8
"130","55","49","POWDER","INTRAVENOUS",1
"131","79","62","SUSPENSION","RECTAL",3
"132","137","56","CAPSULE (DELAYED RELEASE)","ORAL",76
"133","53","56","GRANULES","ORAL",8
"134","104","74","RING (SLOW-RELEASE)","VAGINAL",2
"135","134","96","SOLUTION","INTRAVESICAL",9
"136","134","12","SOLUTION","INTRA-ARTERIAL",20
"137","85","5","TABLET","DENTAL",1
"138","12","70","DROPS","TOPICAL",1
"139","101","55","SOLUTION (LONG-ACTING)","OPHTHALMIC",2
"140","32","12","KIT","INTRA-ARTERIAL",1
"141","56","12","POWDER FOR SOLUTION","INTRA-ARTERIAL",2
"142","36","104","LOTION","TOPICAL (HOUSEHOLD)",2
"143","1","53","METERED-DOSE AEROSOL","NASAL",8
"144","145","71","PATCH","TRANSDERMAL",88
"145","34","19","LIQUID","INTRADERMAL",28
"146","34","85","LIQUID","PERCUTANEOUS",15
"147","77","70","STRIP","TOPICAL",2
"148","52","56","PASTE","ORAL",2
"149","154","74","VAGINAL TABLET","VAGINAL",5
"150","98","70","SPRAY","TOPICAL",76
"151","56","31","POWDER FOR SOLUTION","INTRATHECAL",6
"152","34","105","LIQUID","TOPICAL (COMMERCIAL)",4
"153","134","107","SOLUTION","TOPICAL (HOSPITAL/HC FACILITIES)",4
"154","63","107","SPONGE","TOPICAL (HOSPITAL/HC FACILITIES)",5
"155","56","96","POWDER FOR SOLUTION","INTRAVESICAL",5
"156","134","64","SOLUTION","SUBARACHNOIDAL",5
"157","126","96","POWDER FOR SUSPENSION","INTRAVESICAL",1
"158","56","6","POWDER FOR SOLUTION","DIALYSIS",6
"159","114","56","GEL","ORAL",2
"160","32","84","KIT","INTRACAVERNOSAL",1
"161","34","84","LIQUID","INTRACAVERNOSAL",2
"162","56","84","POWDER FOR SOLUTION","INTRACAVERNOSAL",2
"163","134","19","SOLUTION","INTRADERMAL",7
"164","26","70","JELLY","TOPICAL",2
"165","134","11","SOLUTION","INTRA-AMNIOTIC",1
"166","34","33","LIQUID","INTRAPERITONEAL",3
"167","34","17","LIQUID","INTRACAVITARY",1
"168","34","59","LIQUID","PARENTERAL (UNSPECIFIED)",4
"169","48","56","PACKAGE","ORAL",2
"170","26","72","JELLY","URETHRAL",1
"171","134","72","SOLUTION","URETHRAL",1
"172","129","107","SWAB","TOPICAL (HOSPITAL/HC FACILITIES)",3
"173","56","55","POWDER FOR SOLUTION","OPHTHALMIC",2
"174","2","29","AEROSOL","INHALATION",1
"175","56","29","POWDER FOR SOLUTION","INHALATION",10
"176","2","62","AEROSOL","RECTAL",2
"177","34","21","LIQUID","INTRALESIONAL",2
"178","34","63","LIQUID","SOFT TISSUE INJECTION",1
"179","114","62","GEL","RECTAL",2
"180","1","70","METERED-DOSE AEROSOL","TOPICAL",1
"181","114","53","GEL","NASAL",4
"182","134","85","SOLUTION","PERCUTANEOUS",23
"183","34","48","LIQUID","INTRAUTERINE",1
"184","163","56","GRANULES FOR SOLUTION","ORAL",1
"185","79","70","SUSPENSION","TOPICAL",16
"186","88","29","TINCTURE","INHALATION",1
"187","55","70","POWDER","TOPICAL",14
"188","52","70","PASTE","TOPICAL",4
"189","34","53","LIQUID","NASAL",3
"190","19","70","EMULSION","TOPICAL",52
"191","23","56","TABLET (EFFERVESCENT)","ORAL",3
"192","56","70","POWDER FOR SOLUTION","TOPICAL",5
"193","117","53","METERED-DOSE PUMP","NASAL",3
"194","56","21","POWDER FOR SOLUTION","INTRALESIONAL",2
"195","34","97","LIQUID","INTRAVASCULAR",5
"196","56","17","POWDER FOR SOLUTION","INTRACAVITARY",1
"197","134","50","SOLUTION","INTRAVENTRICULAR",2
"198","45","70","PAD","TOPICAL",4
"199","158","70","SPRAY, METERED DOSE","TOPICAL",2
"200","106","56","CAPSULE (CONTROLLED-DELIVERY)","ORAL",18
"201","42","3","MOUTHWASH/GARGLE","BUCCAL",10
"202","42","56","MOUTHWASH/GARGLE","ORAL",5
"203","32","32","KIT","INTRAOCULAR",1
"204","5","29","CAPSULE","INHALATION",6
"205","114","3","GEL","BUCCAL",1
"206","116","74","INSERT","VAGINAL",1
"207","34","18","LIQUID","INTRACUTANEOUS",14
"208","70","56","SYRUP (EXTENDED-RELEASE)","ORAL",2
"209","117","66","METERED-DOSE PUMP","SUBLINGUAL",3
"210","79","49","SUSPENSION","INTRAVENOUS",3
"211","134","39","SOLUTION","INSTILLATION",1
"212","132","56","TABLET (ORALLY DISINTEGRATING)","ORAL",136
"213","50","70","PLASTER","TOPICAL",1
"214","32","56","KIT","ORAL",30
"215","78","72","SUPPOSITORY","URETHRAL",3
"216","114","71","GEL","TRANSDERMAL",4
"217","32","65","KIT","SUBCUTANEOUS",12
"218","55","22","POWDER","INTRAMUSCULAR",3
"219","79","31","SUSPENSION","INTRATHECAL",1
"220","34","12","LIQUID","INTRA-ARTERIAL",1
"221","134","40","SOLUTION","INTRASPINAL",1
"222","134","60","SOLUTION","RETROBULBAR",1
"223","56","40","POWDER FOR SOLUTION","INTRASPINAL",1
"224","134","4","SOLUTION","INTRACAUDAL",2
"225","134","42","SOLUTION","INTRASYNOVIAL",2
"226","56","108","POWDER FOR SOLUTION","NASOGASTRIC",1
"227","123","89","GEL (CONTROLLED-RELEASE)","SUBGINGIVAL",1
"228","129","70","SWAB","TOPICAL",2
"229","130","48","INSERT (EXTENDED-RELEASE)","INTRAUTERINE",3
"230","134","104","SOLUTION","TOPICAL (HOUSEHOLD)",12
"231","1","66","METERED-DOSE AEROSOL","SUBLINGUAL",1
"232","1","56","METERED-DOSE AEROSOL","ORAL",3
"233","135","49","LIPOSOMES","INTRAVENOUS",1
"234","162","29","AEROSOL, METERED DOSE","INHALATION",6
"235","79","63","SUSPENSION","SOFT TISSUE INJECTION",4
"236","105","70","WIPE","TOPICAL",10
"237","56","39","POWDER FOR SOLUTION","INSTILLATION",1
"238","34","104","LIQUID","TOPICAL (HOUSEHOLD)",19
"239","36","107","LOTION","TOPICAL (HOSPITAL/HC FACILITIES)",1
"240","118","65","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","SUBCUTANEOUS",5
"241","98","56","SPRAY","ORAL",2
"242","116","55","INSERT","OPHTHALMIC",1
"243","85","65","TABLET","SUBCUTANEOUS",2
"244","138","56","TABLET (COMBINED RELEASE)","ORAL",1
"245","77","56","STRIP","ORAL",6
"246","5","65","CAPSULE","SUBCUTANEOUS",4
"247","134","16","SOLUTION","INTRACRANIAL",1
"248","154","70","VAGINAL TABLET","TOPICAL",2
"249","56","34","POWDER FOR SOLUTION","INTRAPLEURAL",1
"250","98","3","SPRAY","BUCCAL",1
"251","152","89","POWDER (EXTENDED RELEASE)","SUBGINGIVAL",1
"252","12","32","DROPS","INTRAOCULAR",1
"253","126","49","POWDER FOR SUSPENSION","INTRAVENOUS",2
"254","164","70","SPRAY, BAG-ON-VALVE","TOPICAL",66
"255","155","65","SOLUTION (EXTENDED RELEASE)","SUBCUTANEOUS",3
"256","132","66","TABLET (ORALLY DISINTEGRATING)","SUBLINGUAL",13
"257","156","56","TABLET FOR SUSPENSION","ORAL",12
"258","114","100","GEL","INTRAINTESTINAL (UPPER)",1
"259","114","104","GEL","TOPICAL (HOUSEHOLD)",4
"260","105","104","WIPE","TOPICAL (HOUSEHOLD)",9
"261","134","80","SOLUTION","INTRAVITREAL",4
"262","159","56","TABLET (DELAYED AND EXTENDED RELEASE)","ORAL",2
"263","148","56","GRANULES FOR SUSPENSION, DELAYED RELEASE","ORAL",1
"264","30","80","IMPLANT","INTRAVITREAL",2
"265","5","70","CAPSULE","TOPICAL",4
"266","5","74","CAPSULE","VAGINAL",1
"267","9","56","CREAM","ORAL",4
"268","32","55","KIT","OPHTHALMIC",1
"269","98","104","SPRAY","TOPICAL (HOUSEHOLD)",1
"270","32","70","KIT","TOPICAL",23
"271","165","74","VAGINAL TABLET, EFFERVESCENT","VAGINAL",1
"272","126","65","POWDER FOR SUSPENSION","SUBCUTANEOUS",2
"273","166","70","AEROSOL, FOAM","TOPICAL",8
"274","98","105","SPRAY","TOPICAL (COMMERCIAL)",1
"275","134","14","SOLUTION","INTRACARDIAC",3
"276","143","22","SUSPENSION (EXTENDED-RELEASE)","INTRAMUSCULAR",8
"277","137","108","CAPSULE (DELAYED RELEASE)","NASOGASTRIC",2
"278","19","55","EMULSION","OPHTHALMIC",3
