"ntp_dosage_form_code","ntp_dosage_form","route_of_administration_code","route_of_administration","route_of_administration_f","pharm_form_code","pharmaceutical_form","pharmaceutical_form_f","audit_id"
40001,"solution for injection","1","BLOCK/INFILTRATION","Bloc/Infiltration","34","LIQUID","Liquide",28977
40001,"solution for injection","1","BLOCK/INFILTRATION","Bloc/Infiltration","134","SOLUTION","Solution",28978
40001,"solution for injection","1-7","BLOCK/INFILTRATION, EPIDURAL","Bloc/Infiltration, Épidurale","34","LIQUID","Liquide",28979
40001,"solution for injection","1-7","BLOCK/INFILTRATION, EPIDURAL","Bloc/Infiltration, Épidurale","134","SOLUTION","Solution",28980
40002,"oromucosal gel","3","BUCCAL","Buccale","114","GEL","Gel",28981
40003,"mouthwash","3","BUCCAL","Buccale","34","LIQUID","Liquide",28982
40004,"gargle/mouthwash","3","BUCCAL","Buccale","42","MOUTHWASH/GARGLE","Rince-bouche/Gargarisme",28983
40003,"mouthwash","3","BUCCAL","Buccale","134","SOLUTION","Solution",28984
40005,"oromucosal spray","3","BUCCAL","Buccale","98","SPRAY","Pulvérisation",28985
40006,"kit","3","BUCCAL","Buccale","32","KIT","Trousse",28986
40007,"buccal tablet","3","BUCCAL","Buccale","85","TABLET","Comprimé",28987
40007,"buccal tablet","3","BUCCAL","Buccale","23","TABLET (EFFERVESCENT)","Comprimé (effervescent)",28988
40008,"oromucosal solution","3-56","BUCCAL, ORAL","Buccale, Orale","34","LIQUID","Liquide",28989
40009,"oromucosal paste","3-56","BUCCAL, ORAL","Buccale, Orale","52","PASTE","Pâte",28990
40007,"buccal tablet","3-66","BUCCAL, SUBLINGUAL","Buccale, Sublinguale","23","TABLET (EFFERVESCENT)","Comprimé (effervescent)",28991
40008,"oromucosal solution","3-70","BUCCAL, TOPICAL","Buccale, Topique","34","LIQUID","Liquide",28992
40010,"dental gel","5","DENTAL","Dentaire","114","GEL","Gel",28993
40011,"dental solution","5","DENTAL","Dentaire","34","LIQUID","Liquide",28994
40009,"oromucosal paste","5","DENTAL","Dentaire","52","PASTE","Pâte",28995
40011,"dental solution","5","DENTAL","Dentaire","134","SOLUTION","Solution",28996
40012,"toothpaste","5","DENTAL","Dentaire","94","TOOTHPASTE","Pâte dentifrice",28997
40006,"kit","5","DENTAL","Dentaire","32","KIT","Trousse",28998
40013,"solution for haemodialysis","6","DIALYSIS","Dialyse","34","LIQUID","Liquide",28999
40014,"powder for concentrate for solution for haemodialysis","6","DIALYSIS","Dialyse","55","POWDER","Poudre",29000
40014,"powder for concentrate for solution for haemodialysis","6","DIALYSIS","Dialyse","56","POWDER FOR SOLUTION","Poudre pour solution",29001
40013,"solution for haemodialysis","6","DIALYSIS","Dialyse","134","SOLUTION","Solution",29002
40001,"solution for injection","7","EPIDURAL","Épidurale","34","LIQUID","Liquide",29003
40001,"solution for injection","7","EPIDURAL","Épidurale","134","SOLUTION","Solution",29004
40001,"solution for injection","7-4","EPIDURAL, INTRACAUDAL","Épidurale, Intracaudale","134","SOLUTION","Solution",29005
40001,"solution for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale, Intramusculaire, Intraveineuse","34","LIQUID","Liquide",29006
40001,"solution for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale, Intramusculaire, Intraveineuse","134","SOLUTION","Solution",29007
40015,"emulsion for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale, Intramusculaire, Intraveineuse","19","EMULSION","Émulsion",29008
40016,"powder for suspension for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale, Intramusculaire, Intraveineuse","55","POWDER","Poudre",29009
40017,"powder for solution for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale, Intramusculaire, Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution",29010
40016,"powder for suspension for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale, Intramusculaire, Intraveineuse","126","POWDER FOR SUSPENSION","Poudre pour suspension",29011
40018,"powder for prolonged-release suspension for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale, Intramusculaire, Intraveineuse","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29012
40019,"suspension for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale, Intramusculaire, Intraveineuse","79","SUSPENSION","Suspension",29013
40020,"prolonged-release suspension for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale, Intramusculaire, Intraveineuse","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29014
40001,"solution for injection","7-49","EPIDURAL, INTRAVENOUS","Épidurale, Intraveineuse","34","LIQUID","Liquide",29015
40001,"solution for injection","7-49","EPIDURAL, INTRAVENOUS","Épidurale, Intraveineuse","134","SOLUTION","Solution",29016
40001,"solution for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale, Intraveineuse, Sous-cutanée","134","SOLUTION","Solution",29017
40015,"emulsion for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale, Intraveineuse, Sous-cutanée","19","EMULSION","Émulsion",29018
40001,"solution for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale, Intraveineuse, Sous-cutanée","34","LIQUID","Liquide",29019
