drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"98151","59","SHAMPOO","ADDED","02491516"
"83190","34","LIQUID","REMOVED","02346451"
"98585","5","CAPSULE","ADDED","02495953"
"98646","85","TABLET","ADDED","02496607"
"98612","109","TABLET (DELAYED-RELEASE)","ADDED","02496259"
"20013","134","SOLUTION","ADDED","02161656"
"98641","85","TABLET","ADDED","02496550"
"98656","134","SOLUTION","ADDED","02496712"
"98432","59","SHAMPOO","ADDED","02494299"
"98635","85","TABLET","ADDED","02496488"
"98659","134","SOLUTION","ADDED","02496747"
"65206","34","LIQUID","REMOVED","02241553"
"98623","85","TABLET","ADDED","02496356"
"98603","134","SOLUTION","ADDED","02496151"
"98633","126","POWDER FOR SUSPENSION","ADDED","02496453"
"98638","134","SOLUTION","ADDED","02496526"
"98602","134","SOLUTION","ADDED","02496143"
"43089","56","POWDER FOR SOLUTION","REMOVED","02212307"
"98648","85","TABLET","ADDED","02496623"
"98587","134","SOLUTION","ADDED","02495988"
"98149","36","LOTION","ADDED","02491494"
"98632","126","POWDER FOR SUSPENSION","ADDED","02496445"
"98627","85","TABLET","ADDED","02496399"
"65206","134","SOLUTION","ADDED","02241553"
"98594","85","TABLET","ADDED","02496062"
"98626","85","TABLET","ADDED","02496380"
"98460","36","LOTION","ADDED","02494604"
"98651","32","KIT","ADDED","02496690"
"83190","82","SYRUP","ADDED","02346451"
"98649","85","TABLET","ADDED","02496631"
"98596","85","TABLET","ADDED","02496089"
"20013","34","LIQUID","REMOVED","02161656"
"98655","134","SOLUTION","ADDED","02496704"
"98605","134","SOLUTION","ADDED","02496186"
"98658","134","SOLUTION","ADDED","02496739"
"98146","59","SHAMPOO","ADDED","02491451"
"84236","34","LIQUID","REMOVED","02357232"
"98619","85","TABLET","ADDED","02496305"
"98657","98","SPRAY","ADDED","02496720"
"98647","85","TABLET","ADDED","02496615"
"98640","85","TABLET","ADDED","02496542"
"98642","85","TABLET","ADDED","02496569"
"98593","85","TABLET","ADDED","02496054"
"98604","134","SOLUTION","ADDED","02496178"
"98629","9","CREAM","ADDED","02496410"
"98610","85","TABLET","ADDED","02496232"
"98150","59","SHAMPOO","ADDED","02491508"
"98650","134","SOLUTION","ADDED","02496658"
"98651","56","POWDER FOR SOLUTION","ADDED","02496690"
"98601","134","SOLUTION","ADDED","02496135"
"98637","137","CAPSULE (DELAYED RELEASE)","ADDED","02496518"
"98620","134","SOLUTION","ADDED","02496313"
"98599","85","TABLET","ADDED","02496119"
"98148","59","SHAMPOO","ADDED","02491486"
"98145","59","SHAMPOO","ADDED","02491443"
"98600","56","POWDER FOR SOLUTION","ADDED","02496127"
"98636","137","CAPSULE (DELAYED RELEASE)","ADDED","02496496"
"84236","82","SYRUP","ADDED","02357232"
"98147","59","SHAMPOO","ADDED","02491478"
"98634","85","TABLET","ADDED","02496461"
"43089","157","GRANULES FOR SUSPENSION","ADDED","02212307"
"98595","85","TABLET","ADDED","02496070"
"98639","85","TABLET","ADDED","02496534"
"98206","9","CREAM","ADDED","02492059"
