mp_code,mp_formal_name,mp_en_description,mp_fr_description,mp_status,mp_status_effective_time,mp_type,Health_Canada_identifier,Health_Canada_product_name
3875,DULCOLAX (bisacodyl 10 mg suppository) SANOFI-AVENTIS CANADA INC,NA,NA,Active,19581231,DIN,3875,DULCOLAX
4596,IMURAN (azathioprine 50 mg oral tablet) ASPEN PHARMACARE CANADA INC.,NA,NA,Active,19661231,DIN,4596,IMURAN
4626,LEUKERAN (chlorambucil 2 mg oral tablet) ASPEN PHARMACARE CANADA INC.,NA,NA,Active,19571231,DIN,4626,LEUKERAN
5606,RITALIN 10MG (methylphenidate hydrochloride 10 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC,NA,NA,Active,19561231,DIN,5606,RITALIN 10MG
5614,RITALIN 20MG (methylphenidate hydrochloride 20 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC,NA,NA,Active,19581231,DIN,5614,RITALIN 20MG
10332,ENTROPHEN 325MG TABLETS (acetylsalicylic acid 325 mg gastro-resistant tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC,NA,NA,Active,19511231,DIN,10332,ENTROPHEN 325MG TABLETS
10340,ENTROPHEN ECT 650MG (acetylsalicylic acid 650 mg gastro-resistant tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC,NA,NA,Active,19671231,DIN,10340,ENTROPHEN ECT 650MG
10405,TEGRETOL 200MG (carbamazepine 200 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC,NA,NA,Active,19691231,DIN,10405,TEGRETOL 200MG
13285,VALIUM 5 TAB (diazepam 5 mg oral tablet) HOFFMANN-LA ROCHE LIMITED,NA,NA,Active,19781231,DIN,13285,VALIUM 5 TAB
13668,ATASOL FORTE TAB 500MG (acetaminophen 500 mg oral tablet) CHURCH & DWIGHT CANADA CORP,NA,NA,Active,19751231,DIN,13668,ATASOL FORTE TAB 500MG
15229,AVENTYL (nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule) AA PHARMA INC,NA,NA,Active,19651231,DIN,15229,AVENTYL
15237,AVENTYL (nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule) AA PHARMA INC,NA,NA,Active,19651231,DIN,15237,AVENTYL
20877,TEVA-AMPICILLIN (ampicillin (ampicillin trihydrate) 250 mg oral capsule) TEVA CANADA LIMITED,NA,NA,Active,19711231,DIN,20877,TEVA-AMPICILLIN
20885,TEVA-AMPICILLIN (ampicillin (ampicillin trihydrate) 500 mg oral capsule) TEVA CANADA LIMITED,NA,NA,Active,19711231,DIN,20885,TEVA-AMPICILLIN
21008,TEVA-QUININE (quinine sulfate 200 mg oral capsule) TEVA CANADA LIMITED,NA,NA,Active,19661231,DIN,21008,TEVA-QUININE
21016,TEVA-QUININE (quinine sulfate 300 mg oral capsule) TEVA CANADA LIMITED,NA,NA,Active,19661231,DIN,21016,TEVA-QUININE
21474,TEVA-HYDROCHLOROTHIAZIDE (hydrochlorothiazide 25 mg oral tablet) TEVA CANADA LIMITED,NA,NA,Active,19681231,DIN,21474,TEVA-HYDROCHLOROTHIAZIDE
21482,TEVA-HYDROCHLOROTHIAZIDE (hydrochlorothiazide 50 mg oral tablet) TEVA CANADA LIMITED,NA,NA,Active,19681231,DIN,21482,TEVA-HYDROCHLOROTHIAZIDE
21695,TEVA-PREDNISONE (prednisone 5 mg oral tablet) TEVA CANADA LIMITED,NA,NA,Active,19671231,DIN,21695,TEVA-PREDNISONE
