mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
"00022772","DILANTIN (phénytoïne sodique 30 mg capsule orale) UPJOHN CANADA ULC","phénytoïne sodique 30 mg capsule orale","phénytoïne sodique","mp_fr_description: ""DILANTIN (phénytoïne sodique 30 mg capsule orale) PFIZER CANADA ULC"" -> ""DILANTIN (phénytoïne sodique 30 mg capsule orale) UPJOHN CANADA ULC"""
"00022780","DILANTIN (phénytoïne sodique 100 mg capsule orale) UPJOHN CANADA ULC","phénytoïne sodique 100 mg capsule orale","phénytoïne sodique","mp_fr_description: ""DILANTIN (phénytoïne sodique 100 mg capsule orale) PFIZER CANADA ULC"" -> ""DILANTIN (phénytoïne sodique 100 mg capsule orale) UPJOHN CANADA ULC"""
"00023442","DILANTIN-30 SUSPENSION (phénytoïne 30 mg par 5 mL suspension orale) UPJOHN CANADA ULC","phénytoïne 30 mg par 5 mL suspension orale","phénytoïne (base)","mp_fr_description: ""DILANTIN-30 SUSPENSION (phénytoïne 30 mg par 5 mL suspension orale) PFIZER CANADA ULC"" -> ""DILANTIN-30 SUSPENSION (phénytoïne 30 mg par 5 mL suspension orale) UPJOHN CANADA ULC"""
"00023450","DILANTIN-125 SUSPENSION (phénytoïne 125 mg par 5 mL suspension orale) UPJOHN CANADA ULC","phénytoïne 125 mg par 5 mL suspension orale","phénytoïne (base)","mp_fr_description: ""DILANTIN-125 SUSPENSION (phénytoïne 125 mg par 5 mL suspension orale) PFIZER CANADA ULC"" -> ""DILANTIN-125 SUSPENSION (phénytoïne 125 mg par 5 mL suspension orale) UPJOHN CANADA ULC"""
"00023698","DILANTIN INFATABS (phénytoïne 50 mg comprimé oral) UPJOHN CANADA ULC","phénytoïne 50 mg comprimé oral","phénytoïne (base)","mp_fr_description: ""DILANTIN INFATABS (phénytoïne 50 mg comprimé oral) PFIZER CANADA ULC"" -> ""DILANTIN INFATABS (phénytoïne 50 mg comprimé oral) UPJOHN CANADA ULC"""
"00060410","OSMITROL INJECTION 10% (mannitol 10 % solution injectable 1000 mL sac) BAXTER CORPORATION","mannitol 10 % solution injectable 1000 mL sac","mannitol","mp_fr_description: ""OSMITROL 10% INJ USP (mannitol 10 % solution injectable 1000 mL sac) BAXTER CORPORATION"" -> ""OSMITROL INJECTION 10% (mannitol 10 % solution injectable 1000 mL sac) BAXTER CORPORATION"""
"00060437","OSMITROL INJECTION 20% (mannitol 20 % solution injectable 500 mL sac) BAXTER CORPORATION","mannitol 20 % solution injectable 500 mL sac","mannitol","mp_fr_description: ""OSMITROL 20% INJ USP (mannitol 20 % solution injectable 500 mL sac) BAXTER CORPORATION"" -> ""OSMITROL INJECTION 20% (mannitol 20 % solution injectable 500 mL sac) BAXTER CORPORATION"""
"00299561","CREO-RECTAL ADULTES/ADULTS (camphre 5 mg et chlorhydrate de diphénylpyraline 1,5 mg et carbonate de guaïacol 600 mg suppositoire) LABORATOIRES CONFAB INC","camphre 5 mg et chlorhydrate de diphénylpyraline 1,5 mg et carbonate de guaïacol 600 mg suppositoire","camphre et diphénylpyraline et guaïacol","mp_fr_description: ""CREO-RECTAL ADULTE (camphre 5 mg et chlorhydrate de diphénylpyraline 1,5 mg et carbonate de guaïacol 600 mg suppositoire) LABORATOIRES CONFAB INC"" -> ""CREO-RECTAL ADULTES/ADULTS (camphre 5 mg et chlorhydrate de diphénylpyraline 1,5 mg et carbonate de guaïacol 600 mg suppositoire) LABORATOIRES CONFAB INC"""
"00548359","XANAX (alprazolam 0,25 mg comprimé oral) UPJOHN CANADA ULC","alprazolam 0,25 mg comprimé oral","alprazolam","mp_fr_description: ""XANAX (alprazolam 0,25 mg comprimé oral) PFIZER CANADA ULC"" -> ""XANAX (alprazolam 0,25 mg comprimé oral) UPJOHN CANADA ULC"""
"00548367","XANAX (alprazolam 0,5 mg comprimé oral) UPJOHN CANADA ULC","alprazolam 0,5 mg comprimé oral","alprazolam","mp_fr_description: ""XANAX TAB 0.5MG (alprazolam 0,5 mg comprimé oral) PFIZER CANADA ULC"" -> ""XANAX (alprazolam 0,5 mg comprimé oral) UPJOHN CANADA ULC"""
