"tm_code"|"formal_description_tm"|"en_display"|"fr_display"|"status"|"tm_status_effective_time"
9000012|"acebutolol"|NA|NA|"active"|"20060303"
9000019|"acetaminophen and caffeine and codeine"|NA|NA|"active"|"20060106"
9000030|"acetaminophen and codeine"|NA|NA|"active"|"20040611"
9000054|"acetaminophen and oxycodone"|NA|NA|"active"|"20160704"
9000059|"acetaminophen and tramadol"|NA|NA|"active"|"20140206"
9000073|"acyclovir"|NA|NA|"active"|"20040422"
9000099|"alendronate"|NA|NA|"active"|"20090427"
9000100|"alendronate and cholecalciferol"|NA|NA|"active"|"20131021"
9000103|"alfuzosin"|NA|NA|"active"|"20100430"
9000108|"allopurinol"|NA|NA|"active"|"20110125"
9000113|"alprazolam"|NA|NA|"active"|"20060220"
9000130|"amiodarone"|NA|NA|"active"|"20060317"
9000131|"amitriptyline"|NA|NA|"active"|"20020226"
9000132|"amlodipine"|NA|NA|"active"|"20090720"
9000139|"amoxicillin"|NA|NA|"active"|"20001227"
9000141|"amphetamine and dextroamphetamine"|NA|NA|"active"|"20151203"
9000168|"aripiprazole"|NA|NA|"active"|"20150818"
9000179|"atenolol"|NA|NA|"active"|"20040429"
9000181|"atomoxetine"|NA|NA|"active"|"20080501"
9000182|"atorvastatin"|NA|NA|"active"|"20100211"
9000254|"azathioprine"|NA|NA|"active"|"20090921"
9000257|"azithromycin"|NA|NA|"active"|"20100813"
9000266|"baclofen"|NA|NA|"active"|"20081017"
9000269|"beclomethasone"|NA|NA|"active"|"20100816"
9000291|"benzoyl peroxide and clindamycin"|NA|NA|"active"|"20121219"
9000294|"benztropine"|NA|NA|"active"|"20090127"
9000297|"betahistine"|NA|NA|"active"|"20140127"
9000299|"betamethasone"|NA|NA|"active"|"20030810"
9000312|"bimatoprost"|NA|NA|"active"|"20080915"
9000320|"bisoprolol"|NA|NA|"active"|"20061211"
9000333|"bromazepam"|NA|NA|"active"|"20060307"
9000342|"budesonide"|NA|NA|"active"|"20060307"
9000349|"buprenorphine and naloxone"|NA|NA|"active"|"20150925"
9000350|"bupropion"|NA|NA|"active"|"20081208"
9000357|"calcitriol"|NA|NA|"active"|"20091201"
9000386|"candesartan cilexetil"|NA|NA|"active"|"20100114"
9000387|"candesartan cilexetil and hydrochlorothiazide"|NA|NA|"active"|"20090929"
9000392|"carbamazepine"|NA|NA|"active"|"20020517"
9000396|"carbidopa and levodopa"|NA|NA|"active"|"20080509"
9000406|"carvedilol"|NA|NA|"active"|"20040507"
9000415|"cefprozil"|NA|NA|"active"|"20070717"
9000420|"celecoxib"|NA|NA|"active"|"20131219"
9000421|"cephalexin"|NA|NA|"active"|"19990412"
9000424|"cetirizine"|NA|NA|"active"|"20090601"
9000439|"chlorhexidine"|NA|NA|"active"|"20030810"
9000469|"cholecalciferol"|NA|NA|"active"|"20160819"
9000477|"ciclesonide"|NA|NA|"active"|"20160705"
9000478|"ciclopirox"|NA|NA|"active"|"20100416"
9000482|"ciprofloxacin"|NA|NA|"active"|"20040404"
9000483|"ciprofloxacin and dexamethasone"|NA|NA|"active"|"20061214"
9000486|"citalopram"|NA|NA|"active"|"20040503"
9000488|"clarithromycin"|NA|NA|"active"|"20070823"
9000489|"clindamycin"|NA|NA|"active"|"20060303"
9000493|"clobazam"|NA|NA|"active"|"20140929"
9000494|"clobetasol"|NA|NA|"active"|"20020119"
9000500|"clonazepam"|NA|NA|"active"|"20020223"
9000501|"clonidine"|NA|NA|"active"|"20030716"
9000502|"clopidogrel"|NA|NA|"active"|"20090409"
9000507|"clozapine"|NA|NA|"active"|"20091102"
9000518|"codeine"|NA|NA|"active"|"20011220"
9000523|"colchicine"|NA|NA|"active"|"20090709"
9000533|"cyclobenzaprine"|NA|NA|"active"|"20081017"
9000538|"cyproterone and ethinylestradiol"|NA|NA|"active"|"20100621"
9000540|"dabigatran etexilate"|NA|NA|"active"|"20130409"
9000573|"desogestrel and ethinylestradiol"|NA|NA|"active"|"20130206"
9000576|"desvenlafaxine"|NA|NA|"active"|"20161006"
