drug_code,active_ingredient_code,status,extract,ingredient,strength,strength_unit,drug_identification_number
"12492","309","Changed","inactive","IRON (IRON MALATE)","7.5","MG","00879851"
"104491","24068","ADDED","approved","OMAVELOXOLONE","50","MG","02556219"
"104442","707","ADDED","approved","TERBINAFINE HYDROCHLORIDE","16.6","MG","02555670"
"104476","22970","ADDED","approved","EMICIZUMAB","12","MG","02556049"
"104488","10147","ADDED","approved","METFORMIN HYDROCHLORIDE","500","MG","02556189"
"104477","22970","ADDED","approved","EMICIZUMAB","300","MG","02556057"
"104174","22527","ADDED","approved","VORTIOXETINE (VORTIOXETINE HYDROBROMIDE)","20","MG","02552779"
"104490","10147","ADDED","approved","METFORMIN HYDROCHLORIDE","1000","MG","02556200"
"104517","10224","ADDED","approved","DOXYLAMINE SUCCINATE","6.25","MG","02556480"
"104471","2011","ADDED","approved","MINOXIDIL","5","%","02555980"
"104486","8535","ADDED","approved","MILBEMYCIN OXIME","16","MG","02556162"
"104472","11847","ADDED","approved","CITALOPRAM (CITALOPRAM HYDROBROMIDE)","10","MG","02555999"
"104422","11262","ADDED","approved","GEMCITABINE (GEMCITABINE HYDROCHLORIDE)","38","MG","02555468"
"104468","24064","ADDED","approved","LAZERTINIB (LAZERTINIB MESYLATE)","80","MG","02555964"
"104485","2092","ADDED","approved","PRAZIQUANTEL","10","MG","02556154"
"104504","10021","ADDED","approved","CITRIC ACID","0.5","%","02556340"
"12298","309","Changed","inactive","IRON (IRON GLUTARATE)",".5","MG","01901117"
"104498","20435","ADDED","approved","ARIPIPRAZOLE","300","MG","02556286"
"104499","20435","ADDED","approved","ARIPIPRAZOLE","400","MG","02556294"
"104519","93","ADDED","approved","CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE)","750","MG","02556502"
"104463","6492","ADDED","approved","PSEUDOEPHEDRINE HYDROCHLORIDE","60","MG","02555905"
"104171","22527","ADDED","approved","VORTIOXETINE (VORTIOXETINE HYDROBROMIDE)","5","MG","02552744"
"104489","10147","ADDED","approved","METFORMIN HYDROCHLORIDE","850","MG","02556197"
"104469","24064","ADDED","approved","LAZERTINIB (LAZERTINIB MESYLATE)","240","MG","02555972"
"104473","11847","ADDED","approved","CITALOPRAM (CITALOPRAM HYDROBROMIDE)","20","MG","02556006"
"104485","8535","ADDED","approved","MILBEMYCIN OXIME","4","MG","02556154"
"104475","13247","ADDED","approved","ALMOTRIPTAN (ALMOTRIPTAN MALATE)","12.5","MG","02556030"
"104486","2092","ADDED","approved","PRAZIQUANTEL","40","MG","02556162"
"104462","1204","ADDED","approved","FLUCONAZOLE","150","MG","02555891"
"104474","11847","ADDED","approved","CITALOPRAM (CITALOPRAM HYDROBROMIDE)","40","MG","02556014"
"104502","11104","ADDED","approved","ONDANSETRON","8","MG","02556324"
"104493","21616","ADDED","approved","INCOBOTULINUMTOXINA","200","UNIT","02556227"
"104467","10247","ADDED","approved","DEXTROMETHORPHAN HYDROBROMIDE","20","MG","02555956"
"104501","11104","ADDED","approved","ONDANSETRON","4","MG","02556316"
"104490","20179","ADDED","approved","SITAGLIPTIN (SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE)","50","MG","02556200"
"104488","20179","ADDED","approved","SITAGLIPTIN (SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE)","50","MG","02556189"
"104470","13247","ADDED","approved","ALMOTRIPTAN (ALMOTRIPTAN MALATE)","6.25","MG","02556022"
"22943","4803","Changed","inactive","CALCIUM (CALCIUM CITRATE)","20","MG","01959840"
"104484","20639","ADDED","active","ROFLUMILAST","0.15","%","02556146"
"104173","22527","ADDED","approved","VORTIOXETINE (VORTIOXETINE HYDROBROMIDE)","15","MG","02552760"
"104172","22527","ADDED","approved","VORTIOXETINE (VORTIOXETINE HYDROBROMIDE)","10","MG","02552752"
"104518","93","ADDED","approved","CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE)","250","MG","02556499"
"12313","331","Changed","inactive","ZINC (ZINC SUCCINATE)",".5","MG","00849871"
"12305","331","Changed","inactive","ZINC (ZINC GLUTARATE)",".5","MG","01900625"
"104489","20179","ADDED","approved","SITAGLIPTIN (SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE)","50","MG","02556197"
"104483","24067","ADDED","approved","LONCASTUXIMAB TESIRINE","10","MG","02556138"
"104442","7504","ADDED","approved","MOMETASONE FUROATE","2.2","MG","02555670"
"104463","270","ADDED","approved","ACETAMINOPHEN","1000","MG","02555905"
"104505","10021","ADDED","approved","CITRIC ACID","0.5","%","02556359"
"104517","10247","ADDED","approved","DEXTROMETHORPHAN HYDROBROMIDE","10","MG","02556480"
"104442","63","ADDED","approved","FLORFENICOL","16.6","MG","02555670"
"104467","9615","ADDED","approved","GUAIFENESIN","400","MG","02555956"
"104463","10247","ADDED","approved","DEXTROMETHORPHAN HYDROBROMIDE","30","MG","02555905"
"104517","270","ADDED","approved","ACETAMINOPHEN","325","MG","02556480"
"104496","11168","ADDED","approved","SERTRALINE (SERTRALINE HYDROCHLORIDE)","100","MG","02556251"
"104495","11168","ADDED","approved","SERTRALINE (SERTRALINE HYDROCHLORIDE)","50","MG","02556243"
"104494","11168","ADDED","approved","SERTRALINE (SERTRALINE HYDROCHLORIDE)","25","MG","02556235"
