drug_code,active_ingredient_code,status,extract,ingredient,strength,strength_unit,drug_identification_number
"12492","309","Changed","inactive","IRON (IRON MALATE)","7.5","MG","00879851"
"83956","8881","Changed","active","ISOPROPYL ALCOHOL","21","%","02354373"
"101842","2011","ADDED","approved","MINOXIDIL","20","MG","02529238"
"101783","167","ADDED","approved","TACROLIMUS","3","MG","02528622"
"101776","22925","ADDED","approved","SEMAGLUTIDE","9.6","MG","02528541"
"101847","12335","ADDED","approved","INSULIN ASPART","100","UNIT","02529254"
"101787","8502","ADDED","approved","BACITRACIN","50000","UNIT","02528665"
"101869","232","ADDED","approved","PERINDOPRIL ERBUMINE","2","MG","02529491"
"101856","12313","ADDED","approved","PEGFILGRASTIM","6","MG","02529343"
"101809","1755","ADDED","approved","CARBOPLATIN","10","MG","02528916"
"101855","196","ADDED","approved","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","0.15","%","02529335"
"101785","2232","ADDED","approved","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","2.67","%","02528649"
"101791","11242","ADDED","approved","TAZOBACTAM (TAZOBACTAM SODIUM)","0.5","G","02528711"
"101785","2218","ADDED","approved","OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","6.67","%","02528649"
"101865","11130","ADDED","approved","FLUOXETINE (FLUOXETINE HYDROCHLORIDE)","20","MG","02529440"
"101794","13326","ADDED","approved","PEMETREXED (PEMETREXED DISODIUM)","500","MG","02528754"
"101789","11242","ADDED","approved","TAZOBACTAM (TAZOBACTAM SODIUM)","0.25","G","02528673"
"101793","13326","ADDED","approved","PEMETREXED (PEMETREXED DISODIUM)","100","MG","02528746"
"101808","23752","ADDED","approved","BELZUTIFAN","40","MG","02528908"
"101773","22925","ADDED","approved","SEMAGLUTIDE","2","MG","02528517"
"101849","6850","ADDED","approved","BENZOYL PEROXIDE","5","%","02529270"
"101844","7364","ADDED","approved","SOMATROPIN","10","MG","02529203"
"92215","2280","Changed","active","OCTOCRYLENE","8","%","02437775"
"88440","662","Changed","active","PYRITHIONE ZINC","1","%","02399520"
"92215","12048","Changed","active","OCTISALATE","5","%","02437775"
"12298","309","Changed","inactive","IRON (IRON GLUTARATE)",".5","MG","01901117"
"101861","13353","ADDED","approved","ALENDRONIC ACID (ALENDRONATE SODIUM)","10","MG","02529408"
"101788","7942","ADDED","approved","CETIRIZINE HYDROCHLORIDE","20","MG","02528681"
"101852","11188","ADDED","approved","MIDAZOLAM","1","MG","02529300"
"101800","41","ADDED","approved","MEROPENEM (MEROPENEM TRIHYDRATE)","500","MG","02528819"
"101863","732","ADDED","approved","PACLITAXEL","6","MG","02529424"
"101791","11241","ADDED","approved","PIPERACILLIN (PIPERACILLIN SODIUM)","4","G","02528711"
"101806","20565","ADDED","approved","DEXMEDETOMIDINE (DEXMEDETOMIDINE HYDROCHLORIDE)","100","MCG","02528886"
"101789","11241","ADDED","approved","PIPERACILLIN (PIPERACILLIN SODIUM)","2","G","02528673"
"101786","349","ADDED","approved","ROCURONIUM BROMIDE","10","MG","02528657"
"101784","167","ADDED","approved","TACROLIMUS","5","MG","02528630"
"101782","167","ADDED","approved","TACROLIMUS","2","MG","02528614"
"22943","4803","Changed","inactive","CALCIUM (CALCIUM CITRATE)","20","MG","01959840"
"101826","12034","ADDED","approved","MOXIFLOXACIN (MOXIFLOXACIN HYDROCHLORIDE)","0.5","%","02529076"
"101799","11461","ADDED","approved","IRINOTECAN HYDROCHLORIDE","100","MG","02528800"
"101797","11461","ADDED","approved","IRINOTECAN HYDROCHLORIDE","500","MG","02528789"
"101853","11188","ADDED","approved","MIDAZOLAM","5","MG","02529319"
"101785","2730","ADDED","approved","DIDECYL DIMETHYL AMMONIUM CHLORIDE","4","%","02528649"
"101846","6850","ADDED","approved","BENZOYL PEROXIDE","2.5","%","02529246"
"101790","11242","ADDED","approved","TAZOBACTAM (TAZOBACTAM SODIUM)","0.375","G","02528703"
"101864","11130","ADDED","approved","FLUOXETINE (FLUOXETINE HYDROCHLORIDE)","10","MG","02529432"
"101802","11086","ADDED","approved","PANTOPRAZOLE (PANTOPRAZOLE SODIUM SESQUIHYDRATE)","40","MG","02528835"
"101792","7942","ADDED","approved","CETIRIZINE HYDROCHLORIDE","10","MG","02528738"
"101843","7364","ADDED","approved","SOMATROPIN","5","MG","02529181"
"101775","22925","ADDED","approved","SEMAGLUTIDE","6.8","MG","02528533"
"101767","8376","ADDED","approved","CEPHALEXIN (CEPHALEXIN MONOHYDRATE)","250","MG","02528444"
"101765","22925","ADDED","approved","SEMAGLUTIDE","1","MG","02528509"
"101874","232","ADDED","approved","PERINDOPRIL ERBUMINE","4","MG","02529505"
"101866","11178","ADDED","approved","AMIKACIN (AMIKACIN SULFATE)","250","MG","02529459"
"101785","197","ADDED","approved","BENZALKONIUM CHLORIDE","8.9","%","02528649"
"101801","41","ADDED","approved","MEROPENEM (MEROPENEM TRIHYDRATE)","1","G","02528827"
"101780","167","ADDED","approved","TACROLIMUS","0.5","MG","02528592"
"101774","22925","ADDED","approved","SEMAGLUTIDE","4","MG","02528525"
"12305","331","Changed","inactive","ZINC (ZINC GLUTARATE)",".5","MG","01900625"
"12313","331","Changed","inactive","ZINC (ZINC SUCCINATE)",".5","MG","00849871"
"71447","197","Changed","approved","BENZALKONIUM CHLORIDE","1","%","02247205"
"101790","11241","ADDED","approved","PIPERACILLIN (PIPERACILLIN SODIUM)","3","G","02528703"
"101851","10021","ADDED","approved","CITRIC ACID","0.5","%","02529297"
"101848","6850","ADDED","approved","BENZOYL PEROXIDE","5","%","02529262"
"101814","8642","ADDED","approved","DOXYCYCLINE (DOXYCYCLINE HYCLATE)","100","MG","02528940"
"101777","8642","ADDED","approved","DOXYCYCLINE (DOXYCYCLINE HYCLATE)","20","MG","02528568"
"101860","13353","ADDED","approved","ALENDRONIC ACID (ALENDRONATE SODIUM)","70","MG","02529394"
"101766","8376","ADDED","approved","CEPHALEXIN (CEPHALEXIN MONOHYDRATE)","125","MG","02528436"
"101875","232","ADDED","approved","PERINDOPRIL ERBUMINE","8","MG","02529513"
"101862","13353","ADDED","approved","ALENDRONIC ACID (ALENDRONATE SODIUM)","5","MG","02529416"
"101855","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.15","%","02529335"
"101798","11461","ADDED","approved","IRINOTECAN HYDROCHLORIDE","300","MG","02528797"
"101845","7364","ADDED","approved","SOMATROPIN","15","MG","02529211"
"101796","11461","ADDED","approved","IRINOTECAN HYDROCHLORIDE","40","MG","02528770"
"101795","13326","ADDED","approved","PEMETREXED (PEMETREXED DISODIUM)","1000","MG","02528762"
"101781","167","ADDED","approved","TACROLIMUS","1","MG","02528606"
