tm_code,tm_formal_name,tm_fr_description,changes
8002154,potassium phosphate dibasic and potassium phosphate monobasic,phosphate de potassium dibasique et phosphate de potassium monobasique,ADDED
8002161,sodium bicarbonate,bicarbonate de sodium,ADDED
92e07e3960374db083e9158e369a9210,lidocaine and nifedipine,lidocaïne et nifédipine,ADDED
8002114,collagenase clostridium histolyticum,collagénase de clostridium histolyticum,"tm_status_effective_time: ""20240222"" -> ""20260128"""
8001844,magnesium chloride,chlorure de magnésium,ADDED
0c58a143adc6a83b0caeffdd5c604f09,delafloxacin,délafloxacine,ADDED
8002452,cytarabine and daunorubicin,cytarabine et daunorubicine,ADDED
ddf4e52adbec4be2145a9bd1ed51a6ab,nipocalimab,nipocalimab,ADDED
8002573,mirvetuximab soravtansine,mirvétuximab soravtansine,ADDED
941261ce1a526e6d427f5d02e6315206,toripalimab,toripalimab,ADDED
8001757,doxorubicin,doxorubicine,ADDED
8001004,benzoyl peroxide and salicylic acid,peroxyde de benzoyle et acide salicylique,ADDED
8000047,colchicine,colchicine,"tm_status_effective_time: ""19741231"" -> ""19821231"""
003b382ef61caa14117cb5de94fbd943,teprotumumab,téprotumumab,ADDED
8002160,sodium acetate,acétate de sodium,ADDED
8002571,dextromethorphan and pheniramine and phenylephrine,dextrométhorphane et phéniramine et phényléphrine,ADDED
8002215,amphotericin B,amphotéricine B,ADDED
212af2ba08aabb216655da1267ab2f31,bempedoic acid,acide bempédoïque,ADDED
8001476,follitropin beta,follitropine bêta,ADDED
8002221,carboxymethylcellulose and gelatin and pectin,carboxyméthylcellulose et gélatine et pectine,DELETED
8002282,fibrinogen human and thrombin human,fibrinogène humaine et thrombine humaine,ADDED
8001615,chloroxylenol,chloroxylénol,ADDED
8001293,nadroparin,nadroparine,"tm_status_effective_time: ""20240723"" -> ""20251008"""
8002278,coagulation factor ii (human) and coagulation factor IX human and coagulation factor vii (human) and coagulation factor x (human) and protein c and protein s,facteur II de coagulation humain et facteur IX de coagulation humain et facteur VII de coagulation humain et facteur X de coagulation humain et protéine c et protéine s,ADDED
8001579,benzethonium,benzéthonium,ADDED
8001976,triclosan,triclosan,ADDED
8002047,paclitaxel,paclitaxel,ADDED
8001870,potassium chloride,chlorure de potassium,ADDED
8000796,benzalkonium,benzalkonium,ADDED
8001878,sodium iodide,iodure de sodium,ADDED
8002572,garadacimab,garadacimab,ADDED
8000912,alcohol anhydrous and chlorhexidine,alcool anhydre et chlorhexidine,ADDED
