drug_code,drug_identification_number,current_brand_name,previous_brand_name
"11034","00895644","APO-DIPYRIDAMOLE","APO-DIPYRIDAMOLE-FC TAB 25MG"
"11035","00895652","APO-DIPYRIDAMOLE","APO-DIPYRIDAMOLE-FC TAB 50MG"
"13340","01976133","DOVONEX","DOVONEX ONT 50MCG/GM"
"16852","02125226","NIDAGEL","NIDAGEL VAGINAL GEL 0.75%"
"3453","00465283","HYDREA","HYDREA CAP 500MG"
"61432","02238048","APO-VALPROIC ACID","APO-VALPROIC"
"61782","02238370","APO-VALPROIC ACID ORAL SOLUTION","APO-VALPROIC"
"6512","00648019","METOPROLOL-L","METOPROLOL-50"
"6513","00648027","METOPROLOL-L","METOPROLOL-100"
"68372","02244403","TARO-CARBAMAZEPINE CHEWABLE TABLETS","TARO-CARBAMAZEPINE CHEWABLE TABLETS 100MG"
"68373","02244404","TARO-CARBAMAZEPINE CHEWABLE TABLETS","TARO-CARBAMAZEPINE CHEWABLE TABLETS 200MG"
"75254","02267144","HYGENIPAK 2% CHG FOAMING SKIN CLEANSER","HYGIENIPAK 2% CHG FOAMING SKIN CLEANSER"
"76086","02275201","MIDOL COMPLETE","MENSTRUAL MIDOL COMPLETE"
"78208","02296713","METOPROLOL","METOPROLOL - 25"
"85684","02371707","MAR-AMLODIPINE","MAR-AMLODIPINE TABLETS"
"85685","02371715","MAR-AMLODIPINE","MAR-AMLODIPINE TABLETS"
"85686","02371723","MAR-AMLODIPINE","MAR-AMLODIPINE TABLETS"
"91002","02425378","PANTOPRAZOLE TABLETS","PRIVA-PANTOPRAZOLE"
"91052","02425874","ZOPICLONE TABLETS","PRIVA-ZOPICLONE"
"91053","02425882","ZOPICLONE TABLETS","PRIVA-ZOPICLONE"
"98242","02492407","ZOPICLONE TABLETS","PRIVA-ZOPICLONE"
"60871","02237534","LOXAPINE","NU-LOXAPINE"
"60872","02237535","LOXAPINE","NU-LOXAPINE"
"60873","02237536","LOXAPINE","NU-LOXAPINE"
"60874","02237537","LOXAPINE","NU-LOXAPINE"
"11036","00895660","APO-DIPYRIDAMOLE","APO-DIPYRIDAMOLE-FC TAB 75MG"
"19231","02167786","APO-METFORMIN","APO-METFORMIN - TAB 500MG"
"48078","02229785","APO-METFORMIN","APO-METFORMIN 850 MG TABLETS"
"61270","02237907","TARO-CARBAMAZEPINE CR","TARO-CARBAMAZEPINE CR 200 MG"
"61271","02237908","TARO-CARBAMAZEPINE CR","TARO-CARBAMAZEPINE CR 400 MG"
"88127","02396238","TARO-TELMISARTAN HCTZ","RAN-TELMISARTAN HCTZ"
"88128","02396246","TARO-TELMISARTAN HCTZ","RAN-TELMISARTAN HCTZ"
"89123","02406535","VANCOMYCIN HYDROCHLORIDE FOR INJECTION, USP","MYLAN-VANCOMYCIN HYDROCHLORIDE FOR INJECTION, USP"
"89125","02406551","VANCOMYCIN HYDROCHLORIDE FOR INJECTION, USP","MYLAN-VANCOMYCIN HYDROCHLORIDE FOR INJECTION, USP"
"89126","02406578","VANCOMYCIN HYDROCHLORIDE FOR INJECTION, USP","MYLAN-VANCOMYCIN HYDROCHLORIDE FOR INJECTION, USP"
"91779","02433419","MUCINEX MULTI-ACTION CONGESTION, COLD & COUGH SOLUTION","MUCINEX MULTI-ACTION COLD, FLU & SORE THROAT LIQUID"
"90779","02423065","IPG-BOSENTAN","JAMP BOSENTAN"
"89124","02406543","VANCOMYCIN HYDROCHLORIDE FOR INJECTION, USP","MYLAN-VANCOMYCIN HYDROCHLORIDE FOR INJECTION, USP"
"94448","02457423","OXALIPLATIN INJECTION, USP","OXALIPLATIN INJECTION"
"99697","02507609","CAVIWIPES 2.0","CAVIWIPES U"
"90778","02423057","IPG-BOSENTAN","JAMP BOSENTAN"
"99435","02504987","RIVAROXABAN","RIVAROXABAN TABLETS"
"99436","02504995","RIVAROXABAN","RIVAROXABAN TABLETS"
"99437","02505002","RIVAROXABAN","RIVAROXABAN TABLETS"
"99438","02505010","RIVAROXABAN","RIVAROXABAN TABLETS"
