tm_code,tm_formal_name,tm_fr_description,changes
8002154,potassium phosphate dibasic and potassium phosphate monobasic,phosphate de potassium dibasique et phosphate de potassium monobasique,ADDED
8002282,fibrinogen human and thrombin human,fibrinogène humaine et thrombine humaine,ADDED
8002161,sodium bicarbonate,bicarbonate de sodium,ADDED
8001844,magnesium chloride,chlorure de magnésium,ADDED
8001615,chloroxylenol,chloroxylénol,ADDED
812ea9c075b31278f77aa2f2c1d12664,talazoparib,talazoparib,ADDED
8002278,coagulation factor ii (human) and coagulation factor IX human and coagulation factor vii (human) and coagulation factor x (human) and protein c and protein s,facteur II de coagulation humain et facteur IX de coagulation humain et facteur VII de coagulation humain et facteur X de coagulation humain et protéine c et protéine s,ADDED
8001579,benzethonium,benzéthonium,ADDED
8002452,cytarabine and daunorubicin,cytarabine et daunorubicine,ADDED
8001757,doxorubicin,doxorubicine,ADDED
8001004,benzoyl peroxide and salicylic acid,peroxyde de benzoyle et acide salicylique,ADDED
90c8319f9fbddf0a0978039f8e342268,lazertinib,lazertinib,ADDED
8002088,acetic acid and sodium acetate,acide acétique et acétate de sodium,ADDED
8001976,triclosan,triclosan,ADDED
8002047,paclitaxel,paclitaxel,ADDED
8001870,potassium chloride,chlorure de potassium,ADDED
708b8ca18d0bf686895379780cc5aec6,tofersen,tofersen,ADDED
8000796,benzalkonium,benzalkonium,ADDED
8002160,sodium acetate,acétate de sodium,ADDED
8001878,sodium iodide,iodure de sodium,ADDED
8002215,amphotericin B,amphotéricine B,ADDED
8000259,irbesartan,irbésartan,"tm_status_effective_time: ""19980622"" -> ""19980722"""
8001476,follitropin beta,follitropine bêta,ADDED
488f5d69fe8d2c9eaeed7b1c1ac0fcdb,elafibranor,élafibranor,ADDED
8000912,alcohol anhydrous and chlorhexidine,alcool anhydre et chlorhexidine,ADDED
