"route_of_administration_code","pharm_form_code","route_of_administration","pharmaceutical_form","n_human_din","n_any_ccdd","n_all_ccdd","n_tm","ntp_dosage_form_code","ntp_dosage_form","route_of_administration_f","pharmaceutical_form_f"
"22","32|118","INTRAMUSCULAR","KIT, POWDER FOR SUSPENSION, SUSTAINED-RELEASE",6,6,6,2,NA,NA,NA,NA
"3|56","42","BUCCAL, ORAL","MOUTHWASH/GARGLE",2,2,2,1,NA,NA,NA,NA
"5","32|134","DENTAL","KIT, SOLUTION",1,1,1,1,NA,NA,NA,NA
"53","134|98","NASAL","SOLUTION, SPRAY",1,1,1,1,NA,NA,NA,NA
"56","12|34","ORAL","DROPS, LIQUID",1,1,1,1,NA,NA,NA,NA
"56","12|79","ORAL","DROPS, SUSPENSION",1,1,1,1,NA,NA,NA,NA
"56","32|85","ORAL","KIT, TABLET",19,15,3,12,NA,NA,NA,NA
"56","5|137|32|85","ORAL","CAPSULE, CAPSULE (DELAYED RELEASE), KIT, TABLET",1,1,1,1,NA,NA,NA,NA
"56|70","5|9|32","ORAL, TOPICAL","CAPSULE, CREAM, KIT",3,3,2,2,NA,NA,NA,NA
"56|70|74","5|9","ORAL, TOPICAL, VAGINAL","CAPSULE, CREAM",1,1,1,1,NA,NA,NA,NA
"65","32|134","SUBCUTANEOUS","KIT, SOLUTION",1,1,1,1,NA,NA,NA,NA
"70","114|32","TOPICAL","GEL, KIT",2,2,2,1,NA,NA,NA,NA
"70","114|32|36","TOPICAL","GEL, KIT, LOTION",1,1,1,1,NA,NA,NA,NA
"70","114|32|52","TOPICAL","GEL, KIT, PASTE",1,1,1,1,NA,NA,NA,NA
"70","114|36","TOPICAL","GEL, LOTION",1,1,1,1,NA,NA,NA,NA
"70","32|36","TOPICAL","KIT, LOTION",7,2,2,2,NA,NA,NA,NA
"70","9|114|32|36","TOPICAL","CREAM, GEL, KIT, LOTION",1,1,1,1,NA,NA,NA,NA
"70|74","9|154","TOPICAL, VAGINAL","CREAM, VAGINAL TABLET",2,2,2,1,NA,NA,NA,NA
"92","134","0-UNASSIGNED","SOLUTION",8,3,2,7,NA,NA,NA,NA
