tm_code,tm_formal_name,tm_fr_description,changes
8002154,potassium phosphate dibasic and potassium phosphate monobasic,phosphate de potassium dibasique et phosphate de potassium monobasique,ADDED
8002282,fibrinogen human and thrombin human,fibrinogène humaine et thrombine humaine,ADDED
8002161,sodium bicarbonate,bicarbonate de sodium,ADDED
8002456,tecovirimat,técovirimat,DELETED
8002436,obiltoxaximab,obiltoxaximab,DELETED
2dccb88911e5b853480fb4c2b3c1e4d9,tarlatamab,tarlatamab,ADDED
8001844,magnesium chloride,chlorure de magnésium,ADDED
8001615,chloroxylenol,chloroxylénol,ADDED
46db419c410428653223f3b044f44cd1,danicopan,danicopan,ADDED
8002278,coagulation factor ii (human) and coagulation factor IX human and coagulation factor vii (human) and coagulation factor x (human) and protein c and protein s,facteur II de coagulation humain et facteur IX de coagulation humain et facteur VII de coagulation humain et facteur X de coagulation humain et protéine c et protéine s,ADDED
8001579,benzethonium,benzéthonium,ADDED
8002452,cytarabine and daunorubicin,cytarabine et daunorubicine,ADDED
8001757,doxorubicin,doxorubicine,ADDED
8001004,benzoyl peroxide and salicylic acid,peroxyde de benzoyle et acide salicylique,ADDED
8002088,acetic acid and sodium acetate,acide acétique et acétate de sodium,ADDED
8001976,triclosan,triclosan,ADDED
8002047,paclitaxel,paclitaxel,ADDED
8001870,potassium chloride,chlorure de potassium,ADDED
8000796,benzalkonium,benzalkonium,ADDED
8002160,sodium acetate,acétate de sodium,ADDED
4aa0408ded97bfd481fe68be54474ddb,fruquintinib,fruquintinib,ADDED
8001878,sodium iodide,iodure de sodium,ADDED
8002384,sodium nitrite,nitrate de sodium,DELETED
860298547ee9dccbccd8d0547b8b3009,avapritinib,avapritinib,ADDED
8002215,amphotericin B,amphotéricine B,ADDED
8001476,follitropin beta,follitropine bêta,ADDED
8000912,alcohol anhydrous and chlorhexidine,alcool anhydre et chlorhexidine,ADDED
