ntp_code,ntp_formal_name,ntp_fr_description,changes
9004056,sodium bicarbonate 80.7 g per l solution for haemodialysis,"bicarbonate de sodium 80,7 g par l solution pour hémodialyse",ADDED
9013760,amphotericin B 50 mg per vial powder for solution for injection,amphotéricine B 50 mg par fiole poudre pour solution injectable,ADDED
9000107,codeine phosphate 30 mg per 1 mL solution for injection ampoule,phosphate de codéine 30 mg par 1 mL solution injectable ampoule,"ntp_status_effective_time: ""20231129"" -> ""20240731"""
9001819,potassium chloride 20 meq per 10 mL solution for injection,chlorure de potassium 20 meq par 10 mL solution injectable,ADDED
9002087,sodium bicarbonate 81.3 g per l solution for haemodialysis,"bicarbonate de sodium 81,3 g par l solution pour hémodialyse",ADDED
9003378,benzalkonium chloride 0.13 % cutaneous liquid,"chlorure de benzalkonium 0,13 % liquide cutané",ADDED
9000975,prednisolone (prednisolone sodium phosphate) 5 mg per 5 mL oral solution,prednisolone (phosphate sodique de prednisolone) 5 mg par 5 mL solution orale,"ntp_status_effective_time: ""19980923"" -> ""20020319"""
9003126,doxorubicin hydrochloride 50 mg per vial powder for solution for injection,chlorhydrate de doxorubicine 50 mg par fiole poudre pour solution injectable,ADDED
9006257,acyclovir (acyclovir sodium) 500 mg per 20 mL solution for injection vial,acyclovir (acyclovir sodique) 500 mg par 20 mL solution injectable fiole,DELETED
9009359,estradiol 25 mcg per 24 hour transdermal patch,estradiol 25 mcg par 24 heure timbre transdermique,"ntp_status_effective_time: ""20020322"" -> ""20021003"""
40af3b453fe3ed2d71770b8a58e9b8a5,ivacaftor 13.4 mg per sachet oral granules,"ivacaftor 13,4 mg par sachet granulés orale",ADDED
81a272275e9521cb7e2a89fd72810703,methylphenidate hydrochloride 30 mg NA,chlorhydrate de méthylphénidate 30 mg NA,ADDED
9013678,dextromethorphan hydrobromide 30 mg per 10 mL syrup,bromhydrate de dextrométhorphane 30 mg par 10 mL sirop,ADDED
9003657,follitropin beta 833 unit per mL solution for injection,follitropine bêta 833 unité par mL solution injectable,ADDED
9000966,hydromorphone hydrochloride 1000 mg per 10 mL solution for injection vial,chlorhydrate d'hydromorphone 1000 mg par 10 mL solution injectable fiole,"ntp_status_effective_time: ""20011210"" -> ""20180620"""
9014375,benzalkonium chloride 0.125 % cutaneous spray,"chlorure de benzalkonium 0,125 % vaporisation cutanée",ADDED
9014674,cenegermin 0.002 % ophthalmic drops,"cénégermine 0,002 % gouttes ophtalmiques","ntp_status_effective_time: ""20230907"" -> ""20240717"""
9004163,benzalkonium chloride 0.12 % wipe,"chlorure de benzalkonium 0,12 % lingette",ADDED
9013614,sodium bicarbonate 6 kg per container powder for concentrate for solution for haemodialysis,bicarbonate de sodium 6 kg par récipient poudre pour solution à diluer pour solution pour hémodialyse,ADDED
9003097,doxorubicin hydrochloride 150 mg per vial powder for solution for injection,chlorhydrate de doxorubicine 150 mg par fiole poudre pour solution injectable,ADDED
9014640,fibrinogen human 160 mg per 2 mL and thrombin human 1000 unit per 2 mL cutaneous solution,fibrinogène humaine 160 mg par 2 mL et thrombine humaine 1000 unité par 2 mL solution pour application cutanée,ADDED
9013272,calcium chloride 7.45 g per bottle powder for concentrate for solution for haemodialysis,"chlorure de calcium 7,45 g par bouteille poudre pour solution à diluer pour solution pour hémodialyse",ADDED
9003311,alprostadil 250 mcg urethral stick,alprostadil 250 mcg bâton pour usage urétral,DELETED
9004767,cilastatin (cilastatin sodium) 250 mg per vial and imipenem 250 mg per vial powder for solution for injection,cilastatine (cilastatine sodique) 250 mg par fiole et imipénem 250 mg par fiole poudre pour solution injectable,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20100825"" -> ""20220728"""
9013933,potassium (potassium chloride) 10 mmol per 100 mL solution for injection bag,potassium (chlorure de potassium) 10 mmol par 100 mL solution injectable sac,ADDED
9004671,benzalkonium chloride 0.13 % wipe,"chlorure de benzalkonium 0,13 % lingette",ADDED
9013171,iodide (sodium iodide) 1000 mcg per 10 mL solution for injection vial,iodure (iodure de sodium) 1000 mcg par 10 mL solution injectable fiole,ADDED
9013235,milrinone (milrinone lactate) 20 mg per 20 mL solution for injection vial,milrinone (lactate de milrinone) 20 mg par 20 mL solution injectable fiole,"ntp_status_effective_time: ""20030625"" -> ""20030703"""
9014971,coagulation factor ii (human) 800 unit and coagulation factor IX human 620 unit and coagulation factor vii (human) 500 unit and coagulation factor x (human) 1020 unit and protein c 820 unit and protein s 680 unit powder for solution for injection,facteur II de coagulation humain 800 unité et facteur IX de coagulation humain 620 unité et facteur VII de coagulation humain 500 unité et facteur X de coagulation humain 1020 unité et protéine c 820 unité et protéine s 680 unité poudre pour solution injectable,ADDED
9001709,triclosan 0.5 % cutaneous liquid,"triclosan 0,5 % liquide cutané",ADDED
9013087,doxorubicin hydrochloride 20 mg per 10 mL suspension for injection vial,chlorhydrate de doxorubicine 20 mg par 10 mL suspension injectable fiole,ADDED
9005757,chloroxylenol 3 % cutaneous liquid,chloroxylénol 3 % liquide cutané,ADDED
9014556,risperidone 120 mg per syringe powder for prolonged-release suspension for injection with diluent solution syringe,rispéridone 120 mg par seringue poudre pour suspension injectable à libération prolongée avec solution diluante seringue,"ntp_status_effective_time: ""20220616"" -> ""20240726"""
9004599,chloroxylenol 0.6 % cutaneous solution,"chloroxylénol 0,6 % solution pour application cutanée",ADDED
9003875,benzethonium chloride 0.2 % cutaneous liquid,"chlorure de benzéthonium 0,2 % liquide cutané",ADDED
9004156,acetaminophen 325 mg and phenylephrine hydrochloride 5 mg oral tablet,acétaminophène 325 mg et chlorhydrate de phényléphrine 5 mg comprimé oral,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20060417"" -> ""20180516"""
