"forms","n"
"POWDER FOR SOLUTION, KIT",35
"KIT, POWDER FOR SOLUTION",26
"KIT, TABLET",11
"TABLET, KIT",9
"POWDER FOR SOLUTION, LIQUID",6
"KIT, POWDER FOR SUSPENSION, SUSTAINED-RELEASE",4
"LOTION, KIT",4
"KIT, SOLUTION",3
"MOUTHWASH/GARGLE, LIQUID",3
"CAPSULE, KIT",3
"POWDER FOR SUSPENSION, SUSTAINED-RELEASE, KIT",3
"KIT, CAPSULE",3
"KIT, LOTION",3
"KIT, CAPSULE, CREAM",3
"LIQUID, POWDER FOR SOLUTION",3
"SUPPOSITORY, CREAM",2
"TABLET, SOLUTION",2
"CAPSULE, POWDER FOR SOLUTION",2
"ENEMA, LIQUID",2
"CREAM, KIT",2
"POWDER FOR SOLUTION, CAPSULE",2
"KIT, CREAM",2
"METERED-DOSE AEROSOL, POWDER",2
"KIT, POWDER FOR SUSPENSION",2
"METERED-DOSE AEROSOL, SUSPENSION",1
"SOLUTION, SPRAY",1
"SPRAY, SUSPENSION",1
"TABLET, ENEMA, KIT",1
"POWDER FOR SOLUTION, PACKAGE",1
"TABLET (DELAYED-RELEASE), POWDER FOR SOLUTION, KIT",1
"LIQUID, KIT, POWDER FOR SOLUTION",1
"GEL, KIT",1
"VAGINAL TABLET, CREAM",1
"DROPS, LIQUID",1
"CREAM, VAGINAL TABLET",1
"PASTE, GEL, KIT",1
"SOLUTION, KIT",1
"SOLUTION, SUSPENSION",1
"LIQUID, POWDER FOR SOLUTION, KIT",1
"POWDER, METERED-DOSE AEROSOL",1
"KIT, LOTION, GEL",1
"SOLUTION, MOUTHWASH/GARGLE",1
"LIQUID, ENEMA",1
"AEROSOL, POWDER",1
"POWDER FOR SOLUTION, SOLUTION",1
"DROPS, SUSPENSION",1
"OVULE, CREAM",1
"KIT, LIQUID",1
"POWDER FOR SOLUTION, KIT, LIQUID",1
"KIT, LIQUID, LOTION",1
"TABLET, KIT, CAPSULE, CAPSULE (SUSTAINED-RELEASE)",1
"SPONGE, SOLUTION",1
"PAD, OINTMENT",1
"GEL, KIT, LOTION, CREAM",1
"CREAM, CAPSULE",1
"PACKAGE, POWDER FOR SOLUTION",1
"KIT, GEL",1
"KIT, STICK",1
"MOUTHWASH/GARGLE, SOLUTION",1
"CAPSULE (IMMEDIATE RELEASE), CAPSULE (EXTENDED RELEASE)",1
"POWDER FOR SUSPENSION, KIT",1
"POWDER FOR SOLUTION, KIT, SOLUTION",1
"KIT, SOLUTION, POWDER FOR SOLUTION",1
"AEROSOL, POWDER FOR SOLUTION",1
"SPRAY, METERED-DOSE AEROSOL",1
"SPRAY, LIQUID",1
"LOTION, GEL",1
