"formal_description_ntp","ccdd","n_mp","greater_than_5_AIs","ntp_status_effective_time","ntp_code","en_display","fr_display"
"levothyroxine sodium 50 mcg oral tablet",TRUE,2,FALSE,1951-12-30,9000001,NA,NA
"benzalkonium chloride 13 % cutaneous liquid",TRUE,1,FALSE,1951-12-31,9000002,NA,NA
"epinephrine (epinephrine hydrochloride) 1 mg per 1 mL solution for injection ampoule",TRUE,1,FALSE,1951-12-31,9000003,NA,NA
"epinephrine (epinephrine hydrochloride) 1 mg per mL nasal spray",TRUE,1,FALSE,1951-12-31,9000004,NA,NA
"epinephrine (epinephrine hydrochloride) 30 mg per 30 mL solution for injection ampoule",TRUE,1,FALSE,1951-12-31,9000005,NA,NA
"phenytoin sodium 100 mg oral capsule",TRUE,2,FALSE,1951-12-31,9000006,NA,NA
"phenytoin sodium 30 mg oral capsule",TRUE,1,FALSE,1951-12-31,9000007,NA,NA
"phenytoin 50 mg oral tablet",TRUE,1,FALSE,1952-12-31,9000008,NA,NA
"phenytoin 125 mg per 5 mL oral suspension",TRUE,2,FALSE,1953-12-31,9000009,NA,NA
"testosterone cypionate 1000 mg per 10 mL solution for injection vial",TRUE,1,FALSE,1953-12-31,9000010,NA,NA
"epinephrine 0.01 mg per mL and lidocaine hydrochloride 10 mg per mL solution for injection",TRUE,1,FALSE,1954-12-31,9000011,NA,NA
"epinephrine 5 mcg per mL and lidocaine hydrochloride 10 mg per mL solution for injection",TRUE,1,FALSE,1954-12-31,9000012,NA,NA
"hydrocortisone 10 mg oral tablet",TRUE,1,FALSE,1954-12-31,9000013,NA,NA
"hydrocortisone 20 mg oral tablet",TRUE,1,FALSE,1954-12-31,9000014,NA,NA
"testosterone enanthate 1000 mg per 5 mL solution for injection ampoule",TRUE,1,FALSE,1955-12-31,9000015,NA,NA
"hydroxyzine hydrochloride 10 mg per 5 mL syrup",TRUE,2,FALSE,1956-12-31,9000016,NA,NA
"methylphenidate hydrochloride 10 mg oral tablet",TRUE,6,FALSE,1956-12-31,9000017,NA,NA
"clioquinol 3 % and hydrocortisone 1 % cutaneous cream",TRUE,1,FALSE,1957-12-31,9000018,NA,NA
"hydroxychloroquine sulfate 200 mg oral tablet",TRUE,5,FALSE,1957-12-31,9000019,NA,NA
"warfarin sodium 10 mg oral tablet",TRUE,3,FALSE,1957-12-31,9000020,NA,NA
"warfarin sodium 1 mg oral tablet",TRUE,3,FALSE,1957-12-31,9000021,NA,NA
"warfarin sodium 5 mg oral tablet",TRUE,3,FALSE,1957-12-31,9000022,NA,NA
"hydrocortisone (hydrocortisone sodium succinate) 100 mg per vial powder for solution for injection",TRUE,2,FALSE,1958-12-31,9000023,NA,NA
"methylphenidate hydrochloride 20 mg oral tablet",TRUE,6,FALSE,1958-12-31,9000024,NA,NA
"prednisone 5 mg oral tablet",TRUE,4,FALSE,1959-12-31,9000025,NA,NA
"spironolactone 25 mg oral tablet",TRUE,2,FALSE,1959-12-31,9000026,NA,NA
"codeine phosphate 10 mg per 5 mL and pseudoephedrine hydrochloride 30 mg per 5 mL and triprolidine hydrochloride 2 mg per 5 mL syrup",TRUE,3,FALSE,1960-12-31,9000027,NA,NA
"hydrochlorothiazide 25 mg and spironolactone 25 mg oral tablet",TRUE,2,FALSE,1960-12-31,9000028,NA,NA
"medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial",TRUE,1,FALSE,1960-12-31,9000029,NA,NA
"acetaminophen 325 mg oral tablet",TRUE,23,FALSE,1961-12-31,9000030,NA,NA
"medroxyprogesterone acetate 5 mg oral tablet",TRUE,4,FALSE,1961-12-31,9000031,NA,NA
"norethindrone acetate 5 mg oral tablet",TRUE,1,FALSE,1961-12-31,9000032,NA,NA
"hydrocortisone (hydrocortisone sodium succinate) 250 mg per vial powder for solution for injection",TRUE,2,FALSE,1962-12-31,9000033,NA,NA
"conjugated estrogens 0.625 mg oral tablet",TRUE,4,FALSE,1963-12-31,9000034,NA,NA
"dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg and polymyxin b sulfate 6000 unit per mL ophthalmic drops",TRUE,1,FALSE,1963-12-31,9000035,NA,NA
"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 15 mg oral tablet",TRUE,2,FALSE,1964-12-31,9000036,NA,NA
"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 30 mg oral tablet",TRUE,2,FALSE,1964-12-31,9000037,NA,NA
"epinephrine (epinephrine bitartrate) 0.01 mg per mL and lidocaine hydrochloride 20 mg per mL solution for injection",TRUE,2,FALSE,1964-12-31,9000038,NA,NA
"epinephrine (epinephrine bitartrate) 0.02 mg per mL and lidocaine hydrochloride 20 mg per mL solution for injection",TRUE,2,FALSE,1964-12-31,9000039,NA,NA
"amitriptyline hydrochloride 10 mg oral tablet",TRUE,11,FALSE,1965-12-31,9000040,NA,NA
"betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL suspension for injection",TRUE,1,FALSE,1965-12-31,9000041,NA,NA
"epinephrine 5 mcg per mL and lidocaine hydrochloride 20 mg per mL solution for injection",TRUE,1,FALSE,1965-12-31,9000042,NA,NA
"nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule",TRUE,4,FALSE,1965-12-31,9000043,NA,NA
"nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule",TRUE,4,FALSE,1965-12-31,9000044,NA,NA
"azathioprine 50 mg oral tablet",TRUE,6,FALSE,1966-12-31,9000045,NA,NA
"dexamethasone 0.1 % ophthalmic ointment",TRUE,1,FALSE,1966-12-31,9000046,NA,NA
"hydrocortisone (hydrocortisone sodium succinate) 500 mg per vial powder for solution for injection",TRUE,2,FALSE,1966-12-31,9000047,NA,NA
"quinine sulfate 200 mg oral capsule",TRUE,5,FALSE,1966-12-31,9000048,NA,NA
"quinine sulfate 300 mg oral capsule",TRUE,5,FALSE,1966-12-31,9000049,NA,NA
"triamcinolone acetonide 50 mg per 5 mL suspension for injection vial",TRUE,1,FALSE,1966-12-31,9000050,NA,NA
"hydrocortisone (hydrocortisone sodium succinate) 1 g per vial powder for solution for injection",TRUE,2,FALSE,1967-12-31,9000051,NA,NA
"hydrochlorothiazide 25 mg oral tablet",TRUE,8,FALSE,1968-12-31,9000052,NA,NA
"hydrochlorothiazide 50 mg oral tablet",TRUE,7,FALSE,1968-12-31,9000053,NA,NA
"phenytoin 30 mg per 5 mL oral suspension",TRUE,1,FALSE,1968-12-31,9000054,NA,NA
"amitriptyline hydrochloride 50 mg oral tablet",TRUE,11,FALSE,1969-12-31,9000055,NA,NA
"carbamazepine 200 mg oral tablet",TRUE,6,FALSE,1969-12-31,9000056,NA,NA
"acetylsalicylic acid 330 mg and butalbital 50 mg and caffeine 40 mg and codeine phosphate 15 mg oral capsule",TRUE,3,FALSE,1970-12-31,9000057,NA,NA
"acetylsalicylic acid 330 mg and butalbital 50 mg and caffeine 40 mg and codeine phosphate 30 mg oral capsule",TRUE,3,FALSE,1970-12-31,9000058,NA,NA
"acetylsalicylic acid 375 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",TRUE,4,FALSE,1970-12-31,9000059,NA,NA
"betamethasone (betamethasone valerate) 0.1 % and gentamicin (gentamicin sulfate) 0.1 % cutaneous cream",TRUE,1,FALSE,1970-12-31,9000060,NA,NA
"clindamycin (clindamycin hydrochloride) 150 mg oral capsule",TRUE,6,FALSE,1970-12-31,9000061,NA,NA
"dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg and polymyxin b sulfate 6000 unit per g ophthalmic ointment",TRUE,1,FALSE,1970-12-31,9000062,NA,NA
"erythromycin (erythromycin estolate) 125 mg per 5 mL oral suspension",TRUE,1,FALSE,1970-12-31,9000063,NA,NA
"metronidazole 10 % vaginal cream",TRUE,1,FALSE,1970-12-31,9000064,NA,NA
"acetylsalicylic acid 330 mg and butalbital 50 mg and caffeine 40 mg oral capsule",TRUE,3,FALSE,1971-12-31,9000065,NA,NA
"cephalexin 125 mg per 5 mL powder for oral suspension",TRUE,2,FALSE,1971-12-31,9000066,NA,NA
"cephalexin 250 mg per 5 mL powder for oral suspension",TRUE,2,FALSE,1971-12-31,9000067,NA,NA
"lithium carbonate 300 mg oral capsule",TRUE,4,FALSE,1971-12-31,9000068,NA,NA
"metronidazole 250 mg oral tablet",TRUE,3,FALSE,1971-12-31,9000069,NA,NA
"amitriptyline hydrochloride 25 mg oral tablet",TRUE,11,FALSE,1972-12-31,9000070,NA,NA
"betamethasone (betamethasone valerate) 1 mg per g and gentamicin (gentamicin sulfate) 1 mg per g cutaneous ointment",TRUE,1,FALSE,1972-12-31,9000071,NA,NA
"cephalexin 500 mg oral tablet",TRUE,6,FALSE,1972-12-31,9000072,NA,NA
"chlorhexidine gluconate 4 % cutaneous solution",TRUE,2,FALSE,1972-12-31,9000073,NA,NA
"clindamycin (clindamycin 2-palmitate hydrochloride) 75 mg per 5 mL powder for oral solution",TRUE,1,FALSE,1972-12-31,9000074,NA,NA
"ibuprofen 200 mg oral tablet",TRUE,16,FALSE,1972-12-31,9000075,NA,NA
"nitroglycerin 0.3 mg sublingual tablet",TRUE,1,FALSE,1972-12-31,9000076,NA,NA
"nitroglycerin 0.6 mg sublingual tablet",TRUE,1,FALSE,1972-12-31,9000077,NA,NA
"norethindrone 0.35 mg oral tablet",TRUE,3,FALSE,1972-12-31,9000078,NA,NA
"prednisone 50 mg oral tablet",TRUE,3,FALSE,1972-12-31,9000079,NA,NA
"clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial",TRUE,3,FALSE,1973-12-31,9000080,NA,NA
"clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial",TRUE,3,FALSE,1973-12-31,9000081,NA,NA
"clindamycin (clindamycin phosphate) 9000 mg per 60 mL solution for injection vial",TRUE,2,FALSE,1973-12-31,9000082,NA,NA
"clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial",TRUE,3,FALSE,1973-12-31,9000083,NA,NA
"erythromycin (erythromycin estolate) 250 mg per 5 mL oral suspension",TRUE,1,FALSE,1973-12-31,9000084,NA,NA
"oxycodone hydrochloride 10 mg suppository",TRUE,1,FALSE,1973-12-31,9000085,NA,NA
"oxycodone hydrochloride 20 mg suppository",TRUE,1,FALSE,1973-12-31,9000086,NA,NA
"triamcinolone acetonide 200 mg per 5 mL suspension for injection vial",TRUE,1,FALSE,1973-12-31,9000087,NA,NA
"triamcinolone acetonide 40 mg per 1 mL suspension for injection vial",TRUE,2,FALSE,1973-12-31,9000088,NA,NA
"allopurinol 300 mg oral tablet",TRUE,6,FALSE,1974-12-31,9000089,NA,NA
"colchicine 0.6 mg oral tablet",TRUE,4,FALSE,1974-12-31,9000090,NA,NA
"diazepam 5 mg oral tablet",TRUE,5,FALSE,1974-12-31,9000091,NA,NA
"ethinyl estradiol 0.035 mg and norethindrone 0.5 mg oral tablet",TRUE,4,FALSE,1974-12-31,9000092,NA,NA
"ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet",TRUE,2,FALSE,1974-12-31,9000093,NA,NA
"levothyroxine sodium 150 mcg oral tablet",TRUE,2,FALSE,1974-12-31,9000094,NA,NA
