drug_code,drug_identification_number,current_brand_name,previous_brand_name
"13163","01927698","NOZINAN","NOZINAN INJ 25MG/ML"
"37372","02224720","LASIX ORAL SOLUTION","LASIX ORAL SOLUTION 10MG/ML"
"49288","02230418","IMITREX","IMITREX NASAL SPRAY"
"49290","02230420","IMITREX","IMITREX NASAL SPRAY"
"65111","02241472","TAMIFLU","TAMIFLU CAPSULE 75MG"
"79041","02305046","TARO-PANTOPRAZOLE","RAN-PANTOPRAZOLE"
"86602","02380196","JAMP METFORMIN","JAMP-METFORMIN"
"86603","02380218","JAMP METFORMIN","JAMP-METFORMIN"
"87111","02385481","TARO-ESCITALOPRAM","RAN-ESCITALOPRAM"
"87112","02385503","TARO-ESCITALOPRAM","RAN-ESCITALOPRAM"
"88442","02399547","PYRITHIONE ZINC DANDRUFF SHAMPOO DRY SCALP CARE 2IN1","HEAD & SHOULDERS DRY SCALP CARE 2IN1"
"88443","02399555","PYRITHIONE ZINC DANDRUFF SHAMPOO GREEN APPLE","HEAD & SHOULDERS GREEN APPLE"
"88444","02399563","PYRITHIONE ZINC DANDRUFF SHAMPOO GREEN APPLE 2IN1","HEAD & SHOULDERS GREEN APPLE 2IN1"
"88449","02399636","PYRITHIONE ZINC DANDRUFF SHAMPOO CLASSIC CLEAN 2IN1","HEAD & SHOULDERS CLASSIC CLEAN 2IN1"
"88450","02399644","PYRITHIONE ZINC DANDRUFF SHAMPOO CLASSIC CLEAN","HEAD & SHOULDERS CLASSIC CLEAN"
"88452","02399660","PYRITHIONE ZINC DANDRUFF SHAMPOO CITRUS BREEZE","HEAD & SHOULDERS CITRUS BREEZE"
"89587","02411245","PROACTIV+ PORE TARGETING SOLUTION","PROACTIV + PORE TARGETING SOLUTION"
"940","00155357","ADRENALIN","ADRENALIN CHLORIDE SOL 1:1000 AMP"
"96699","02476045","PYRITHIONE ZINC DANDRUFF SHAMPOO 2IN1 MEN FULL & THICK","2IN1 MEN ADVANCED SERIES FULL & THICK"
"96806","02477211","PYRITHIONE ZINC DANDRUFF SHAMPOO 2IN1 MEN PURE SPORT","2IN1 MEN ADVANCED SERIES PURE SPORT"
"96807","02477238","PYRITHIONE ZINC DANDRUFF SHAMPOO MEN PURE SPORT","MEN ADVANCED SERIES PURE SPORT"
"12438","01927655","NOZINAN","NOZINAN 5MG TAB"
"12439","01927663","NOZINAN","NOZINAN TAB 25MG"
"12440","01927671","NOZINAN","NOZINAN TAB 50MG"
"13161","01927647","NOZINAN","NOZINAN TAB 2MG"
"13162","01927728","NOZINAN","NOZINAN 5MG/ML"
"13178","01927701","NOZINAN","NOZINAN LIQ 40MG/ML"
"43482","02228319","MINOX","MINOX - LIQ TOP 20MG/ML"
"74314","02257912","IBUPROFEN 200 MG","IBUPROFEN"
"80286","02317338","IBUPROFEN 400 MG","IBUPROFEN"
"94885","02461358","HEAD & SHOULDERS PYRITHIONE ZINC DANDRUFF SHAMPOO DEEP MOISTURE 2IN1","HEAD & SHOULDERS PYRITHIONE ZINC DANDRUFF SHAMPOO 2IN1 DEEP MOISTURE"
