drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"102825","56","POWDER FOR SOLUTION","ADDED","02539500"
"102884","85","TABLET","ADDED","02540134"
"102510","134","SOLUTION","ADDED","02536315"
"102879","85","TABLET","ADDED","02540061"
"102872","56","POWDER FOR SOLUTION","ADDED","02539993"
"102829","134","SOLUTION","ADDED","02539535"
"102839","134","SOLUTION","ADDED","02539640"
"102845","134","SOLUTION","ADDED","02539691"
"102830","134","SOLUTION","ADDED","02539543"
"102859","134","SOLUTION","ADDED","02539853"
"102834","134","SOLUTION","ADDED","02539594"
"102835","134","SOLUTION","ADDED","02539608"
"102857","85","TABLET","ADDED","02539837"
"102837","134","SOLUTION","ADDED","02539624"
"91147","85","TABLET","ADDED","02426927"
"102852","134","SOLUTION","ADDED","02539780"
"102346","183","POD","ADDED","02534541"
"102841","134","SOLUTION","ADDED","02539667"
"102860","134","SOLUTION","ADDED","02539861"
"102833","56","POWDER FOR SOLUTION","ADDED","02539586"
"102781","134","SOLUTION","ADDED","02539160"
"102843","114","GEL","ADDED","02539683"
"102791","134","SOLUTION","ADDED","02539276"
"102854","85","TABLET","ADDED","02539802"
"102861","134","SOLUTION","ADDED","02539888"
"102877","134","SOLUTION","ADDED","02540045"
"102822","134","SOLUTION","ADDED","02539470"
"102840","134","SOLUTION","ADDED","02539659"
"102883","85","TABLET","ADDED","02540126"
"102869","5","CAPSULE","ADDED","02539969"
"102882","85","TABLET","ADDED","02540118"
"102828","5","CAPSULE","ADDED","02539527"
"102821","134","SOLUTION","ADDED","02539462"
"102824","134","SOLUTION","ADDED","02539497"
"102856","85","TABLET","ADDED","02539829"
"102819","126","POWDER FOR SUSPENSION","ADDED","02539446"
"102855","85","TABLET","ADDED","02539810"
"102814","55","POWDER","ADDED","02539373"
"102858","134","SOLUTION","ADDED","02539845"
"102876","134","SOLUTION","ADDED","02540037"
"102875","134","SOLUTION","ADDED","02540029"
"102812","134","SOLUTION","ADDED","02539357"
"102354","98","SPRAY","ADDED","02534630"
"102848","134","SOLUTION","ADDED","02539748"
"102853","56","POWDER FOR SOLUTION","ADDED","02539799"
"102846","98","SPRAY","ADDED","02539713"
"102871","134","SOLUTION","ADDED","02539985"
"102354","134","SOLUTION","ADDED","02534630"
"102817","126","POWDER FOR SUSPENSION","ADDED","02539411"
"102820","134","SOLUTION","ADDED","02539454"
"102878","156","TABLET FOR SUSPENSION","ADDED","02540053"
"102842","105","WIPE","ADDED","02539675"
"102846","134","SOLUTION","ADDED","02539713"
"102874","134","SOLUTION","ADDED","02540010"
"102818","126","POWDER FOR SUSPENSION","ADDED","02539438"
"102844","98","SPRAY","ADDED","02539705"
"102851","134","SOLUTION","ADDED","02539772"
"102845","98","SPRAY","ADDED","02539691"
"102838","134","SOLUTION","ADDED","02539632"
"102847","75","TABLET (EXTENDED-RELEASE)","ADDED","02539721"
"102873","134","SOLUTION","ADDED","02540002"
"102795","85","TABLET","ADDED","02539314"
"102836","134","SOLUTION","ADDED","02539616"
"102844","134","SOLUTION","ADDED","02539705"
"102823","134","SOLUTION","ADDED","02539489"
"102870","134","SOLUTION","ADDED","02539977"
"102796","82","SYRUP","ADDED","02539322"
"102827","5","CAPSULE","ADDED","02539519"
