mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
"00003875","DULCOLAX (bisacodyl 10 mg suppositoire) SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC","bisacodyl 10 mg suppositoire","bisacodyl","mp_fr_description: ""DULCOLAX (bisacodyl 10 mg suppositoire) SANOFI-AVENTIS CANADA INC"" -> ""DULCOLAX (bisacodyl 10 mg suppositoire) SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC"""
"00016055","CUPRIMINE (pénicillamine 250 mg capsule orale) BAUSCH HEALTH, CANADA INC.","pénicillamine 250 mg capsule orale","pénicillamine","mp_fr_description: ""CUPRIMINE (pénicillamine 250 mg capsule orale) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""CUPRIMINE (pénicillamine 250 mg capsule orale) BAUSCH HEALTH, CANADA INC."""
"00254142","DULCOLAX (bisacodyl 5 mg comprimé gastrorésistant) SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC","bisacodyl 5 mg comprimé gastrorésistant","bisacodyl","mp_fr_description: ""DULCOLAX (bisacodyl 5 mg comprimé gastrorésistant) SANOFI-AVENTIS CANADA INC"" -> ""DULCOLAX (bisacodyl 5 mg comprimé gastrorésistant) SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC"""
"00443794","RETIN-A (trétinoïne 0,05 % crème cutanée) BAUSCH HEALTH, CANADA INC.","trétinoïne 0,05 % crème cutanée","trétinoïne","mp_fr_description: ""RETIN-A (trétinoïne 0,05 % crème cutanée) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""RETIN-A (trétinoïne 0,05 % crème cutanée) BAUSCH HEALTH, CANADA INC."""
"00443816","RETIN-A (trétinoïne 0,025 % gel cutané) BAUSCH HEALTH, CANADA INC.","trétinoïne 0,025 % gel cutané","trétinoïne","mp_fr_description: ""RETIN-A (trétinoïne 0,025 % gel cutané) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""RETIN-A (trétinoïne 0,025 % gel cutané) BAUSCH HEALTH, CANADA INC."""
"00476714","PYRIDIUM 100MG (chlorhydrate de phénazopyridine 100 mg comprimé oral) ERFA CANADA 2012 INC","chlorhydrate de phénazopyridine 100 mg comprimé oral","phénazopyridine","ADDED"
"00566810","HYDROPHIL ONT (huile minérale lourde 64,5 % et urée 5 % pommade cutanée) OMEGA LABORATORIES LTD","huile minérale lourde 64,5 % et urée 5 % pommade cutanée","huile minérale lourde et urée","ADDED"
"00616192","VEPESID (étoposide 50 mg capsule orale) CHEPLAPHARM ARZNEIMITTEL GMBH","étoposide 50 mg capsule orale","étoposide","mp_fr_description: ""VEPESID (étoposide 50 mg capsule orale) BRISTOL-MYERS SQUIBB CANADA"" -> ""VEPESID (étoposide 50 mg capsule orale) CHEPLAPHARM ARZNEIMITTEL GMBH"""
"00727520","HEPARIN LEO 100UNIT/ML (héparine sodique 1000 unité par 10 mL NA fiole) LEO PHARMA INC","héparine sodique 1000 unité par 10 mL NA fiole","héparine","ADDED"
"02160986","CALCIUM-45  0.5-4.5 (chlorure de calcium 14,9 g par bouteille poudre pour solution à diluer pour solution pour hémodialyse) BAXTER CORPORATION","chlorure de calcium 14,9 g par bouteille poudre pour solution à diluer pour solution pour hémodialyse","chlorure de calcium","ADDED"
"02161060","CALCIUM-45  0.25-4.5 (chlorure de calcium 7,45 g par bouteille poudre pour solution à diluer pour solution pour hémodialyse) BAXTER CORPORATION","chlorure de calcium 7,45 g par bouteille poudre pour solution à diluer pour solution pour hémodialyse","chlorure de calcium","ADDED"
"02203375","STERILE LIGHT MINERAL OIL 100% (huile minérale légère 100 % liquide cutané) OMEGA LABORATORIES LTD","huile minérale légère 100 % liquide cutané","huile minérale légère","mp_fr_description: ""MINERAL OIL, LIGHT STERILE, OMEGA STD.- 100% (huile minérale légère 100 % liquide cutané) OMEGA LABORATORIES LTD"" -> ""STERILE LIGHT MINERAL OIL 100% (huile minérale légère 100 % liquide cutané) OMEGA LABORATORIES LTD"""
"02215187","CAVERJECT STERILE POWDER - PWS 23.2MCG/VIAL (alprostadil 20 mcg par fiole poudre pour solution injectable) PFIZER CANADA ULC","alprostadil 20 mcg par fiole poudre pour solution injectable","alprostadil","ADDED"
"02252147","DAYTIME COLD RELIEF EXTRA STRENGTH TABLETS (acétaminophène 500 mg et bromhydrate de dextrométhorphane 15 mg et chlorhydrate de pseudoéphédrine 30 mg comprimé oral) CELLCHEM PHARMACEUTICALS INC.","acétaminophène 500 mg et bromhydrate de dextrométhorphane 15 mg et chlorhydrate de pseudoéphédrine 30 mg comprimé oral","acétaminophène et dextrométhorphane et pseudoéphédrine","mp_fr_description: ""DAYTIME COLD RELIEF EXTRA STRENGTH TABLETS (acétaminophène 500 mg et bromhydrate de dextrométhorphane 15 mg et chlorhydrate de pseudoéphédrine 30 mg comprimé oral) PHARMETICS (2011) INC"" -> ""DAYTIME COLD RELIEF EXTRA STRENGTH TABLETS (acétaminophène 500 mg et bromhydrate de dextrométhorphane 15 mg et chlorhydrate de pseudoéphédrine 30 mg comprimé oral) CELLCHEM PHARMACEUTICALS INC."""
"02291363","ROBITUSSIN TOTAL COUGH, COLD & FLU (acétaminophène 650 mg par 30 mL et bromhydrate de dextrométhorphane 30 mg par 30 mL et chlorhydrate de pseudoéphédrine 30 mg par 30 mL solution orale) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC","acétaminophène 650 mg par 30 mL et bromhydrate de dextrométhorphane 30 mg par 30 mL et chlorhydrate de pseudoéphédrine 30 mg par 30 mL solution orale","acétaminophène et dextrométhorphane et pseudoéphédrine","mp_fr_description: ""ROBITUSSIN TOTAL COUGH COLD & FLU (acétaminophène 650 mg par 30 mL et bromhydrate de dextrométhorphane 30 mg par 30 mL et chlorhydrate de pseudoéphédrine 30 mg par 30 mL solution orale) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"" -> ""ROBITUSSIN TOTAL COUGH, COLD & FLU (acétaminophène 650 mg par 30 mL et bromhydrate de dextrométhorphane 30 mg par 30 mL et chlorhydrate de pseudoéphédrine 30 mg par 30 mL solution orale) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"""
