drug_code,drug_identification_number,current_brand_name,previous_brand_name
"101661","02527545","ULTRA-HYDRATING UV LOTION","ECO-DESIGNED UV LOTION"
"13833","01905740","K+ 45","K + 45"
"14403","02030314","FERTILINE","FERTILINE STERILE INJECTABLE SOLUTION"
"15210","01924567","DEXEDRINE SPANSULE","DEXEDRINE SPANSULE SRC 15MG"
"15211","01924559","DEXEDRINE SPANSULE","DEXEDRINE SPANSULE SRC 10MG"
"15225","01924516","DEXEDRINE","DEXEDRINE TABLETS (5MG)"
"15481","01999869","KENALOG-40 INJECTION","KENALOG-40 INJECTION 40MG/ML"
"15482","01999761","KENALOG-10 INJECTION","KENALOG-10 INJECTION 10MG/ML"
"19923","02091135","MICRO +4 REGULAR STRENGTH","MICRO PLUS 4 REGULAR STRENGTH"
"63982","02240433","PMS-CHLORHEXIDINE","PERICHLOR"
"71993","02247721","PHYSIONEAL 40 GLUCOSE 1.36%","PHYSIONEAL 40 GLUCOSE 1.36% W/V 13.6MG/ML SOLUTION FOR PERITONEAL DIALYSIS"
"71997","02247722","PHYSIONEAL 40 GLUCOSE 2.27%","PHYSIONEAL 40 GLUCOSE 2.27% W/V 22.7 MG/ML, SOLUTION FOR PERITONEAL DIALYSIS"
"71998","02247723","PHYSIONEAL 40 GLUCOSE 3.86%","PHYSIONEAL 40 GLUCOSE 3.86% W/V 38.6MG/ML, SOLUTION FOR PERITONEAL DIALYSIS"
"85372","02368730","PHYSIONEAL 40 GLUCOSE 1.36% CLEAR-FLEX","PHYSIONEAL 40 GLUCOSE 1.36% W/V 13.6MG/ML CLEAR-FLEX"
"85373","02368749","PHYSIONEAL 40 GLUCOSE 3.86% CLEAR-FLEX","PHYSIONEAL 40 GLUCOSE 3.86% W/V 38.6 MG/ML CLEAR-FLEX"
"85374","02368757","PHYSIONEAL 40 GLUCOSE 2.27% CLEAR-FLEX","PHYSIONEAL 40 GLUCOSE 2.27% W/V 22.7 MG/ML CLEAR-FLEX"
"89944","02414813","SELECTBAG ONE (AX 125 G)","SELECTBAG ONE (AX125G)"
"89945","02414821","SELECTBAG ONE (AX 150 G)","SELECTBAG ONE (AX150G)"
"89947","02414848","SELECTBAG ONE (AX 200 G)","SELECTBAG ONE (AX200G)"
"89948","02414856","SELECTBAG ONE (AX 225 G)","SELECTBAG ONE (AX225G)"
"89953","02414902","SELECTBAG ONE (AX 325 G)","SELECTBAG ONE (AX325G)"
"90007","02415461","SELECTBAG ONE (AX 250 G)","SELECTBAG ONE (AX250G)"
"90008","02415488","SELECTBAG ONE (AX 450 G)","SELECTBAG ONE (AX450G)"
"90009","02415496","SELECTBAG ONE (AX 2525 G)","SELECTBAG ONE (AX2525G)"
"90011","02415526","SELECTBAG ONE (AX 350 G)","SELECTBAG ONE (AX350G)"
"90114","02416549","ACH-OMEPRAZOLE","OMEPRAZOLE MAGNESIUM DELAYED RELEASE TABLETS"
"98313","02493160","PPMS-CHLORHEXIDINE WITHOUT ALCOHOL","PERICHLOR WITHOUT ALCOHOL"
"99382","02504391","ATTITUDE HOME + TECHNOLOGY BATHROOM CLEANER DISINFECTANT","ATTITUDE BATHROOM CLEANER DISINFECTANT"
"19758","02182858","LEVODOPA-CARBIDOPA","NU-LEVOCARB"
"19766","02182831","LEVODOPA-CARBIDOPA","NU-LEVOCARB"
"19767","02182823","LEVODOPA-CARBIDOPA","NU-LEVOCARB"
"77958","02294230","TARO-LISINOPRIL","RAN-LISINOPRIL"
"77959","02294249","TARO-LISINOPRIL","RAN-LISINOPRIL"
"77960","02294257","TARO-LISINOPRIL","RAN-LISINOPRIL"
"89933","02414724","SELECTBAG ONE (AX 050 G)","SELECTBAG ONE (AX050G)"
"89952","02414899","SELECTBAG ONE (AX 275 G)","SELECTBAG ONE (AX275G)"
"90010","02415518","SELECTBAG ONE (AX 2550 G)","SELECTBAG ONE (AX2550G)"
"99170","02502119","AG-VITAMINE D","AG-VITAMIN D"
