drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"9221","active","active","00653047","CONSTANT INTERNATIONAL","CONSTANT INTERNATIONAL INC"
"13341","active","active","01924451","CONSTANT INTERNATIONAL","CONSTANT INTERNATIONAL INC"
"18016","active","active","02146371","CONSTANT INTERNATIONAL","CONSTANT INTERNATIONAL INC"
"71998","active","active","02247723","VANTIVE ULC","BAXTER CORPORATION"
"71993","active","active","02247721","VANTIVE ULC","BAXTER CORPORATION"
"71997","active","active","02247722","VANTIVE ULC","BAXTER CORPORATION"
"20121","active","active","02217279","VANTIVE ULC","BAXTER CORPORATION"
"34881","active","active","02178168","VANTIVE ULC","BAXTER CORPORATION"
"20115","active","active","02217260","VANTIVE ULC","BAXTER CORPORATION"
"20119","active","active","02217619","VANTIVE ULC","BAXTER CORPORATION"
"20114","active","active","02218879","VANTIVE ULC","BAXTER CORPORATION"
"61030","active","active","02237685","KERSIA CANADA LTÉE","LABORATOIRES CHOISY LTEE"
"36836","active","active","02210835","VANTIVE ULC","BAXTER CORPORATION"
"62965","active","active","02239491","VANTIVE ULC","BAXTER CORPORATION"
"9852","active","active","00860565","VANTIVE ULC","BAXTER CORPORATION"
"10820","active","active","00890197","VANTIVE ULC","BAXTER CORPORATION"
"20040","active","active","02217244","VANTIVE ULC","BAXTER CORPORATION"
"18268","active","active","02158329","VANTIVE ULC","BAXTER CORPORATION"
"18202","active","active","02158221","VANTIVE ULC","BAXTER CORPORATION"
"34878","active","active","02178125","VANTIVE ULC","BAXTER CORPORATION"
"20116","active","active","02217252","VANTIVE ULC","BAXTER CORPORATION"
"20041","active","active","02217643","VANTIVE ULC","BAXTER CORPORATION"
"20044","active","active","02217554","VANTIVE ULC","BAXTER CORPORATION"
"20111","active","active","02217597","VANTIVE ULC","BAXTER CORPORATION"
"20046","active","active","02217635","VANTIVE ULC","BAXTER CORPORATION"
"20118","active","active","02217600","VANTIVE ULC","BAXTER CORPORATION"
"13833","active","active","01905740","VANTIVE ULC","BAXTER CORPORATION"
"6775","active","active","00691623","VANTIVE ULC","BAXTER CORPORATION"
"65414","active","active","02241751","SANOFI-AVENTIS CANADA INC","SANOFI GENZYME, A DIVISION OF SANOFI-AVENTIS CANADA INC"
"93856","active","active","02452138","CONSTANT INTERNATIONAL","CONSTANT INTERNATIONAL INC"
"78114","active","active","02295806","KERSIA CANADA LTÉE","LABORATOIRES CHOISY LTEE"
"78127","active","active","02295911","KERSIA CANADA LTÉE","LABORATOIRES CHOISY LTEE"
"77041","active","active","02284863","SANOFI-AVENTIS CANADA INC","SANOFI GENZYME, A DIVISION OF SANOFI-AVENTIS CANADA INC"
"85372","active","active","02368730","VANTIVE ULC","BAXTER CORPORATION"
"85373","active","active","02368749","VANTIVE ULC","BAXTER CORPORATION"
"85374","active","active","02368757","VANTIVE ULC","BAXTER CORPORATION"
"97569","active","active","02485443","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"19026","active","active","02142775","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"19044","active","active","02142783","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"78612","active","active","02300761","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"89948","active","active","02414856","VANTIVE ULC","BAXTER CORPORATION"
"90007","active","active","02415461","VANTIVE ULC","BAXTER CORPORATION"
"89945","active","active","02414821","VANTIVE ULC","BAXTER CORPORATION"
"89947","active","active","02414848","VANTIVE ULC","BAXTER CORPORATION"
"89953","active","active","02414902","VANTIVE ULC","BAXTER CORPORATION"
"90011","active","active","02415526","VANTIVE ULC","BAXTER CORPORATION"
"90008","active","active","02415488","VANTIVE ULC","BAXTER CORPORATION"
"90009","active","active","02415496","VANTIVE ULC","BAXTER CORPORATION"
"63982","active","active","02240433","PHARMASCIENCE INC","PENDOPHARM DIVISION OF PHARMASCIENCE INC"
"89944","active","active","02414813","VANTIVE ULC","BAXTER CORPORATION"
