drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"103661","49","INTRAVENOUS","ADDED","02547686"
"96543","56","ORAL","ADDED","02475111"
"96541","56","ORAL","ADDED","02475081"
"103692","56","ORAL","ADDED","02548011"
"103694","56","ORAL","ADDED","02548046"
"103644","56","ORAL","ADDED","02547481"
"103701","56","ORAL","ADDED","02548119"
"103696","56","ORAL","ADDED","02548062"
"103681","56","ORAL","ADDED","02547899"
"103707","56","ORAL","ADDED","02548186"
"103700","56","ORAL","ADDED","02548100"
"103708","22","INTRAMUSCULAR","ADDED","02548194"
"103722","56","ORAL","ADDED","02548348"
"103200","70","TOPICAL","ADDED","02543540"
"103668","93","DISINFECTANT (Domestic)","ADDED","02547759"
"61030","94","DISINFECTANT (Institutional/Industrial)","ADDED","02237685"
"103716","56","ORAL","ADDED","02548275"
"103682","56","ORAL","ADDED","02547902"
"103641","56","ORAL","ADDED","02547457"
"103591","65","SUBCUTANEOUS","ADDED","02547287"
"103591","49","INTRAVENOUS","ADDED","02547287"
"103655","56","ORAL","ADDED","02547619"
"103656","22","INTRAMUSCULAR","ADDED","02547627"
"103639","56","ORAL","ADDED","02547430"
"96545","56","ORAL","ADDED","02475146"
"103711","56","ORAL","ADDED","02548224"
"103710","56","ORAL","ADDED","02548216"
"103717","62","RECTAL","ADDED","02548283"
"103645","70","TOPICAL","ADDED","02547503"
"103675","56","ORAL","ADDED","02547821"
"103648","56","ORAL","ADDED","02547546"
"103592","56","ORAL","ADDED","02547295"
"103164","70","TOPICAL","ADDED","02543141"
"103702","56","ORAL","ADDED","02548127"
"103656","65","SUBCUTANEOUS","ADDED","02547627"
"96544","56","ORAL","ADDED","02475138"
"103601","65","SUBCUTANEOUS","ADDED","02547392"
"103602","65","SUBCUTANEOUS","ADDED","02547406"
"103689","93","DISINFECTANT (Domestic)","ADDED","02547953"
"103664","56","ORAL","ADDED","02547716"
"103660","49","INTRAVENOUS","ADDED","02547678"
"103654","56","ORAL","ADDED","02547600"
"103671","93","DISINFECTANT (Domestic)","ADDED","02547783"
"103708","65","SUBCUTANEOUS","ADDED","02548194"
"103712","56","ORAL","ADDED","02548232"
"103668","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02547759"
"103456","70","TOPICAL","ADDED","02545829"
"103678","56","ORAL","ADDED","02547864"
"103670","56","ORAL","ADDED","02547775"
"103560","93","DISINFECTANT (Domestic)","ADDED","02546930"
"103668","2","DISINFECTANT (Barn)","ADDED","02547759"
"103652","56","ORAL","ADDED","02547589"
"103642","56","ORAL","ADDED","02547465"
"103665","65","SUBCUTANEOUS","ADDED","02547724"
"103172","70","TOPICAL","ADDED","02543230"
"103709","56","ORAL","ADDED","02548208"
"96542","56","ORAL","ADDED","02475103"
"96540","56","ORAL","ADDED","02475073"
"103653","56","ORAL","ADDED","02547597"
"103666","65","SUBCUTANEOUS","ADDED","02547732"
"103703","56","ORAL","ADDED","02548135"
"78127","94","DISINFECTANT (Institutional/Industrial)","ADDED","02295911"
"103671","94","DISINFECTANT (Institutional/Industrial)","ADDED","02547783"
"103684","56","ORAL","ADDED","02547929"
"103699","56","ORAL","ADDED","02548097"
"103695","56","ORAL","ADDED","02548054"
"103160","70","TOPICAL","ADDED","02543109"
"103723","56","ORAL","ADDED","02548356"
"103560","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02546930"
"103668","94","DISINFECTANT (Institutional/Industrial)","ADDED","02547759"
"103668","8","DISINFECTANT (Food Premises)","ADDED","02547759"
"103656","49","INTRAVENOUS","ADDED","02547627"
"103683","56","ORAL","ADDED","02547910"
"103690","70","TOPICAL","ADDED","02547996"
"103131","93","DISINFECTANT (Domestic)","ADDED","02542773"
"103643","22","INTRAMUSCULAR","ADDED","02547473"
"103640","56","ORAL","ADDED","02547449"
"103693","56","ORAL","ADDED","02548038"
"103705","56","ORAL","ADDED","02548151"
"61030","2","DISINFECTANT (Barn)","ADDED","02237685"
"103714","55","OPHTHALMIC","ADDED","02548259"
"103706","56","ORAL","ADDED","02548178"
"103178","70","TOPICAL","ADDED","02543303"
"103650","65","SUBCUTANEOUS","ADDED","02547562"
"103662","49","INTRAVENOUS","ADDED","02547694"
"103721","56","ORAL","ADDED","02548321"
"103698","55","OPHTHALMIC","ADDED","02548089"
"103669","56","ORAL","ADDED","02547767"
"103673","56","ORAL","ADDED","02547805"
"103704","56","ORAL","ADDED","02548143"
"103674","56","ORAL","ADDED","02547813"
"103697","70","TOPICAL","ADDED","02548070"
"103663","56","ORAL","ADDED","02547708"
