drug_code,active_ingredient_code,status,extract,ingredient,strength,strength_unit,drug_identification_number
"12492","309","Changed","inactive","IRON (IRON GLUTARATE)","2.5","MG","00879851"
"106116","8551","ADDED","approved","CLINDAMYCIN (CLINDAMYCIN HYDROCHLORIDE)","150","MG","02557878"
"106082","23805","ADDED","approved","TIRZEPATIDE","2.5","MG","02557509"
"106123","20435","ADDED","approved","ARIPIPRAZOLE","5","MG","02557940"
"101648","22430","ADDED","active","ESLICARBAZEPINE ACETATE","200","MG","02527421"
"101650","22430","ADDED","active","ESLICARBAZEPINE ACETATE","600","MG","02527456"
"106099","12371","ADDED","approved","ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM)","40","MG","02557681"
"106085","23805","ADDED","approved","TIRZEPATIDE","10","MG","02557533"
"106076","27017","ADDED","approved","REPOTRECTINIB","40","MG","02557444"
"106091","22816","ADDED","approved","EDOXABAN (EDOXABAN TOSYLATE MONOHYDRATE)","15","MG","02557606"
"106062","22816","ADDED","active","EDOXABAN (EDOXABAN TOSYLATE MONOHYDRATE)","30","MG","02557282"
"106134","20447","ADDED","approved","BEMOTRIZINOL","2","%","02558041"
"106106","2195","ADDED","approved","MITOMYCIN","20","MG","02557762"
"106068","27015","ADDED","approved","TEPLIZUMAB","2","MG","02557347"
"12298","309","Changed","inactive","IRON (IRON GLUTARATE)",".5","MG","01901117"
"88070","197","Changed","active","BENZALKONIUM CHLORIDE","3","%","02395622"
"93364","7762","ADDED","approved","ALPHA1-PROTEINASE INHIBITOR (HUMAN)","2","MCG","02447959"
"106077","27017","ADDED","approved","REPOTRECTINIB","160","MG","02557452"
"106122","20435","ADDED","approved","ARIPIPRAZOLE","2","MG","02557932"
"106083","23805","ADDED","approved","TIRZEPATIDE","5","MG","02557517"
"106103","10147","ADDED","approved","METFORMIN HYDROCHLORIDE","1000","MG","02557746"
"93364","2280","ADDED","approved","OCTOCRYLENE","9.9","%","02447959"
"106110","8282","ADDED","approved","PHENOBARBITAL","60","MG","02557800"
"106104","12048","ADDED","approved","OCTISALATE","5","%","02557754"
"93364","12048","ADDED","approved","OCTISALATE","5","%","02447959"
"106125","20435","ADDED","approved","ARIPIPRAZOLE","15","MG","02557967"
"106117","8551","ADDED","approved","CLINDAMYCIN (CLINDAMYCIN HYDROCHLORIDE)","300","MG","02557886"
"106095","215","ADDED","approved","DEXRAZOXANE","250","MG","02557649"
