drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"9","active","active","00015741","PALADIN LABS INC.","PALADIN LABS INC"
"631","active","active","00074462","PALADIN LABS INC.","PALADIN LABS INC"
"810","active","active","00074500","PALADIN LABS INC.","PALADIN LABS INC"
"868","active","active","00074454","PALADIN LABS INC.","PALADIN LABS INC"
"2039","active","active","00324019","APOTEX INC","AA PHARMA INC"
"2164","active","active","00330566","APOTEX INC","AA PHARMA INC"
"4222","active","active","00511552","PALADIN LABS INC.","PALADIN LABS INC"
"4382","active","active","00402591","APOTEX INC","AA PHARMA INC"
"6129","active","active","00596965","PALADIN LABS INC.","PALADIN LABS INC"
"6132","active","active","00632201","PALADIN LABS INC.","PALADIN LABS INC"
"6753","active","active","00594636","PALADIN LABS INC.","PALADIN LABS INC"
"6754","active","active","00594644","PALADIN LABS INC.","PALADIN LABS INC"
"6755","active","active","00594652","PALADIN LABS INC.","PALADIN LABS INC"
"6757","active","active","00675962","PALADIN LABS INC.","PALADIN LABS INC"
"12544","active","active","01926489","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"12743","active","active","01946986","PALADIN LABS INC.","PALADIN LABS INC"
"12745","active","active","01947931","PALADIN LABS INC.","PALADIN LABS INC"
"12746","active","active","01947958","PALADIN LABS INC.","PALADIN LABS INC"
"12753","active","active","01926462","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"12754","active","active","01926470","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"12887","active","active","01947923","PALADIN LABS INC.","PALADIN LABS INC"
"15210","active","active","01924567","PALADIN LABS INC.","PALADIN LABS INC"
"15211","active","active","01924559","PALADIN LABS INC.","PALADIN LABS INC"
"15225","active","active","01924516","PALADIN LABS INC.","PALADIN LABS INC"
"16103","active","active","02014165","ELVIUM LIFE SCIENCES","PURDUE PHARMA"
"16482","active","active","02014181","ELVIUM LIFE SCIENCES","PURDUE PHARMA"
"16804","active","active","02126559","JUNO PHARMACEUTICALS CORP.","MDA INC."
"19460","active","active","02086026","PALADIN LABS INC.","PALADIN LABS INC"
"20083","active","active","02216205","ELVIUM LIFE SCIENCES","PURDUE PHARMA"
"20258","active","active","02162512","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"27517","active","active","02060884","PALADIN LABS INC.","PALADIN LABS INC"
"27528","active","active","02061597","PALADIN LABS INC.","PALADIN LABS INC"
"29542","active","active","02106272","PALADIN LABS INC.","PALADIN LABS INC"
"29543","active","active","02106280","PALADIN LABS INC.","PALADIN LABS INC"
"34574","active","active","02170140","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"41867","active","active","00884553","PALADIN LABS INC.","PALADIN LABS INC"
"41869","active","active","00875988","PALADIN LABS INC.","PALADIN LABS INC"
"42066","active","active","00875996","PALADIN LABS INC.","PALADIN LABS INC"
"42486","active","active","02035286","CONVATEC CANADA LTD.","CONVATEC CANADA LTD"
"42959","active","active","02199270","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"43428","active","active","02225271","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"49993","active","active","02230732","PALADIN LABS INC.","PALADIN LABS INC"
"49995","active","active","02230733","PALADIN LABS INC.","PALADIN LABS INC"
"49996","active","active","02230734","PALADIN LABS INC.","PALADIN LABS INC"
"51391","active","active","00632228","PALADIN LABS INC.","PALADIN LABS INC"
"51392","active","active","00639389","PALADIN LABS INC.","PALADIN LABS INC"
"62021","active","active","02238593","PALADIN LABS INC.","PALADIN LABS INC"
"62022","active","active","02238594","PALADIN LABS INC.","PALADIN LABS INC"
"62023","active","active","02238595","PALADIN LABS INC.","PALADIN LABS INC"
