tm_code,tm_formal_name,tm_fr_description,changes
"8000940","alcohol anhydrous and butanediol and propyl alcohol and propylene glycol","alcool anhydre et butanédiol et alcool propylique et propylène glycol","CHANGED"
"8002278","coagulation factor IX human and coagulation factor ii (human) and coagulation factor vii (human) and coagulation factor x (human) and protein c and protein s","facteur IX de coagulation humain et facteur II de coagulation humain et facteur VII de coagulation humain et facteur X de coagulation humain et protéine c et protéine s","CHANGED"
"8002047","paclitaxel","paclitaxel","CHANGED"
"8000912","alcohol anhydrous and chlorhexidine","alcool anhydre et chlorhexidine","CHANGED"
"8002088","acetic acid and sodium acetate","acide acétique et acétate de sodium","CHANGED"
"8002300","bacillus calmette-guerin (bcg) strain tice","bacillus calmette-guerin (bcg) strain tice","CHANGED"
"8001615","chloroxylenol","chloroxylénol","CHANGED"
"8001897","chromic chloride and copper sulfate and iodine (sodium iodide) and manganese sulfate and selenium and zinc sulfate","chlorure de chrome et sulfate de cuivre et iode (iodure de sodium) et sulfate de manganèse et sélénium et sulfate de zinc","CHANGED"
"8002282","fibrinogen human and thrombin human","fibrinogène humaine et thrombine humaine","CHANGED"
"8001878","sodium iodide","iodure de sodium","CHANGED"
"8002169","anti-inhibitor coagulant complex","complexe coagulant anti-inhibiteur","CHANGED"
"8002245","onabotulinumtoxinA","onabotulinumtoxineA","CHANGED"
"8001726","chromic chloride and copper sulfate and manganese sulfate and zinc sulfate","chlorure de chrome et sulfate de cuivre et sulfate de manganèse et sulfate de zinc","CHANGED"
"8000796","benzalkonium","benzalkonium","CHANGED"
"8001866","petrolatum","pétrolatum","CHANGED"
"8000946","alcohol anhydrous and benzalkonium","alcool anhydre et benzalkonium","CHANGED"
"8002068","piperazine","pipérazine","CHANGED"
"8001870","potassium chloride","chlorure de potassium","CHANGED"
"8001867","petrolatum and zinc oxide","pétrolatum et oxyde de zinc","tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""20031010"" -> ""20180531"""
"8002215","amphotericin B","amphotéricine B","CHANGED"
"8001757","doxorubicin","doxorubicine","CHANGED"
"e125343b21d9c7ed694040b9727401e3","prabotulinumtoxinA","prabotulinumtoxineA","ADDED"
"282c269eb7717cdb7108e29cd0398828","damoctocog alfa pegol","damoctocog alfa pégol","ADDED"
"8001579","benzethonium","benzéthonium","CHANGED"
"8002154","potassium phosphate dibasic and potassium phosphate monobasic","phosphate de potassium dibasique et phosphate de potassium monobasique","CHANGED"
"8001733","copper sulfate","sulfate de cuivre","CHANGED"
"8001976","triclosan","triclosan","CHANGED"
"8001476","follitropin beta","follitropine bêta","CHANGED"
"8001659","glycopyrrolate","glycopyrrolate","DELETED"
"8002161","sodium bicarbonate","bicarbonate de sodium","CHANGED"
"8001004","benzoyl peroxide and salicylic acid","peroxyde de benzoyle et acide salicylique","CHANGED"
"8002141","methylene blue and naphazoline","bleu de méthylène et naphazoline","tm_status: ""INACTIVE"" -> ""ACTIVE""
tm_status_effective_time: ""20171001"" -> ""19861231"""
"9007877d036c5f87ae2eb3fe1014120e","emicizumab","émicizumab","ADDED"
"8001898","chromic chloride and copper sulfate and manganese sulfate and selenium and zinc sulfate","chlorure de chrome et sulfate de cuivre et sulfate de manganèse et sélénium et sulfate de zinc","CHANGED"
"8002160","sodium acetate","acétate de sodium","CHANGED"
"8001098","asparaginase","asparaginase","CHANGED"
"8001509","polidocanol","polidocanol","DELETED"
"8001696","antipyrine and sodium salicylate","antipyrine et salicylate de sodium","CHANGED"
"210156414e2c8b4266ae36171b062d1c","sucroferric oxyhydroxide","oxyhydroxyde sucro-ferrique","ADDED"
"8001844","magnesium chloride","chlorure de magnésium","CHANGED"
