tm_code,tm_formal_name,tm_fr_description,changes
8002154,potassium phosphate dibasic and potassium phosphate monobasic,phosphate de potassium dibasique et phosphate de potassium monobasique,ADDED
67ff0bdbaa9a9709c976f7317940acb7,oxybate,oxybate,ADDED
8002282,fibrinogen human and thrombin human,fibrinogène humaine et thrombine humaine,ADDED
8002161,sodium bicarbonate,bicarbonate de sodium,ADDED
8001211,lamivudine and zidovudine,lamivudine et zidovudine,"tm_status_effective_time: ""19981208"" -> ""20120604"""
8001844,magnesium chloride,chlorure de magnésium,ADDED
8001615,chloroxylenol,chloroxylénol,ADDED
8001940,sodium oxybate,oxybate de sodium,DELETED
8002278,coagulation factor ii (human) and coagulation factor IX human and coagulation factor vii (human) and coagulation factor x (human) and protein c and protein s,facteur II de coagulation humain et facteur IX de coagulation humain et facteur VII de coagulation humain et facteur X de coagulation humain et protéine c et protéine s,ADDED
8001579,benzethonium,benzéthonium,ADDED
8002452,cytarabine and daunorubicin,cytarabine et daunorubicine,ADDED
8001757,doxorubicin,doxorubicine,ADDED
186a2c3980c019f2e5d05f9a4c1d8c1d,sotatercept,sotatercept,ADDED
8001004,benzoyl peroxide and salicylic acid,peroxyde de benzoyle et acide salicylique,ADDED
8002088,acetic acid and sodium acetate,acide acétique et acétate de sodium,ADDED
8001976,triclosan,triclosan,ADDED
8002047,paclitaxel,paclitaxel,ADDED
8001870,potassium chloride,chlorure de potassium,ADDED
8000796,benzalkonium,benzalkonium,ADDED
8002160,sodium acetate,acétate de sodium,ADDED
8002487,raxtozinameran,raxtozinaméran,DELETED
8001878,sodium iodide,iodure de sodium,ADDED
8001687,teriflunomide,tériflunomide,"tm_status_effective_time: ""20131115"" -> ""20220516"""
8002215,amphotericin B,amphotéricine B,ADDED
8002527,ferric carboxymaltose,carboxymaltose ferrique,ADDED
144773dbde743ec65acc95a0ac3ee3bc,trofinetide,trofinétide,ADDED
8001434,argatroban,argatroban,"tm_status: ""INACTIVE"" -> ""ACTIVE""
tm_status_effective_time: ""20240731"" -> ""20020613"""
8001476,follitropin beta,follitropine bêta,ADDED
8002343,caplacizumab,caplacizumab,DELETED
8000912,alcohol anhydrous and chlorhexidine,alcool anhydre et chlorhexidine,ADDED
