drug_code,din,brand.name,company.name,brand.name.dpd,company.name.dpd,descriptor
101307,02524031,PAXLOVID,,PAXLOVID,PFIZER CANADA ULC,NA
98835,02498596,ADYNOVATE (2 ML DILUENT) - SINGLE USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,750 UNITS/ML (2 ML DILUENT) - SINGLE USE VIAL
98834,02498588,ADYNOVATE (2 ML DILUENT) - SINGLE USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,500 UNITS/ML (2 ML DILUENT) - SINGLE USE VIAL
98830,02498537,ADYNOVATE (2 ML DILUENT) - SINGLE USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,125 UNITS/ML (2 ML DILUENT) - SINGLE USE VIAL
98831,02498545,ADYNOVATE (2 ML DILUENT) - SINGLE USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,250 UNITS/ML (2 ML DILUENT) - SINGLE USE VIAL
99940,02510162,XARELTO FOR LESS THAN 4 KG,BAYER INC,XARELTO,BAYER INC,1MG/ML WHEN RECONSTITUTED
99941,02510170,XARELTO FOR 4 KG OR MORE,BAYER INC,XARELTO,BAYER INC,1MG/ML WHEN RECONSTITUTED
94619,02459035,ADYNOVATE (5 ML DILUENT) - SINGLE-USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,50 UNITS/ML (5 ML DILUENT) - SINGLE-USE VIAL
94620,02459043,ADYNOVATE (5 ML DILUENT) - SINGLE-USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,100 UNITS/ML (5 ML DILUENT) - SINGLE-USE VIAL
94621,02459051,ADYNOVATE (5 ML DILUENT) - SINGLE-USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,200 UNITS/ML (5 ML DILUENT) - SINGLE-USE VIAL
79517,02309556,TEVA-CYPROTERONE/ETHINYL ESTRADIOL,TEVA CANADA LIMITED,TEVA-CYPROTERONE / ETHINYL ESTRADIOL,TEVA CANADA LIMITED,NA
72576,02248239,ELIGARD,SANOFI-AVENTIS CANADA INC,ELIGARD,TOLMAR INTERNATIONAL LTD.	,PREFILLED SYRINGES (1-MONTH) - SINGLE DOSE
72577,02248240,ELIGARD,SANOFI-AVENTIS CANADA INC,ELIGARD,TOLMAR INTERNATIONAL LTD.	,PRE-FILLED SYRINGES (3-MONTH) - SINGLE DOSE
73384,02248999,ELIGARD,SANOFI-AVENTIS CANADA INC,ELIGARD,TOLMAR INTERNATIONAL LTD.	,PRE-FILLED SYRINGES (4-MONTH) - SINGLE DOSE
75428,02268892,ELIGARD,SANOFI-AVENTIS CANADA INC,ELIGARD,TOLMAR INTERNATIONAL LTD.	,PREFILLED SYRINGES (6-MONTH) - SINGLE DOSE
