tm_code,tm_formal_name,tm_fr_description,changes
8002154,potassium phosphate dibasic and potassium phosphate monobasic,phosphate de potassium dibasique et phosphate de potassium monobasique,ADDED
8002161,sodium bicarbonate,bicarbonate de sodium,ADDED
8001844,magnesium chloride,chlorure de magnésium,ADDED
8002452,cytarabine and daunorubicin,cytarabine et daunorubicine,ADDED
b9fc131daddb10d4555e3acd77a7a194,axicabtagene ciloleucel,axicabtagène ciloleucel,ADDED
8001757,doxorubicin,doxorubicine,ADDED
d54eeaebfc77cd481e66959c0074616f,zuranolone,zuranolone,ADDED
77044dc2e6a32820d85d8ae1e677cedf,tisagenlecleucel,tisagenlecleucel,ADDED
8001004,benzoyl peroxide and salicylic acid,peroxyde de benzoyle et acide salicylique,ADDED
8002097,calcium carbonate and magnesium hydroxide and simethicone,carbonate de calcium et hydroxyde de magnésium et siméticone,"tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""19951231"" -> ""20221115"""
8002160,sodium acetate,acétate de sodium,ADDED
8002215,amphotericin B,amphotéricine B,ADDED
a244137dbc19e426479f2191f4f6062a,olezarsen,olezarsen,ADDED
8001476,follitropin beta,follitropine bêta,ADDED
6223aaea414f5cad641236a5539adfd1,nemolizumab,némolizumab,ADDED
3f85236bb2f004b20bcaa188842ec3c6,lisocabtagene maraleucel,lisocabtagène maraleucel,ADDED
8002578,nipocalimab,nipocalimab,ADDED
8002580,toripalimab,toripalimab,ADDED
837d47869db4315ed1a2ebeca5695905,ethinyl estradiol and segesterone,éthinylestradiol et ségestérone,ADDED
8002282,fibrinogen human and thrombin human,fibrinogène humaine et thrombine humaine,ADDED
8001615,chloroxylenol,chloroxylénol,ADDED
227cb90a3df5efe879535f802dafe7b9,brexucabtagene autoleucel,bréxucabtagène autoleucel,ADDED
8002278,coagulation factor ii (human) and coagulation factor IX human and coagulation factor vii (human) and coagulation factor x (human) and protein c and protein s,facteur II de coagulation humain et facteur IX de coagulation humain et facteur VII de coagulation humain et facteur X de coagulation humain et protéine c et protéine s,ADDED
8001579,benzethonium,benzéthonium,ADDED
8001976,triclosan,triclosan,ADDED
8002047,paclitaxel,paclitaxel,ADDED
8001870,potassium chloride,chlorure de potassium,ADDED
8000796,benzalkonium,benzalkonium,ADDED
8001878,sodium iodide,iodure de sodium,ADDED
8001586,betaxolol,bétaxolol,DELETED
8000912,alcohol anhydrous and chlorhexidine,alcool anhydre et chlorhexidine,ADDED
