"drug_code","extract_current","extract_previous","company_name_current","company_name_previous","drug_identification_number"
16968,"active","active","ALLERGAN INC","ACTAVIS SPECIALTY PHARMACEUTICALS CO","02083523"
19553,"active","active","CHEPLAPHARM ARZNEIMITTEL GMBH","CHEPLAPHARM ARZNEIMITTEL GMBH GERMANY","02162695"
44252,"active","active","CHEPLAPHARM ARZNEIMITTEL GMBH","CHEPLAPHARM ARZNEIMITTEL GMBH GERMANY","02181479"
50779,"active","active","SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC","SANOFI-AVENTIS CANADA INC","02231462"
73678,"active","active","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02251884"
73778,"active","active","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02252856"
13233,"dormant","dormant","LONZA LLC.","LONZA INC.","01944037"
19303,"dormant","dormant","EURO-PHARM INTERNATIONAL CANADA INC","SANDOZ CANADA INCORPORATED","02160889"
78674,"dormant","dormant","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY","02301407"
25876,"approved","approved","LONZA LLC.","LONZA INC.","02008459"
25882,"approved","approved","LONZA LLC.","LONZA INC.","02008505"
60952,"approved","approved","LONZA LLC.","LONZA INC.","02237613"
62400,"approved","approved","LONZA LLC.","LONZA INC.","02238955"
62801,"approved","approved","LONZA LLC.","LONZA INC.","02239332"
69443,"approved","approved","LONZA LLC.","LONZA INC.","02245399"
70160,"approved","approved","LONZA LLC.","LONZA INC.","02246031"
71449,"approved","approved","LONZA LLC.","LONZA INC.","02247207"
71517,"approved","approved","LONZA LLC.","LONZA INC.","02247274"
71519,"approved","approved","LONZA LLC.","LONZA INC.","02247276"
71712,"approved","approved","LONZA LLC.","LONZA INC.","02247464"
73394,"approved","approved","LONZA LLC.","LONZA INC.","02249073"
73679,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02251892"
74104,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02255855"
74141,"approved","approved","LONZA LLC.","LONZA INC.","02256185"
91565,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02431238"
93160,"approved","approved","LONZA LLC.","LONZA INC.","02446294"
95197,"approved","approved","LONZA LLC.","LONZA INC.","02463873"
95334,"approved","approved","LONZA LLC.","LONZA INC.","02465132"
96000,"approved","approved","LONZA LLC.","LONZA INC.","02470942"
96002,"approved","approved","LONZA LLC.","LONZA INC.","02470969"
96010,"approved","approved","STRIDES PHARMA CANADA INC","GENERIC PARTNERS (CANADA) INC.","02471000"
96011,"approved","approved","STRIDES PHARMA CANADA INC","GENERIC PARTNERS (CANADA) INC.","02471019"
97118,"approved","approved","LONZA LLC.","LONZA INC.","02480654"
98337,"approved","approved","LABORATOIRE RIVA INC","AVIR PHARMA INC","02493357"
5556,"active","active","BOEHRINGER INGELHEIM ANIMAL HEALTH CANADA INC.","MERIAL CANADA INC","00594431"
13834,"active","active","CHEPLAPHARM ARZNEIMITTEL GMBH","CHEPLAPHARM ARZNEIMITTEL GMBH GERMANY","01911481"
13835,"active","active","CHEPLAPHARM ARZNEIMITTEL GMBH","CHEPLAPHARM ARZNEIMITTEL GMBH GERMANY","01911473"
18080,"active","active","CHEPLAPHARM ARZNEIMITTEL GMBH","CHEPLAPHARM ARZNEIMITTEL GMBH GERMANY","02145839"
33917,"active","active","LABORATOIRE RIVA INC","VITA HEALTH PRODUCTS INC","02154234"
63865,"active","active","CHEPLAPHARM ARZNEIMITTEL GMBH","CHEPLAPHARM ARZNEIMITTEL GMBH GERMANY","02240325"
66647,"active","active","SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC","SANOFI-AVENTIS CANADA INC","02242819"
73515,"active","active","BOEHRINGER INGELHEIM ANIMAL HEALTH CANADA INC.","MERIAL CANADA INC","02250349"
73677,"active","active","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02251876"
73680,"active","active","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02251906"
73779,"active","active","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02252864"
77545,"active","active","BOEHRINGER INGELHEIM ANIMAL HEALTH CANADA INC.","MERIAL CANADA INC","02290162"
91564,"active","active","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02431211"
96012,"active","active","NOVARTIS PHARMACEUTICALS CANADA INC","SHIRE PHARMA CANADA ULC","02471027"
13249,"dormant","dormant","LONZA LLC.","LONZA INC.","01944029"
13294,"dormant","dormant","LONZA LLC.","LONZA INC.","01944045"
43485,"dormant","dormant","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","02228343"
21854,"approved","approved","LONZA LLC.","LONZA INC.","01931814"
21855,"approved","approved","LONZA LLC.","LONZA INC.","01931822"
50856,"approved","approved","LONZA LLC.","LONZA INC.","02231514"
