"extract","drug_code","route_of_administration_code","route_of_administration","status","drug_identification_number"
"active",78032,"72","URETHRAL","ADDED","02294990"
"active",98113,"70","TOPICAL","ADDED","02491117"
"approved",98400,"22","INTRAMUSCULAR","ADDED","02493993"
"approved",98404,"56","ORAL","ADDED","02494027"
"approved",98405,"56","ORAL","ADDED","02494035"
"approved",98406,"56","ORAL","ADDED","02494043"
"approved",98409,"56","ORAL","ADDED","02494051"
"approved",98410,"56","ORAL","ADDED","02494078"
"approved",98411,"56","ORAL","ADDED","02494086"
"approved",98416,"8","DISINFECTANT (Food Premises)","ADDED","02494124"
"approved",98416,"9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02494124"
"approved",98416,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02494124"
"approved",98418,"56","ORAL","ADDED","02494140"
"approved",98419,"56","ORAL","ADDED","02494159"
"approved",98429,"29","INHALATION","ADDED","02494264"
"approved",98430,"29","INHALATION","ADDED","02494272"
"approved",98431,"29","INHALATION","ADDED","02494280"
"approved",98433,"56","ORAL","ADDED","02494302"
"approved",98434,"56","ORAL","ADDED","02494310"
"approved",98435,"56","ORAL","ADDED","02494329"
"approved",98436,"56","ORAL","ADDED","02494337"
"approved",98437,"56","ORAL","ADDED","02494345"
"approved",98438,"56","ORAL","ADDED","02494353"
"approved",98439,"49","INTRAVENOUS","ADDED","02494361"
"approved",98444,"3","BUCCAL","ADDED","02494434"
"approved",98450,"93","DISINFECTANT (Domestic)","ADDED","02494493"
"approved",98454,"56","ORAL","ADDED","02494531"
"approved",97890,"70","TOPICAL","ADDED","02488825"
"approved",98352,"56","ORAL","ADDED","02493519"
"approved",98354,"56","ORAL","ADDED","02493535"
"approved",98355,"56","ORAL","ADDED","02493543"
"approved",98356,"56","ORAL","ADDED","02493551"
"approved",98357,"56","ORAL","ADDED","02493578"
"approved",98360,"71","TRANSDERMAL","ADDED","02493608"
"approved",98361,"71","TRANSDERMAL","ADDED","02493616"
"approved",98362,"71","TRANSDERMAL","ADDED","02493624"
"approved",98363,"71","TRANSDERMAL","ADDED","02493632"
"approved",98364,"56","ORAL","ADDED","02493640"
"approved",98365,"56","ORAL","ADDED","02493659"
"approved",98366,"56","ORAL","ADDED","02493667"
"approved",98367,"56","ORAL","ADDED","02493675"
"approved",98368,"56","ORAL","ADDED","02493683"
"approved",98369,"56","ORAL","ADDED","02493691"
"approved",98370,"56","ORAL","ADDED","02493705"
"approved",98371,"56","ORAL","ADDED","02493713"
"approved",98373,"56","ORAL","ADDED","02493748"
"approved",98374,"56","ORAL","ADDED","02493756"
"approved",98375,"56","ORAL","ADDED","02493764"
"approved",98378,"56","ORAL","ADDED","02493780"
"approved",98379,"56","ORAL","ADDED","02493799"
"approved",98382,"49","INTRAVENOUS","ADDED","02493829"
"approved",97863,"70","TOPICAL","ADDED","02488531"
"active",78032,"70","TOPICAL","DELETED","02294990"
