"drug_code","status_current","history_date_current","status_previous","history_date_previous","drug_identification_number"
11465,"MARKETED",2019-08-13,"MARKETED",2019-02-12,"01912038"
11794,"MARKETED",2019-11-20,"MARKETED",1991-12-31,"01905856"
14206,"MARKETED",2019-11-19,"MARKETED",1993-12-31,"02017458"
14449,"MARKETED",2019-11-19,"MARKETED",1993-12-31,"01996169"
14450,"MARKETED",2019-11-20,"MARKETED",1993-12-31,"02017431"
16968,"MARKETED",2019-11-01,"MARKETED",2016-03-29,"02083523"
2255,"MARKETED",2019-10-29,"MARKETED",2019-03-01,"00315966"
33917,"MARKETED",2019-11-25,"MARKETED",2011-01-11,"02154234"
3775,"MARKETED",2019-11-01,"DORMANT",2019-08-02,"00489867"
4388,"MARKETED",2019-10-11,"DORMANT",2017-07-24,"00476714"
50779,"MARKETED",2019-11-15,"MARKETED",2008-01-07,"02231462"
5195,"MARKETED",2019-10-04,"MARKETED",2019-01-22,"00584215"
5196,"MARKETED",2019-10-23,"MARKETED",2019-01-22,"00487872"
5556,"MARKETED",2019-11-27,"MARKETED",1998-05-08,"00594431"
5822,"MARKETED",2019-10-30,"MARKETED",2018-11-27,"00628115"
5823,"MARKETED",2019-10-30,"MARKETED",2018-11-27,"00628123"
60900,"MARKETED",2019-11-20,"MARKETED",1998-08-27,"02237562"
61146,"MARKETED",2019-11-01,"DORMANT",2019-08-02,"02237789"
62594,"MARKETED",2019-11-07,"MARKETED",2007-01-13,"02239138"
66647,"MARKETED",2019-11-15,"MARKETED",2007-10-01,"02242819"
68980,"MARKETED",2019-10-18,"MARKETED",2018-11-23,"02244982"
69850,"MARKETED",2019-10-18,"MARKETED",2018-02-14,"02245743"
72902,"MARKETED",2019-11-20,"MARKETED",2004-01-27,"02248547"
73002,"MARKETED",2019-11-21,"MARKETED",2012-08-21,"02248645"
73230,"MARKETED",2019-11-01,"MARKETED",2019-04-24,"02248858"
73515,"MARKETED",2019-11-27,"MARKETED",2004-04-15,"02250349"
