"extract","drug_code","pharm_form_code","pharmaceutical_form","status","drug_identification_number"
"active",10188,56,"POWDER FOR SOLUTION","ADDED","00843792"
"active",32780,56,"POWDER FOR SOLUTION","ADDED","02047349"
"active",37051,56,"POWDER FOR SOLUTION","ADDED","02215403"
"active",37105,56,"POWDER FOR SOLUTION","ADDED","02217147"
"active",62330,56,"POWDER FOR SOLUTION","ADDED","02238890"
"active",70790,56,"POWDER FOR SOLUTION","ADDED","02246602"
"active",89389,56,"POWDER FOR SOLUTION","ADDED","02409178"
"active",89795,56,"POWDER FOR SOLUTION","ADDED","02413280"
"active",90552,56,"POWDER FOR SOLUTION","ADDED","02420937"
"active",91694,56,"POWDER FOR SOLUTION","ADDED","02432498"
"active",98113,36,"LOTION","ADDED","02491117"
"dormant",10062,134,"SOLUTION","ADDED","00807435"
"approved",97863,9,"CREAM","ADDED","02488531"
"approved",97890,76,"STICK","ADDED","02488825"
"approved",98352,5,"CAPSULE","ADDED","02493519"
"approved",98354,85,"TABLET","ADDED","02493535"
"approved",98355,85,"TABLET","ADDED","02493543"
"approved",98356,85,"TABLET","ADDED","02493551"
"approved",98357,5,"CAPSULE","ADDED","02493578"
"approved",98360,145,"PATCH","ADDED","02493608"
"approved",98361,145,"PATCH","ADDED","02493616"
"approved",98362,145,"PATCH","ADDED","02493624"
"approved",98363,145,"PATCH","ADDED","02493632"
"approved",98364,85,"TABLET","ADDED","02493640"
"approved",98365,85,"TABLET","ADDED","02493659"
"approved",98366,85,"TABLET","ADDED","02493667"
"approved",98367,132,"TABLET (ORALLY DISINTEGRATING)","ADDED","02493675"
"approved",98368,85,"TABLET","ADDED","02493683"
"approved",98369,85,"TABLET","ADDED","02493691"
"approved",98370,85,"TABLET","ADDED","02493705"
"approved",98371,85,"TABLET","ADDED","02493713"
"approved",98373,5,"CAPSULE","ADDED","02493748"
"approved",98374,5,"CAPSULE","ADDED","02493756"
"approved",98375,85,"TABLET","ADDED","02493764"
"approved",98378,85,"TABLET","ADDED","02493780"
"approved",98379,85,"TABLET","ADDED","02493799"
"approved",98382,56,"POWDER FOR SOLUTION","ADDED","02493829"
"approved",98400,134,"SOLUTION","ADDED","02493993"
"approved",98404,5,"CAPSULE","ADDED","02494027"
"approved",98404,32,"KIT","ADDED","02494027"
"approved",98405,85,"TABLET","ADDED","02494035"
"approved",98406,85,"TABLET","ADDED","02494043"
"approved",98409,85,"TABLET","ADDED","02494051"
"approved",98410,85,"TABLET","ADDED","02494078"
"approved",98411,85,"TABLET","ADDED","02494086"
"approved",98416,85,"TABLET","ADDED","02494124"
"approved",98418,5,"CAPSULE","ADDED","02494140"
"approved",98419,82,"SYRUP","ADDED","02494159"
"approved",98429,79,"SUSPENSION","ADDED","02494264"
"approved",98430,79,"SUSPENSION","ADDED","02494272"
"approved",98431,79,"SUSPENSION","ADDED","02494280"
"approved",98433,83,"BOLUS","ADDED","02494302"
"approved",98434,85,"TABLET","ADDED","02494310"
"approved",98435,85,"TABLET","ADDED","02494329"
"approved",98436,85,"TABLET","ADDED","02494337"
"approved",98437,85,"TABLET","ADDED","02494345"
"approved",98438,5,"CAPSULE","ADDED","02494353"
"approved",98439,56,"POWDER FOR SOLUTION","ADDED","02494361"
"approved",98444,42,"MOUTHWASH/GARGLE","ADDED","02494434"
"approved",98450,134,"SOLUTION","ADDED","02494493"
"approved",98454,126,"POWDER FOR SUSPENSION","ADDED","02494531"
"active",10188,55,"POWDER","DELETED","00843792"
"active",32780,55,"POWDER","DELETED","02047349"
"active",37051,55,"POWDER","DELETED","02215403"
"active",37105,55,"POWDER","DELETED","02217147"
"active",62330,55,"POWDER","DELETED","02238890"
"active",70790,55,"POWDER","DELETED","02246602"
"active",89389,55,"POWDER","DELETED","02409178"
"active",89795,55,"POWDER","DELETED","02413280"
"active",90552,55,"POWDER","DELETED","02420937"
"active",91694,55,"POWDER","DELETED","02432498"
"dormant",10062,12,"DROPS","DELETED","00807435"
