drug_code,mp_code,mp_formal_name,mp_fr_description,changes
9,00015741,TAPAZOLE (methimazole 5 mg oral tablet) ENDO OPERATIONS LTD.,TAPAZOLE (méthimazole 5 mg comprimé oral) ENDO OPERATIONS LTD.,"mp_formal_name: ""TAPAZOLE (methimazole 5 mg oral tablet) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""TAPAZOLE (methimazole 5 mg oral tablet) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲.""
mp_fr_description: ""TAPAZOLE (méthimazole 5 mg comprimé oral) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""TAPAZOLE (méthimazole 5 mg comprimé oral) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."""
789,00030767,DEPO-MEDROL (methylprednisolone acetate 80 mg per 1 mL suspension for injection vial) PFIZER CANADA ULC,DEPO-MEDROL (acétate de méthylprednisolone 80 mg par 1 mL suspension injectable fiole) PFIZER CANADA ULC,"Health_Canada_product_name: ""DEPO-MEDROL 80 MG/ML"" -> ""DEPO-MEDROL""
mp_formal_name: ""DEPO-MEDROL̲ ̲8̲0̲ ̲M̲G̲/̲M̲L (methylprednisolone acetate 80 mg per 1 mL suspension for injection vial) PFIZER CANADA ULC"" -> ""DEPO-MEDROL (methylprednisolone acetate 80 mg per 1 mL suspension for injection vial) PFIZER CANADA ULC""
mp_fr_description: ""DEPO-MEDROL̲ ̲8̲0̲ ̲M̲G̲/̲M̲L (acétate de méthylprednisolone 80 mg par 1 mL suspension injectable fiole) PFIZER CANADA ULC"" -> ""DEPO-MEDROL (acétate de méthylprednisolone 80 mg par 1 mL suspension injectable fiole) PFIZER CANADA ULC"""
933,00029149,FUNGIZONE (amphotericin B 50 mg per vial powder for solution for injection) CHEPLAPHARM ARZNEIMITTEL GMBH,FUNGIZONE (amphotéricine B 50 mg par fiole poudre pour solution injectable) CHEPLAPHARM ARZNEIMITTEL GMBH,ADDED
1134,00030759,DEPO-MEDROL (methylprednisolone acetate 40 mg per 1 mL suspension for injection vial) PFIZER CANADA ULC,DEPO-MEDROL (acétate de méthylprednisolone 40 mg par 1 mL suspension injectable fiole) PFIZER CANADA ULC,"Health_Canada_product_name: ""DEPO-MEDROL 40 MG/ML"" -> ""DEPO-MEDROL""
mp_formal_name: ""DEPO-MEDROL̲ ̲4̲0̲ ̲M̲G̲/̲M̲L (methylprednisolone acetate 40 mg per 1 mL suspension for injection vial) PFIZER CANADA ULC"" -> ""DEPO-MEDROL (methylprednisolone acetate 40 mg per 1 mL suspension for injection vial) PFIZER CANADA ULC""
mp_fr_description: ""DEPO-MEDROL̲ ̲4̲0̲ ̲M̲G̲/̲M̲L (acétate de méthylprednisolone 40 mg par 1 mL suspension injectable fiole) PFIZER CANADA ULC"" -> ""DEPO-MEDROL (acétate de méthylprednisolone 40 mg par 1 mL suspension injectable fiole) PFIZER CANADA ULC"""
1668,00266507,ADASEPT LIQ 0.5% (triclosan 0.5 % cutaneous liquid) ODAN LABORATORIES LTD,"ADASEPT LIQ 0.5% (triclosan 0,5 % liquide cutané) ODAN LABORATORIES LTD",ADDED
1905,00261998,SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 84 mg per mL solution for injection) PFIZER CANADA ULC,SODIUM BICARBONATE INJECTION USP (bicarbonate de sodium 84 mg par mL solution injectable) PFIZER CANADA ULC,ADDED
2209,00312746,TRIFLUOPERAZINE (trifluoperazine (trifluoperazine hydrochloride) 5 mg oral tablet) AA PHARMA INC,TRIFLUOPERAZINE (trifluopérazine (chlorhydrate de trifluopérazine) 5 mg comprimé oral) AA PHARMA INC,DELETED
2213,00335053,ELAVIL (amitriptyline hydrochloride 10 mg oral tablet) AA PHARMA INC,ELAVIL (chlorhydrate d'amitriptyline 10 mg comprimé oral) AA PHARMA INC,DELETED
2300,00326836,TRIFLUOPERAZINE (trifluoperazine (trifluoperazine hydrochloride) 10 mg oral tablet) AA PHARMA INC,TRIFLUOPERAZINE (trifluopérazine (chlorhydrate de trifluopérazine) 10 mg comprimé oral) AA PHARMA INC,DELETED
2527,00037869,POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE USP (potassium chloride 149 mg per mL solution for injection) PFIZER CANADA ULC,POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE USP (chlorure de potassium 149 mg par mL solution injectable) PFIZER CANADA ULC,ADDED
3394,00402206,POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE (potassium chloride 20 meq per 10 mL solution for injection) OMEGA LABORATORIES LIMITED,POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE (chlorure de potassium 20 meq par 10 mL solution injectable) OMEGA LABORATORIES LIMITED,ADDED
3837,00038083,SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 45 mmol per 50 mL solution for injection syringe) PFIZER CANADA ULC,SODIUM BICARBONATE INJECTION USP (bicarbonate de sodium 45 mmol par 50 mL solution injectable seringue) PFIZER CANADA ULC,ADDED
4114,00500895,NALCROM (cromolyn sodium 100 mg oral capsule) LUPIN PHARMA CANADA LIMITED,NALCROM (cromolyne sodique 100 mg capsule orale) LUPIN PHARMA CANADA LIMITED,"mp_formal_name: ""NALCROM (cromolyn sodium 100 mg oral capsule) S̲A̲N̲O̲F̲I̲-̲A̲V̲E̲N̲T̲I̲S̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""NALCROM (cromolyn sodium 100 mg oral capsule) L̲U̲P̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲C̲A̲N̲A̲D̲A̲ ̲L̲I̲M̲I̲T̲E̲D̲""
mp_fr_description: ""NALCROM (cromolyne sodique 100 mg capsule orale) S̲A̲N̲O̲F̲I̲-̲A̲V̲E̲N̲T̲I̲S̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""NALCROM (cromolyne sodique 100 mg capsule orale) L̲U̲P̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲C̲A̲N̲A̲D̲A̲ ̲L̲I̲M̲I̲T̲E̲D̲"""
4222,00511552,SANDOMIGRAN DS (pizotifen (pizotifen malate) 1 mg oral tablet) ENDO OPERATIONS LTD.,SANDOMIGRAN DS (pizotifène (malate de pizotifène) 1 mg comprimé oral) ENDO OPERATIONS LTD.,"mp_formal_name: ""SANDOMIGRAN DS (pizotifen (pizotifen malate) 1 mg oral tablet) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""SANDOMIGRAN DS (pizotifen (pizotifen malate) 1 mg oral tablet) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲.""
mp_fr_description: ""SANDOMIGRAN DS (pizotifène (malate de pizotifène) 1 mg comprimé oral) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""SANDOMIGRAN DS (pizotifène (malate de pizotifène) 1 mg comprimé oral) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."""
4277,00522724,CHLORDIAZEPOXIDE (chlordiazepoxide hydrochloride 5 mg oral capsule) AA PHARMA INC,CHLORDIAZEPOXIDE (chlorhydrate de chlordiazépoxide 5 mg capsule orale) AA PHARMA INC,DELETED
4278,00522988,CHLORDIAZEPOXIDE (chlordiazepoxide hydrochloride 10 mg oral capsule) AA PHARMA INC,CHLORDIAZEPOXIDE (chlorhydrate de chlordiazépoxide 10 mg capsule orale) AA PHARMA INC,DELETED
5732,00595942,TRIFLUOPERAZINE (trifluoperazine (trifluoperazine hydrochloride) 20 mg oral tablet) AA PHARMA INC,TRIFLUOPERAZINE (trifluopérazine (chlorhydrate de trifluopérazine) 20 mg comprimé oral) AA PHARMA INC,DELETED
6775,00691623,BICARBONATE CONCENTRATE D17000 (sodium bicarbonate 81.3 g per l solution for haemodialysis) VANTIVE ULC,"BICARBONATE CONCENTRATE D17000 (bicarbonate de sodium 81,3 g par l solution pour hémodialyse) VANTIVE ULC",ADDED
8350,00261971,SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 5 mmol per 10 mL solution for injection syringe) PFIZER CANADA ULC,SODIUM BICARBONATE INJECTION USP (bicarbonate de sodium 5 mmol par 10 mL solution injectable seringue) PFIZER CANADA ULC,ADDED
9176,00782467,APO-NADOLOL (nadolol 80 mg oral tablet) APOTEX INC,APO-NADOLOL (nadolol 80 mg comprimé oral) APOTEX INC,"Health_Canada_product_name: ""APO-NADOLOL"" -> ""LISSA CLEAN DISINFECTING WIPES"""
10509,00804789,POTASSIUM PHOSPHATES (phosphorus (potassium phosphate dibasic and potassium phosphate monobasic) 30 mmol per 10 mL and potassium (potassium phosphate dibasic and potassium phosphate monobasic) 44 mmol per 10 mL solution for injection vial) SANDOZ CANADA INCORPORATED,POTASSIUM PHOSPHATES (phosphore (phosphate de potassium dibasique et phosphate de potassium monobasique) 30 mmol par 10 mL et potassium (phosphate de potassium dibasique et phosphate de potassium monobasique) 44 mmol par 10 mL solution injectable fiole) SANDOZ CANADA INCORPORATED,ADDED
10828,00882801,APO-PRAZO (prazosin (prazosin hydrochloride) 1 mg oral tablet) APOTEX INC,APO-PRAZO (prazosine (chlorhydrate de prazosine) 1 mg comprimé oral) APOTEX INC,"Health_Canada_product_name: ""APO-PRAZO TAB 1MG"" -> ""APO-PRAZO""
mp_formal_name: ""APO-PRAZO ̲T̲A̲B̲ ̲1̲M̲G̲ (prazosin (prazosin hydrochloride) 1 mg oral tablet) APOTEX INC"" -> ""APO-PRAZO (prazosin (prazosin hydrochloride) 1 mg oral tablet) APOTEX INC""
mp_fr_description: ""APO-PRAZO ̲T̲A̲B̲ ̲1̲M̲G̲ (prazosine (chlorhydrate de prazosine) 1 mg comprimé oral) APOTEX INC"" -> ""APO-PRAZO (prazosine (chlorhydrate de prazosine) 1 mg comprimé oral) APOTEX INC""
mp_status: ""INACTIVE"" -> ""ACTIVE""
mp_status_effective_time: ""20240418"" -> ""19901231"""
10829,00882828,APO-PRAZO (prazosin (prazosin hydrochloride) 2 mg oral tablet) APOTEX INC,APO-PRAZO (prazosine (chlorhydrate de prazosine) 2 mg comprimé oral) APOTEX INC,"Health_Canada_product_name: ""APO-PRAZO TAB 2MG"" -> ""APO-PRAZO""
mp_formal_name: ""APO-PRAZO ̲T̲A̲B̲ ̲2̲M̲G̲ (prazosin (prazosin hydrochloride) 2 mg oral tablet) APOTEX INC"" -> ""APO-PRAZO (prazosin (prazosin hydrochloride) 2 mg oral tablet) APOTEX INC""
mp_fr_description: ""APO-PRAZO ̲T̲A̲B̲ ̲2̲M̲G̲ (prazosine (chlorhydrate de prazosine) 2 mg comprimé oral) APOTEX INC"" -> ""APO-PRAZO (prazosine (chlorhydrate de prazosine) 2 mg comprimé oral) APOTEX INC""
mp_status: ""INACTIVE"" -> ""ACTIVE""
mp_status_effective_time: ""20240411"" -> ""19901231"""
10830,00882836,APO-PRAZO (prazosin (prazosin hydrochloride) 5 mg oral tablet) APOTEX INC,APO-PRAZO (prazosine (chlorhydrate de prazosine) 5 mg comprimé oral) APOTEX INC,"Health_Canada_product_name: ""APO-PRAZO TAB 5MG"" -> ""APO-PRAZO""
mp_formal_name: ""APO-PRAZO ̲T̲A̲B̲ ̲5̲M̲G̲ (prazosin (prazosin hydrochloride) 5 mg oral tablet) APOTEX INC"" -> ""APO-PRAZO (prazosin (prazosin hydrochloride) 5 mg oral tablet) APOTEX INC""
mp_fr_description: ""APO-PRAZO ̲T̲A̲B̲ ̲5̲M̲G̲ (prazosine (chlorhydrate de prazosine) 5 mg comprimé oral) APOTEX INC"" -> ""APO-PRAZO (prazosine (chlorhydrate de prazosine) 5 mg comprimé oral) APOTEX INC""
mp_status: ""INACTIVE"" -> ""ACTIVE""
mp_status_effective_time: ""20240524"" -> ""19901231"""
11537,00779237,BACTI-STAT 0.3% (triclosan 0.3 % cutaneous liquid) ECOLAB CO,"BACTI-STAT 0.3% (triclosan 0,3 % liquide cutané) ECOLAB CO",ADDED
12639,01977873,GERMICIDAL HAND SOAP LIQ 0.6% (chloroxylenol 0.6 % cutaneous liquid) OSTREM CHEMICAL CO LTD.,"GERMICIDAL HAND SOAP LIQ 0.6% (chloroxylénol 0,6 % liquide cutané) OSTREM CHEMICAL CO LTD.",ADDED
12745,01947931,DUVOID (bethanechol chloride 25 mg oral tablet) ENDO OPERATIONS LTD.,DUVOID (chlorure de béthanéchol 25 mg comprimé oral) ENDO OPERATIONS LTD.,"mp_formal_name: ""DUVOID (bethanechol chloride 25 mg oral tablet) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""DUVOID (bethanechol chloride 25 mg oral tablet) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲.""
mp_fr_description: ""DUVOID (chlorure de béthanéchol 25 mg comprimé oral) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""DUVOID (chlorure de béthanéchol 25 mg comprimé oral) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."""
12746,01947958,DUVOID (bethanechol chloride 10 mg oral tablet) ENDO OPERATIONS LTD.,DUVOID (chlorure de béthanéchol 10 mg comprimé oral) ENDO OPERATIONS LTD.,"mp_formal_name: ""DUVOID (bethanechol chloride 10 mg oral tablet) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""DUVOID (bethanechol chloride 10 mg oral tablet) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲.""
mp_fr_description: ""DUVOID (chlorure de béthanéchol 10 mg comprimé oral) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""DUVOID (chlorure de béthanéchol 10 mg comprimé oral) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."""
12887,01947923,DUVOID (bethanechol chloride 50 mg oral tablet) ENDO OPERATIONS LTD.,DUVOID (chlorure de béthanéchol 50 mg comprimé oral) ENDO OPERATIONS LTD.,"mp_formal_name: ""DUVOID (bethanechol chloride 50 mg oral tablet) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""DUVOID (bethanechol chloride 50 mg oral tablet) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲.""
mp_fr_description: ""DUVOID (chlorure de béthanéchol 50 mg comprimé oral) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""DUVOID (chlorure de béthanéchol 50 mg comprimé oral) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."""
13600,01974548,MICRO I (iodide (sodium iodide) 1000 mcg per 10 mL solution for injection vial) SANDOZ CANADA INCORPORATED,MICRO I (iodure (iodure de sodium) 1000 mcg par 10 mL solution injectable fiole) SANDOZ CANADA INCORPORATED,ADDED
13833,01905740,K+ 45 (potassium chloride 251.6 g per l solution for haemodialysis) VANTIVE ULC,"K+ 45 (chlorure de potassium 251,6 g par l solution pour hémodialyse) VANTIVE ULC",ADDED
16276,01934341,DEPO-MEDROL (methylprednisolone acetate 400 mg per 5 mL suspension for injection vial) PFIZER CANADA ULC,DEPO-MEDROL (acétate de méthylprednisolone 400 mg par 5 mL suspension injectable fiole) PFIZER CANADA ULC,"Health_Canada_product_name: ""DEPO-MEDROL (WITH PRESERVATIVE) 80 MG/ML"" -> ""DEPO-MEDROL""
mp_formal_name: ""DEPO-MEDROL̲ ̲(̲W̲I̲T̲H̲ ̲P̲R̲E̲S̲E̲R̲V̲A̲T̲I̲V̲E̲)̲ ̲8̲0̲ ̲M̲G̲/̲M̲L (methylprednisolone acetate 400 mg per 5 mL suspension for injection vial) PFIZER CANADA ULC"" -> ""DEPO-MEDROL (methylprednisolone acetate 400 mg per 5 mL suspension for injection vial) PFIZER CANADA ULC""
mp_fr_description: ""DEPO-MEDROL̲ ̲(̲W̲I̲T̲H̲ ̲P̲R̲E̲S̲E̲R̲V̲A̲T̲I̲V̲E̲)̲ ̲8̲0̲ ̲M̲G̲/̲M̲L (acétate de méthylprednisolone 400 mg par 5 mL suspension injectable fiole) PFIZER CANADA ULC"" -> ""DEPO-MEDROL (acétate de méthylprednisolone 400 mg par 5 mL suspension injectable fiole) PFIZER CANADA ULC"""
18208,02131471,VIROBEX-P (chloroxylenol 0.6 % cutaneous liquid) GERMIPHENE CORPORATION,"VIROBEX-P (chloroxylénol 0,6 % liquide cutané) GERMIPHENE CORPORATION",ADDED
18310,02161060,CALCIUM-45  0.25-4.5 (calcium chloride 7.45 g per bottle powder for concentrate for solution for haemodialysis) VANTIVE ULC,"CALCIUM-45  0.25-4.5 (chlorure de calcium 7,45 g par bouteille poudre pour solution à diluer pour solution pour hémodialyse) VANTIVE ULC",ADDED
18321,02160986,CALCIUM-45  0.5-4.5 (calcium chloride 14.9 g per bottle powder for concentrate for solution for haemodialysis) VANTIVE ULC,"CALCIUM-45  0.5-4.5 (chlorure de calcium 14,9 g par bouteille poudre pour solution à diluer pour solution pour hémodialyse) VANTIVE ULC",ADDED
18988,01934325,DEPO-MEDROL (methylprednisolone acetate 100 mg per 5 mL suspension for injection vial) PFIZER CANADA ULC,DEPO-MEDROL (acétate de méthylprednisolone 100 mg par 5 mL suspension injectable fiole) PFIZER CANADA ULC,"Health_Canada_product_name: ""DEPO-MEDROL (WITH PRESERVATIVE) 20 MG/ML"" -> ""DEPO-MEDROL""
mp_formal_name: ""DEPO-MEDROL̲ ̲(̲W̲I̲T̲H̲ ̲P̲R̲E̲S̲E̲R̲V̲A̲T̲I̲V̲E̲)̲ ̲2̲0̲ ̲M̲G̲/̲M̲L (methylprednisolone acetate 100 mg per 5 mL suspension for injection vial) PFIZER CANADA ULC"" -> ""DEPO-MEDROL (methylprednisolone acetate 100 mg per 5 mL suspension for injection vial) PFIZER CANADA ULC""
mp_fr_description: ""DEPO-MEDROL̲ ̲(̲W̲I̲T̲H̲ ̲P̲R̲E̲S̲E̲R̲V̲A̲T̲I̲V̲E̲)̲ ̲2̲0̲ ̲M̲G̲/̲M̲L (acétate de méthylprednisolone 100 mg par 5 mL suspension injectable fiole) PFIZER CANADA ULC"" -> ""DEPO-MEDROL (acétate de méthylprednisolone 100 mg par 5 mL suspension injectable fiole) PFIZER CANADA ULC"""
19442,02139545,"POTASSIUM PHOSPHATES INJECTION, USP (potassium phosphate dibasic 236 mg per mL and potassium phosphate monobasic 224 mg per mL solution for injection) FRESENIUS KABI CANADA LTD","POTASSIUM PHOSPHATES INJECTION, USP (phosphate de potassium dibasique 236 mg par mL et phosphate de potassium monobasique 224 mg par mL solution injectable) FRESENIUS KABI CANADA LTD",ADDED
19455,02182866,DALACIN C 300 MG (clindamycin (clindamycin hydrochloride) 300 mg oral capsule) PFIZER CANADA ULC,DALACIN C 300 MG (clindamycine (chlorhydrate de clindamycine) 300 mg capsule orale) PFIZER CANADA ULC,DELETED
20112,02219301,MAGNESIUM-45 0.5-4.5 (magnesium chloride 20.5 g per bottle powder for concentrate for solution for haemodialysis) VANTIVE ULC,"MAGNESIUM-45 0.5-4.5 (chlorure de magnésium 20,5 g par bouteille poudre pour solution à diluer pour solution pour hémodialyse) VANTIVE ULC",ADDED
31360,02139529,"SODIUM ACETATE INJECTION, USP (sodium acetate 328 mg per mL solution for injection) FRESENIUS KABI CANADA LTD","SODIUM ACETATE INJECTION, USP (acétate de sodium 328 mg par mL solution injectable) FRESENIUS KABI CANADA LTD",ADDED
35083,02181746,SODIUM ACETATE INJECTION USP (sodium (sodium acetate) 4 mmol per mL solution for injection 50 mL vial) OMEGA LABORATORIES LIMITED,SODIUM ACETATE INJECTION USP (sodium (acétate de sodium) 4 mmol par mL solution injectable 50 mL fiole) OMEGA LABORATORIES LIMITED,ADDED
41477,00373435,DETTOL (chloroxylenol 4.8 % cutaneous solution) RB HEALTH (CANADA) INC.,"DETTOL (chloroxylénol 4,8 % solution pour application cutanée) RB HEALTH (CANADA) INC.",ADDED
42944,02194465,DOXORUBICIN HYDROCHLORIDE FOR INJECTION USP (doxorubicin hydrochloride 50 mg per vial powder for solution for injection) PFIZER CANADA ULC,DOXORUBICIN HYDROCHLORIDE FOR INJECTION USP (chlorhydrate de doxorubicine 50 mg par fiole poudre pour solution injectable) PFIZER CANADA ULC,ADDED
42945,02194473,DOXORUBICIN HYDROCHLORIDE FOR INJECTION USP (doxorubicin hydrochloride 150 mg per vial powder for solution for injection) PFIZER CANADA ULC,DOXORUBICIN HYDROCHLORIDE FOR INJECTION USP (chlorhydrate de doxorubicine 150 mg par fiole poudre pour solution injectable) PFIZER CANADA ULC,ADDED
43155,02215187,CAVERJECT STERILE POWDER - PWS 23.2MCG/VIAL (alprostadil 20 mcg per vial powder for solution for injection) PFIZER CANADA ULC,CAVERJECT STERILE POWDER - PWS 23.2MCG/VIAL (alprostadil 20 mcg par fiole poudre pour solution injectable) PFIZER CANADA ULC,ADDED
43222,02217503,APO-LISINOPRIL (lisinopril 10 mg oral tablet) APOTEX INC,APO-LISINOPRIL (lisinopril 10 mg comprimé oral) APOTEX INC,DELETED
60245,02236951,SEROQUEL (quetiapine (quetiapine fumarate) 25 mg oral tablet) CHEPLAPHARM ARZNEIMITTEL GMBH,SEROQUEL (quétiapine (fumarate de quétiapine) 25 mg comprimé oral) CHEPLAPHARM ARZNEIMITTEL GMBH,"mp_formal_name: ""SEROQUEL (quetiapine (quetiapine fumarate) 25 mg oral tablet) A̲S̲T̲R̲A̲Z̲E̲N̲E̲C̲A̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""SEROQUEL (quetiapine (quetiapine fumarate) 25 mg oral tablet) C̲H̲E̲P̲L̲A̲P̲H̲A̲R̲M̲ ̲A̲R̲Z̲N̲E̲I̲M̲I̲T̲T̲E̲L̲ ̲G̲M̲B̲H̲""
mp_fr_description: ""SEROQUEL (quétiapine (fumarate de quétiapine) 25 mg comprimé oral) A̲S̲T̲R̲A̲Z̲E̲N̲E̲C̲A̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""SEROQUEL (quétiapine (fumarate de quétiapine) 25 mg comprimé oral) C̲H̲E̲P̲L̲A̲P̲H̲A̲R̲M̲ ̲A̲R̲Z̲N̲E̲I̲M̲I̲T̲T̲E̲L̲ ̲G̲M̲B̲H̲"""
60246,02236952,SEROQUEL (quetiapine (quetiapine fumarate) 100 mg oral tablet) CHEPLAPHARM ARZNEIMITTEL GMBH,SEROQUEL (quétiapine (fumarate de quétiapine) 100 mg comprimé oral) CHEPLAPHARM ARZNEIMITTEL GMBH,"mp_formal_name: ""SEROQUEL (quetiapine (quetiapine fumarate) 100 mg oral tablet) A̲S̲T̲R̲A̲Z̲E̲N̲E̲C̲A̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""SEROQUEL (quetiapine (quetiapine fumarate) 100 mg oral tablet) C̲H̲E̲P̲L̲A̲P̲H̲A̲R̲M̲ ̲A̲R̲Z̲N̲E̲I̲M̲I̲T̲T̲E̲L̲ ̲G̲M̲B̲H̲""
mp_fr_description: ""SEROQUEL (quétiapine (fumarate de quétiapine) 100 mg comprimé oral) A̲S̲T̲R̲A̲Z̲E̲N̲E̲C̲A̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""SEROQUEL (quétiapine (fumarate de quétiapine) 100 mg comprimé oral) C̲H̲E̲P̲L̲A̲P̲H̲A̲R̲M̲ ̲A̲R̲Z̲N̲E̲I̲M̲I̲T̲T̲E̲L̲ ̲G̲M̲B̲H̲"""
