drug_code,mp_code,mp_formal_name,changes
933,00029149,FUNGIZONE (amphotericin B 50 mg per vial powder for solution for injection) CHEPLAPHARM ARZNEIMITTEL GMBH,ADDED
1668,00266507,ADASEPT LIQ 0.5% (triclosan 0.5 % cutaneous liquid) ODAN LABORATORIES LTD,ADDED
1905,00261998,SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 84 mg per mL solution for injection) PFIZER CANADA ULC,ADDED
1936,00299405,PRED MILD (prednisolone acetate 0.12 % ophthalmic drops) ALLERGAN INC,ADDED
2527,00037869,POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE USP (potassium chloride 149 mg per mL solution for injection) PFIZER CANADA ULC,ADDED
3394,00402206,POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE (potassium chloride 20 meq per 10 mL solution for injection) OMEGA LABORATORIES LIMITED,ADDED
3492,00363014,PROCTOFOAM-HC (hydrocortisone acetate 1 % and pramoxine hydrochloride 1 % rectal foam) DUCHESNAY INC,ADDED
3837,00038083,SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 45 mmol per 50 mL solution for injection syringe) PFIZER CANADA ULC,ADDED
4902,00545066,APO-METRONIDAZOLE TABLETS (metronidazole 250 mg oral tablet) APOTEX INC,"mp_formal_name: ""METRONIDAZOLE (metronidazole 250 mg oral tablet) AA̲ ̲P̲H̲A̲R̲M̲A̲ INC"" -> ""A̲P̲O̲-̲METRONIDAZOLE ̲T̲A̲B̲L̲E̲T̲S̲ (metronidazole 250 mg oral tablet) AP̲O̲T̲E̲X̲ INC"""
6171,00614491,DOLORAL SIROP (morphine hydrochloride 1 mg per mL syrup) LABORATOIRE ATLAS INC,"mp_formal_name: ""DOLORAL 1̲ ̲SIROP ̲1̲M̲G̲/̲M̲L̲ (morphine hydrochloride 1 mg per mL syrup) LABORATOIRE ATLAS INC"" -> ""DOLORAL SIROP (morphine hydrochloride 1 mg per mL syrup) LABORATOIRE ATLAS INC"""
6775,00691623,BICARBONATE CONCENTRATE D17000 (sodium bicarbonate 81.3 g per l solution for haemodialysis) BAXTER CORPORATION,ADDED
8350,00261971,SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 5 mmol per 10 mL solution for injection syringe) PFIZER CANADA ULC,ADDED
