"extract","drug_code","pharm_form_code","pharmaceutical_form","status","drug_identification_number"
"active",13373,134,"SOLUTION","ADDED","02004496"
"active",19026,82,"SYRUP","ADDED","02142775"
"active",2828,134,"SOLUTION","ADDED","00393746"
"active",78573,134,"SOLUTION","ADDED","02300435"
"active",83307,134,"SOLUTION","ADDED","02347695"
"active",96702,132,"TABLET (ORALLY DISINTEGRATING)","ADDED","02476088"
"dormant",16629,134,"SOLUTION","ADDED","02023652"
"approved",97944,5,"CAPSULE","ADDED","02489333"
"approved",97943,5,"CAPSULE","ADDED","02489325"
"approved",97942,5,"CAPSULE","ADDED","02489341"
"approved",96941,2,"AEROSOL","ADDED","02478625"
"approved",97968,32,"KIT","ADDED","02489600"
"approved",97957,32,"KIT","ADDED","02489562"
"approved",97957,55,"POWDER","ADDED","02489562"
"approved",97968,56,"POWDER FOR SOLUTION","ADDED","02489600"
"approved",97954,56,"POWDER FOR SOLUTION","ADDED","02489457"
"approved",97950,85,"TABLET","ADDED","02489414"
"approved",97949,85,"TABLET","ADDED","02489406"
"approved",97939,85,"TABLET","ADDED","02489317"
"approved",97938,85,"TABLET","ADDED","02489309"
"approved",97937,85,"TABLET","ADDED","02489295"
"approved",97936,85,"TABLET","ADDED","02489287"
"approved",97929,85,"TABLET","ADDED","02489201"
"approved",97928,85,"TABLET","ADDED","02489198"
"approved",97927,85,"TABLET","ADDED","02489171"
"approved",97926,85,"TABLET","ADDED","02489163"
"approved",97919,85,"TABLET","ADDED","02489139"
"approved",97918,85,"TABLET","ADDED","02489120"
"approved",96980,59,"SHAMPOO","ADDED","02479095"
"approved",96978,59,"SHAMPOO","ADDED","02479079"
"approved",96977,59,"SHAMPOO","ADDED","02479060"
"approved",96976,59,"SHAMPOO","ADDED","02479052"
"approved",96975,59,"SHAMPOO","ADDED","02479044"
"approved",96974,59,"SHAMPOO","ADDED","02479036"
"approved",97994,105,"WIPE","ADDED","02489872"
"approved",98000,98,"SPRAY","ADDED","02489929"
"approved",97982,98,"SPRAY","ADDED","02489740"
"approved",97970,98,"SPRAY","ADDED","02489619"
"approved",97947,132,"TABLET (ORALLY DISINTEGRATING)","ADDED","02489384"
"approved",97946,132,"TABLET (ORALLY DISINTEGRATING)","ADDED","02489376"
"approved",78077,134,"SOLUTION","ADDED","02295474"
"approved",97976,141,"CAPSULE (EXTENDED RELEASE)","ADDED","02489694"
"approved",97975,141,"CAPSULE (EXTENDED RELEASE)","ADDED","02489686"
"approved",97974,141,"CAPSULE (EXTENDED RELEASE)","ADDED","02489678"
"approved",98000,134,"SOLUTION","ADDED","02489929"
"approved",97965,134,"SOLUTION","ADDED","02489570"
"approved",97964,134,"SOLUTION","ADDED","02489554"
"approved",97953,134,"SOLUTION","ADDED","02489449"
"approved",97952,134,"SOLUTION","ADDED","02489430"
"approved",97945,134,"SOLUTION","ADDED","02489368"
"approved",97934,134,"SOLUTION","ADDED","02489260"
"approved",97932,134,"SOLUTION","ADDED","02489244"
"approved",97920,134,"SOLUTION","ADDED","02489147"
"approved",97696,134,"SOLUTION","ADDED","02486792"
"approved",97960,151,"TABLET (CHEWABLE)","ADDED","02489511"
"approved",97959,151,"TABLET (CHEWABLE)","ADDED","02489503"
"approved",97958,151,"TABLET (CHEWABLE)","ADDED","02489481"
"approved",97956,151,"TABLET (CHEWABLE)","ADDED","02489473"
"active",13373,34,"LIQUID","DELETED","02004496"
"active",19026,34,"LIQUID","DELETED","02142775"
"active",2828,34,"LIQUID","DELETED","00393746"
"active",78573,34,"LIQUID","DELETED","02300435"
"active",83307,34,"LIQUID","DELETED","02347695"
"dormant",16629,34,"LIQUID","DELETED","02023652"
"approved",78077,34,"LIQUID","DELETED","02295474"
"approved",96941,98,"SPRAY","DELETED","02478625"
"approved",78077,98,"SPRAY","DELETED","02295474"
