"drug_code","status_current","history_date_current","status_previous","history_date_previous","drug_identification_number"
12865,"MARKETED",2019-05-23,"MARKETED",2019-02-12,"01959352"
1327,"MARKETED",2019-06-03,"MARKETED",2004-12-08,"00236683"
13373,"MARKETED",2019-06-27,"MARKETED",1992-12-31,"02004496"
13429,"MARKETED",2019-06-03,"MARKETED",2005-03-29,"02011239"
1802,"MARKETED",2019-06-17,"MARKETED",2004-12-22,"00280437"
19026,"MARKETED",2019-06-12,"MARKETED",2012-06-29,"02142775"
19082,"MARKETED",2019-06-12,"MARKETED",2004-09-25,"02157616"
3414,"MARKETED",2019-06-03,"MARKETED",2005-03-11,"00461733"
37358,"MARKETED",2019-06-12,"MARKETED",2018-04-05,"02224577"
3890,"MARKETED",2018-06-26,"DORMANT",2018-06-13,"00504807"
43314,"MARKETED",2019-06-26,"MARKETED",2013-02-06,"02221896"
43315,"MARKETED",2019-06-26,"MARKETED",2013-04-12,"02221918"
43316,"MARKETED",2019-06-26,"MARKETED",2013-03-15,"02221926"
43317,"MARKETED",2019-06-26,"MARKETED",2013-04-12,"02221934"
579,"MARKETED",2019-06-13,"MARKETED",2014-04-04,"00021288"
62979,"MARKETED",2019-06-18,"MARKETED",2014-01-25,"02239505"
66848,"MARKETED",2003-04-30,"MARKETED",2003-05-01,"02243007"
67648,"MARKETED",2019-06-19,"MARKETED",2019-01-24,"02243716"
728,"MARKETED",2019-06-11,"MARKETED",2005-03-10,"00115630"
76520,"MARKETED",2019-05-09,"MARKETED",2018-08-08,"02279592"
78573,"MARKETED",2019-06-21,"MARKETED",2009-11-21,"02300435"
81790,"MARKETED",2019-05-13,"DORMANT",2018-08-28,"02332248"
83056,"MARKETED",2019-06-28,"MARKETED",2010-08-11,"02345110"
83824,"MARKETED",2019-05-30,"MARKETED",2016-01-19,"02353016"
83857,"MARKETED",2019-05-30,"MARKETED",2015-06-04,"02353377"
83858,"MARKETED",2019-05-30,"MARKETED",2015-06-04,"02353385"
84166,"MARKETED",2019-05-30,"MARKETED",2014-09-27,"02356511"
84167,"MARKETED",2019-05-30,"MARKETED",2014-09-27,"02356538"
86519,"MARKETED",2014-07-11,"MARKETED",2012-03-21,"02379317"
86520,"MARKETED",2014-07-11,"MARKETED",2012-03-21,"02379325"
86521,"MARKETED",2019-05-30,"MARKETED",2012-03-21,"02379333"
88390,"MARKETED",2019-05-15,"MARKETED",2018-10-05,"02398990"
88392,"MARKETED",2019-05-07,"MARKETED",2018-10-05,"02399016"
88393,"MARKETED",2019-05-02,"MARKETED",2018-10-05,"02399024"
89334,"MARKETED",2019-06-11,"APPROVED",2013-12-24,"02408600"
89335,"MARKETED",2019-06-11,"APPROVED",2013-12-24,"02408619"
89564,"MARKETED",2019-05-29,"MARKETED",2018-09-18,"02411008"
89622,"MARKETED",2019-05-08,"MARKETED",2019-01-31,"02411628"
89623,"MARKETED",2019-05-08,"MARKETED",2019-01-31,"02411636"
89624,"MARKETED",2019-05-08,"MARKETED",2019-01-31,"02411644"
89625,"MARKETED",2019-05-08,"MARKETED",2019-01-31,"02411652"
90180,"MARKETED",2019-05-09,"MARKETED",2018-08-28,"02417162"
90351,"MARKETED",2019-06-10,"MARKETED",2014-06-18,"02418967"
92535,"MARKETED",2019-04-12,"MARKETED",2018-09-14,"02440997"
92847,"MARKETED",2019-05-08,"MARKETED",2019-01-24,"02443732"
93338,"MARKETED",2019-06-25,"APPROVED",2015-10-19,"02447789"
93422,"MARKETED",2018-08-03,"DORMANT",2018-06-29,"02448548"
94421,"MARKETED",2018-09-28,"APPROVED",2016-08-24,"02457121"
94530,"MARKETED",2019-06-14,"APPROVED",2019-05-27,"02458233"
94965,"MARKETED",2019-05-27,"MARKETED",2019-01-25,"02461900"
94982,"MARKETED",2019-06-05,"APPROVED",2017-03-03,"02462087"
95330,"MARKETED",2018-09-10,"APPROVED",2017-06-14,"02465108"
95331,"MARKETED",2017-06-28,"APPROVED",2017-06-14,"02465116"
