"drug_code","extract_current","extract_previous","company_name_current","company_name_previous","drug_identification_number"
13373,"active","active","SANBEC CANADA INC.","DISTRIBUTIONS SANBEC MONTREAL LTEE","02004496"
13429,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","02011239"
43314,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","02221896"
43315,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","02221918"
43316,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","02221926"
43317,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","02221934"
89120,"approved","approved","STRIDES PHARMA CANADA INC","STRIDES PHARMA GLOBAL PTE. LIMITED","02406500"
728,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","00115630"
1327,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","00236683"
1802,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","00280437"
3414,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","00461733"
37358,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","02224577"
62979,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","02239505"
96294,"active","active","SPROUT PHARMACEUTICALS CANADA, LTD","SPROUT PHARMACEUTICALS INC","02473550"
96302,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","02473623"
16629,"dormant","dormant","PHARMA STULLN INC.","EBERTH PHARMACEUTICALS INC","02023652"
89119,"approved","approved","STRIDES PHARMA CANADA INC","STRIDES PHARMA GLOBAL PTE. LIMITED","02406497"
91234,"approved","approved","STRIDES PHARMA CANADA INC","STRIDES PHARMA GLOBAL PTE. LIMITED","02427842"
