"extract","drug_code","active_ingredient_code","ingredient","strength","strength_unit","status","drug_identification_number"
"active",9,9107,"METHIMAZOLE","5","MG","NEW","00015741"
"active",2828,8926,"EPINEPHRINE","0.005","MG","ADDED","00393746"
"active",2828,8926,"EPINEPHRINE","5","MCG","DELETED","00393746"
"active",10052,7532,"HYDROCORTISONE (HYDROCORTISONE ACETATE)","1","%","ADDED","00770957"
"active",10052,7532,"HYDROCORTISONE","1","%","DELETED","00770957"
"inactive",41889,9766,"SALICYLIC ACID","2","%","ADDED","00888591"
"active",41889,9766,"SALICYLIC ACID","2.0","%","DELETED","00888591"
"inactive",68290,9107,"METHIMAZOLE","5","MG","NEW","02244323"
"dormant",74416,9107,"METHIMAZOLE","5","MG","NEW","02258935"
"inactive",75130,9107,"METHIMAZOLE","5","MG","NEW","02265850"
"inactive",75131,9107,"METHIMAZOLE","5","MG","NEW","02265869"
"inactive",75670,7289,"ZINC OXIDE","6","%","ADDED","02271222"
"inactive",75670,755,"AVOBENZONE","3","%","ADDED","02271222"
"inactive",75670,12049,"OCTINOXATE","6","%","ADDED","02271222"
"inactive",75670,7289,"ZINC OXIDE","6.0","%","DELETED","02271222"
"inactive",75670,755,"AVOBENZONE","3.0","%","DELETED","02271222"
"inactive",75670,12049,"OCTINOXATE","6.0","%","DELETED","02271222"
"active",78139,9107,"METHIMAZOLE","10","MG","NEW","02296039"
"approved",78140,9107,"METHIMAZOLE","20","MG","NEW","02296047"
"active",80321,698,"POLYETHYLENE GLYCOL 3350","100","%","ADDED","02317680"
"active",80321,698,"POLYETHYLENE GLYCOL 3350","1","G","DELETED","02317680"
"inactive",80404,16100,"PERINDOPRIL ARGININE","5","MG","ADDED","02318555"
"approved",80404,16100,"PERINDOPRIL ARGININE","5.0","MG","DELETED","02318555"
"active",81832,9107,"METHIMAZOLE","2.5","MG","NEW","02332655"
"active",81833,9107,"METHIMAZOLE","5","MG","NEW","02332663"
"active",83307,8926,"EPINEPHRINE","0.005","MG","ADDED","02347695"
"active",83307,8926,"EPINEPHRINE","5","MCG","DELETED","02347695"
"inactive",84245,16100,"PERINDOPRIL ARGININE","10","MG","ADDED","02357321"
"approved",84245,16100,"PERINDOPRIL ARGININE","10.0","MG","DELETED","02357321"
"active",89613,9107,"METHIMAZOLE","1.25","MG","NEW","02411512"
"approved",93050,12049,"OCTINOXATE","7","%","ADDED","02445263"
"approved",93050,12049,"OCTINOXATE","7.0","%","DELETED","02445263"
"approved",93758,22684,"Coagulation Factor IX (Recombinant), Albumin Fusion Protein (rIX-FP)","250","UNIT","NEW","02451336"
"approved",93759,22684,"Coagulation Factor IX (Recombinant), Albumin Fusion Protein (rIX-FP)","500","UNIT","NEW","02451344"
"approved",93760,22684,"Coagulation Factor IX (Recombinant), Albumin Fusion Protein (rIX-FP)","1000","UNIT","NEW","02451352"
"approved",93761,22684,"Coagulation Factor IX (Recombinant), Albumin Fusion Protein (rIX-FP)","2000","UNIT","NEW","02451360"
"active",93973,698,"POLYETHYLENE GLYCOL 3350","100","%","ADDED","02453193"
"active",93973,698,"POLYETHYLENE GLYCOL 3350","1","G","DELETED","02453193"
"active",94243,698,"POLYETHYLENE GLYCOL 3350","100","%","ADDED","02455617"
"active",94243,698,"POLYETHYLENE GLYCOL 3350","1","G","DELETED","02455617"
"active",96702,13311,"VARDENAFIL (VARDENAFIL HYDROCHLORIDE TRIHYDRATE)","10","MG","ADDED","02476088"
"approved",96974,662,"PYRITHIONE ZINC","1","%","ADDED","02479036"
"approved",96975,662,"PYRITHIONE ZINC","1","%","ADDED","02479044"
"approved",96976,662,"PYRITHIONE ZINC","1","%","ADDED","02479052"
"approved",96977,662,"PYRITHIONE ZINC","1","%","ADDED","02479060"
"approved",96978,662,"PYRITHIONE ZINC","1","%","ADDED","02479079"
"approved",96980,662,"PYRITHIONE ZINC","1","%","ADDED","02479095"
"active",97066,9107,"METHIMAZOLE","5","MG","NEW","02480107"
"active",97067,9107,"METHIMAZOLE","10","MG","NEW","02480115"
"approved",97696,13276,"FULVESTRANT","50","MG","ADDED","02486792"
"approved",97918,19840,"RASAGILINE (RASAGILINE MESYLATE)","0.5","MG","ADDED","02489120"
"approved",97919,19840,"RASAGILINE (RASAGILINE MESYLATE)","1","MG","ADDED","02489139"
"approved",97920,11178,"AMIKACIN (AMIKACIN SULFATE)","250","MG","ADDED","02489147"
"approved",97926,13585,"ESCITALOPRAM (ESCITALOPRAM OXALATE)","5","MG","ADDED","02489163"
"approved",97927,13585,"ESCITALOPRAM (ESCITALOPRAM OXALATE)","10","MG","ADDED","02489171"
"approved",97928,13585,"ESCITALOPRAM (ESCITALOPRAM OXALATE)","15","MG","ADDED","02489198"
"approved",97929,13585,"ESCITALOPRAM (ESCITALOPRAM OXALATE)","20","MG","ADDED","02489201"
"approved",97932,11460,"CARBETOCIN","100","MCG","ADDED","02489244"
"approved",97933,23257,"PATISIRAN (PATISIRAN SODIUM)","2","MG","NEW","02489252"
"approved",97934,11213,"DORZOLAMIDE (DORZOLAMIDE HYDROCHLORIDE)","2","%","ADDED","02489260"
"approved",97936,20636,"LACOSAMIDE","50","MG","ADDED","02489287"
"approved",97937,20636,"LACOSAMIDE","100","MG","ADDED","02489295"
"approved",97938,20636,"LACOSAMIDE","150","MG","ADDED","02489309"
"approved",97939,20636,"LACOSAMIDE","200","MG","ADDED","02489317"
"approved",97942,4922,"VITAMIN D3","50000","UNIT","ADDED","02489341"
"approved",97943,4922,"VITAMIN D3","5000","UNIT","ADDED","02489325"
"approved",97944,4922,"VITAMIN D3","10000","UNIT","ADDED","02489333"
"approved",97945,11163,"TIMOLOL (TIMOLOL MALEATE)","5","MG","ADDED","02489368"
"approved",97945,11458,"LATANOPROST","50","MCG","ADDED","02489368"
"approved",97946,11899,"RIZATRIPTAN (RIZATRIPTAN BENZOATE)","5","MG","ADDED","02489376"
"approved",97947,11899,"RIZATRIPTAN (RIZATRIPTAN BENZOATE)","10","MG","ADDED","02489384"
"approved",97949,1896,"LABETALOL HYDROCHLORIDE","100","MG","ADDED","02489406"
"approved",97950,1896,"LABETALOL HYDROCHLORIDE","200","MG","ADDED","02489414"
"approved",97952,16200,"BEVACIZUMAB","100","MG","ADDED","02489430"
"approved",97953,16200,"BEVACIZUMAB","400","MG","ADDED","02489449"
"approved",97954,11861,"FOSFOMYCIN (FOSFOMYCIN TROMETHAMINE)","3","G","ADDED","02489457"
"approved",97956,11101,"AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","50","MG","ADDED","02489473"
"approved",97956,11247,"CLAVULANIC ACID (POTASSIUM CLAVULANATE)","12.5","MG","ADDED","02489473"
"approved",97957,9547,"MANNITOL","10","MG","ADDED","02489562"
"approved",97957,9547,"MANNITOL","20","MG","ADDED","02489562"
"approved",97957,9547,"MANNITOL","40","MG","ADDED","02489562"
"approved",97957,9547,"MANNITOL","5","MG","ADDED","02489562"
"approved",97958,11101,"AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","100","MG","ADDED","02489481"
"approved",97958,11247,"CLAVULANIC ACID (POTASSIUM CLAVULANATE)","25","MG","ADDED","02489481"
"approved",97959,11101,"AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","200","MG","ADDED","02489503"
"approved",97959,11247,"CLAVULANIC ACID (POTASSIUM CLAVULANATE)","50","MG","ADDED","02489503"
