drug_code,active_ingredient_code,status,extract,ingredient,strength,strength_unit,drug_identification_number
"12492","309","Changed","inactive","IRON (IRON MALATE)","7.5","MG","00879851"
"104099","10147","ADDED","approved","METFORMIN HYDROCHLORIDE","850","MG","02552310"
"100392","22160","ADDED","approved","AFATINIB (AFATINIB DIMALEATE)","30","MG","02514605"
"100635","22160","ADDED","approved","AFATINIB (AFATINIB DIMALEATE)","20","MG","02517019"
"104158","4991","ADDED","approved","FOLIC ACID","5","MG","02552639"
"100203","22160","ADDED","approved","AFATINIB (AFATINIB DIMALEATE)","20","MG","02512777"
"104158","4803","ADDED","approved","CALCIUM (CALCIUM CARBONATE)","300","MG","02552639"
"104096","11987","ADDED","approved","RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE)","6","MG","02552280"
"104142","20590","ADDED","approved","TOCILIZUMAB","80","MG","02552450"
"104093","11987","ADDED","approved","RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE)","1.5","MG","02552256"
"50697","11384","ADDED","inactive","TOPIRAMATE","300","MG","02231386"
"104158","781","ADDED","approved","VITAMIN B12 (CYANOCOBALAMIN)","12","MCG","02552639"
"104145","20590","ADDED","approved","TOCILIZUMAB","162","MG","02552485"
"104144","20590","ADDED","approved","TOCILIZUMAB","400","MG","02552477"
"103019","22707","ADDED","active","BILASTINE","20","MG","02541556"
"104107","8519","ADDED","approved","POLYMYXIN B SULFATE","10000","UNIT","02552418"
"104157","11171","ADDED","approved","VITAMIN B2 (RIBOFLAVIN)","3.4","MG","02552620"
"103590","22707","ADDED","active","BILASTINE","20","MG","02547279"
"104162","23653","ADDED","approved","SOTORASIB","240","MG","02552655"
"104157","331","ADDED","approved","ZINC (ZINC OXIDE)","15","MG","02552620"
"104157","7218","ADDED","approved","IODINE (POTASSIUM IODIDE)","0.15","MG","02552620"
"103979","22925","ADDED","approved","SEMAGLUTIDE","9","MG","02551039"
"104168","6417","ADDED","approved","METHADONE HYDROCHLORIDE","10","MG","02552728"
"104161","7289","ADDED","approved","ZINC OXIDE","16","%","02552647"
"104157","11169","ADDED","approved","VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE)","10","MG","02552620"
"104150","182","ADDED","approved","DIPHENHYDRAMINE HYDROCHLORIDE","25","MG","02552531"
"104107","8523","ADDED","approved","GRAMICIDIN","0.025","MG","02552418"
"104108","14088","ADDED","approved","MESALAZINE","800","MG","02552426"
"104157","701","ADDED","approved","VITAMIN E (DL-ALPHA TOCOPHERYL ACETATE)","13.5","MG","02552620"
"12298","309","Changed","inactive","IRON (IRON GLUTARATE)",".5","MG","01901117"
"104160","55","ADDED","approved","SODIUM CHLORIDE","1.46","G","02552612"
"104101","2251","ADDED","approved","LOPERAMIDE HYDROCHLORIDE","2","MG","02552337"
"104154","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.13","%","02552590"
"104163","12048","ADDED","approved","OCTISALATE","5","%","02552663"
"104146","20590","ADDED","approved","TOCILIZUMAB","162","MG","02552493"
"100391","22160","ADDED","approved","AFATINIB (AFATINIB DIMALEATE)","20","MG","02514591"
"104160","53","ADDED","approved","POTASSIUM CHLORIDE","0.76","G","02552612"
"104158","645","ADDED","approved","ASCORBIC ACID (ASCORBIC ACID)","120","MG","02552639"
"104158","309","ADDED","approved","IRON (FERROUS FUMARATE)","35","MG","02552639"
"104152","20639","ADDED","active","ROFLUMILAST","0.3","%","02552566"
"100636","22160","ADDED","approved","AFATINIB (AFATINIB DIMALEATE)","30","MG","02517027"
"104095","11987","ADDED","approved","RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE)","4.5","MG","02552272"
"100393","22160","ADDED","approved","AFATINIB (AFATINIB DIMALEATE)","40","MG","02514613"
"104158","4922","ADDED","approved","VITAMIN D3 (CHOLECALCIFEROL)","600","UNIT","02552639"
"104158","6487","ADDED","approved","MAGNESIUM (MAGNESIUM OXIDE)","50","MG","02552639"
"104158","11170","ADDED","approved","VITAMIN B1 (THIAMINE MONONITRATE)","3","MG","02552639"
"100637","22160","ADDED","approved","AFATINIB (AFATINIB DIMALEATE)","40","MG","02517035"
"104158","5000","ADDED","approved","D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE)","6","MG","02552639"
"104161","1970","ADDED","approved","HOMOSALATE","10","%","02552647"
"104157","11079","ADDED","approved","BETA-CAROTENE","2","MG","02552620"
"104148","270","ADDED","approved","ACETAMINOPHEN","650","MG","02552515"
"104155","10140","ADDED","approved","HYDROXYUREA","500","MG","02552582"
"103547","22707","ADDED","active","BILASTINE","20","MG","02546795"
"104092","7526","ADDED","approved","FLUDROCORTISONE 21-ACETATE","0.1","MG","02552248"
"104100","20179","ADDED","approved","SITAGLIPTIN (SITAGLIPTIN PHOSPHATE MONOHYDRATE)","50","MG","02552329"
"104043","7289","ADDED","approved","ZINC OXIDE","7.7","%","02551713"
"104150","270","ADDED","approved","ACETAMINOPHEN","650","MG","02552531"
"104165","22925","ADDED","approved","SEMAGLUTIDE","2","MG","02552698"
"103977","22925","ADDED","approved","SEMAGLUTIDE","1.5","MG","02551012"
"104153","5008","ADDED","approved","PYRIDOXINE HYDROCHLORIDE","10","MG","02552574"
"104157","582","ADDED","approved","COPPER (CUPRIC OXIDE)","2","MG","02552620"
"104157","5015","ADDED","approved","NICOTINAMIDE","20","MG","02552620"
"104109","21376","ADDED","approved","RUXOLITINIB (RUXOLITINIB PHOSPHATE)","1.5","%","02552434"
